カード番号,文字,字体数,用例数,用例数2,用例数3,用例数4,大字典番号,部首番号
0001,丹,0,,,,,00069,003
0002,乙,0,,,,,00104,005
0003,乾,0,,,,,00118,005
0004,介,0,,,,,00176,009
0005,仆,0,,,,,00173,009
0006,仕,0,,,,,00182,009
0007,任,0,,,,,00206,009
0008,低,0,,,,,00244,009
0009,伴,0,,,,,00230,009
0010,伺,0,,,,,00233,009
0011,借,0,,,,,00382,009
0012,伽,0,,,,,00236,009
0013,佞,0,,,,,00258,009
0014,倍,0,,,,,00368,009
0015,信,0,,,,,00345,009
0016,佃,0,,,,,00238,009
0017,佳,0,,,,,00267,009
0018,俾,0,,,,,00360,009
0019,倫,0,,,,,00391,009
0020,俄,0,,,,,00325,009
0021,假,0,,,,,00405,009
0022,僕,0,,,,,00493,009
0023,倶,0,,,,,00350,009
0024,債,0,,,,,00471,009
0025,00264,0,,,,,00264,009
0026,備,0,,,,,00455,009
0027,停,0,,,,,00417,009
0028,傑,0,,,,,00450,009
0029,冀,0,,,,,00616,012
0030,冒,0,,,,,00636,013
0031,凝,0,,,,,00696,015
0032,凶,0,,,,,00718,017
0033,刈,0,,,,,00736,018
0034,切,0,,,,,00735,018
0035,削,0,,,,,00791,018
0036,功,0,,,,,00857,019
0037,助,0,,,,,00863,019
0038,勾,0,,,,,00918,020
0039,匐,0,,,,,00932,020
0040,匍,0,,,,,00930,020
0041,卒,0,,,,,01004,024
0042,厚,0,,,,,01068,027
0043,厄,0,,,,,01058,027
0044,句,0,,,,,01143,030
0045,吠,0,,,,,01189,030
0046,呪,0,,,,,01236,030
0047,啓,0,,,,,01373,030
0048,咸,0,,,,,01288,030
0049,周,0,,,,,01235,030
0050,嘆,0,,,,,01466,030
0051,嗟,0,,,,,01451,030
0052,啼,0,,,,,01387,030
0053,嚢,0,,,,,01595,030
0054,嚼,0,,,,,01584,030
0055,01532,0,,,,,01532,030
0056,墮,0,,,,,01863,032
0057,城,0,,,,,01740,032
0058,墜,0,,,,,01851,032
0059,境,0,,,,,01839,032
0060,垣,0,,,,,01727,032
0061,壤,0,,,,,01899,032
0062,01779,0,,,,,01779,032
0063,士,0,,,,,01903,033
0064,壽,0,,,,,01913,033
0065,壷,0,,,,,01908,033
0066,外,0,,,,,01934,036
0067,奏,0,,,,,01981,037
0068,奘,0,,,,,01994,037
0069,夷,0,,,,,01961,037
0070,奔,0,,,,,01986,037
0071,奄,0,,,,,01968,037
0072,妬,0,,,,,02040,038
0073,姓,0,,,,,02077,038
0074,媚,0,,,,,02177,038
0075,姨,0,,,,,02093,038
0076,妙,0,,,,,02045,038
0077,娑,0,,,,,02110,038
0078,婆,0,,,,,02142,038
0079,妍,0,,,,,02098,038
0080,媛,0,,,,,02178,038
0081,好,0,,,,,02029,038
0082,姥,0,,,,,02090,038
0083,嬰,0,,,,,02248,038
0084,存,0,,,,,02268,039
0085,學,0,,,,,02293,039
0086,寧,0,,,,,02392,040
0087,宇,0,,,,,02307,040
0088,寛,0,,,,,02397,040
0089,宗,0,,,,,02322,040
0090,察,0,,,,,02383,040
0091,寄,0,,,,,02358,040
0092,審,0,,,,,02395,040
0093,導,0,,,,,02436,041
0094,尚,0,,,,,02446,042
0095,尸,0,,,,,02469,044
0096,尺,0,,,,,02471,044
0097,尻,0,,,,,02472,044
0098,屏,0,,,,,02499,044
0099,屈,0,,,,,02485,044
0100,島,0,,,,,02594,046
0101,峻,0,,,,,02598,046
0102,州,0,,,,,02764,047
0103,巡,0,,,,,02767,047
0104,希,0,,,,,02806,050
0105,帚,0,,,,,02818,050
0106,市,0,,,,,02799,050
0107,帆,0,,,,,02801,050
0108,并,0,,,,,02902,051
0109,幽,0,,,,,02912,052
0110,幾,0,,,,,02915,052
0111,廢,0,,,,,02992,053
0112,弱,0,,,,,03064,057
0113,形,0,,,,,03101,059
0114,徒,0,,,,,03143,060
0115,忠,0,,,,,03203,061
0116,恙,0,,,,,03277,061
0117,怙,0,,,,,03235,061
0118,悉,0,,,,,03312,061
0119,忘,0,,,,,03196,061
0120,悽,0,,,,,03345,061
0121,恩,0,,,,,03292,061
0122,恆,0,,,,,03267,061
0123,慰,0,,,,,03469,061
0124,愍,0,,,,,03402,061
0125,惑,0,,,,,03355,061
0126,慟,0,,,,,03455,061
0127,慷,0,,,,,03475,061
0128,憚,0,,,,,03511,061
0129,慨,0,,,,,03463,061
0130,恥,0,,,,,03289,061
0131,戰,0,,,,,03633,062
0132,戮,0,,,,,03632,062
0133,截,0,,,,,03628,062
0134,戻,0,,,,,03645,063
0135,打,0,,,,,03666,064
0136,推,0,,,,,03880,064
0137,捨,0,,,,,03835,064
0138,扶,0,,,,,03686,064
0139,拜,0,,,,,03761,064
0140,拭,0,,,,,03765,064
0141,換,0,,,,,03907,064
0142,捫,0,,,,,03837,064
0143,拾,0,,,,,03778,064
0144,捉,0,,,,,03818,064
0145,改,0,,,,,04228,066
0146,敬,0,,,,,04286,066
0147,整,0,,,,,04303,066
0148,斃,0,,,,,04311,066
0149,斥,0,,,,,04363,069
0150,斬,0,,,,,04369,069
0151,施,0,,,,,04391,070
0152,星,0,,,,,04499,072
0153,暴,0,,,,,04608,072
0154,昵,0,,,,,04518,072
0155,晝,0,,,,,04542,072
0156,臾,0,,,,,09621,134
0157,服,0,,,,,04679,074
0158,梔,0,,,,,04978,075
0159,14917,0,,,,,14917,075
0160,04825,0,,,,,04825,075
0161,板,0,,,,,04781,075
0162,杖,0,,,,,04743,075
0163,柱,0,,,,,04871,075
0164,株,0,,,,,04908,075
0165,東,0,,,,,04765,075
0166,染,0,,,,,04848,075
0167,柴,0,,,,,04884,075
0168,柩,0,,,,,04865,075
0169,楯,0,,,,,05154,075
0170,權,0,,,,,05529,075
0171,橘,0,,,,,05361,075
0172,楫,0,,,,,05150,075
0173,柳,0,,,,,04873,075
0174,欣,0,,,,,05561,076
0175,款,0,,,,,05591,076
0176,止,0,,,,,05641,077
0177,歩,0,,,,,05645,077
0178,殆,0,,,,,05707,078
0179,殊,0,,,,,05717,078
0180,殘,0,,,,,05737,078
0181,氏,0,,,,,05932,083
0182,河,0,,,,,06045,085
0183,洪,0,,,,,06134,085
0184,洞,0,,,,,06125,085
0185,流,0,,,,,06151,085
0186,泥,0,,,,,06088,085
0187,渠,0,,,,,06317,085
0188,洲,0,,,,,06138,085
0189,漂,0,,,,,06480,085
0190,源,0,,,,,06396,085
0191,沸,0,,,,,06050,085
0192,渡,0,,,,,06318,085
0193,渟,0,,,,,06316,085
0194,淤,0,,,,,06269,085
0195,瀛,0,,,,,06704,085
0196,烏,0,,,,,06835,086
0197,煙,0,,,,,06901,086
0198,燒,0,,,,,06978,086
0199,燼,0,,,,,06997,086
0200,焦,0,,,,,06874,086
0201,燃,0,,,,,06969,086
0202,牆,0,,,,,07047,091
0203,牙,0,,,,,07065,092
0204,牽,0,,,,,07087,093
0205,犢,0,,,,,07106,093
0206,獵,0,,,,,07244,094
0207,玄,0,,,,,07256,095
0208,佩,0,,,,,00263,009
0209,瓶,0,,,,,07426,098
0210,甜,0,,,,,07459,099
0211,申,0,,,,,07481,102
0212,異,0,,,,,07530,102
0213,畔,0,,,,,07507,102
0214,發,0,,,,,07707,105
0215,皮,0,,,,,07739,107
0216,直,0,,,,,07799,109
0217,眼,0,,,,,07843,109
0218,睨,0,,,,,07867,109
0219,看,0,,,,,07817,109
0220,盾,0,,,,,07806,109
0221,矩,0,,,,,07944,111
0222,破,0,,,,,07986,112
0223,碎,0,,,,,08016,112
0224,祀,0,,,,,08103,113
0225,祝,0,,,,,08123,113
0226,祈,0,,,,,08108,113
0227,祚,0,,,,,08119,113
0228,禮,0,,,,,08165,113
0229,穢,0,,,,,08279,115
0230,窟,0,,,,,08323,116
0231,竟,0,,,,,08365,117
0232,豎,0,,,,,11258,151
0233,箭,0,,,,,08479,118
0234,篤,0,,,,,08522,118
0235,粟,0,,,,,08664,119
0236,08744,0,,,,,08744,120
0237,08762,0,,,,,08762,120
0238,紀,0,,,,,08735,120
0239,細,0,,,,,08779,120
0240,縫,0,,,,,08976,120
0241,繋,0,,,,,09030,120
0242,纏,0,,,,,09064,120
0243,總,0,,,,,08993,120
0244,羅,0,,,,,09144,122
0245,罷,0,,,,,09133,122
0246,羂,0,,,,,09142,122
0247,羣,0,,,,,09175,123
0248,義,0,,,,,09177,123
0249,耀,0,,,,,09249,124
0250,聽,0,,,,,09335,128
0251,腋,0,,,,,09483,130
0252,股,0,,,,,09364,130
0253,膝,0,,,,,09541,130
0254,肯,0,,,,,09377,130
0255,脱,0,,,,,09463,130
0256,肩,0,,,,,09370,130
0257,脛,0,,,,,09449,130
0258,臂,0,,,,,09568,130
0259,臥,0,,,,,09599,131
0260,舂,0,,,,,09626,134
0261,09627,0,,,,,09627,134
0262,薄,0,,,,,10139,140
0263,苗,0,,,,,09778,140
0264,薙,0,,,,,10153,140
0265,藍,0,,,,,10189,140
0266,菟,0,,,,,09911,140
0267,螢,0,,,,,10510,142
0268,蛇,0,,,,,10349,142
0269,血,0,,,,,10605,143
0270,術,0,,,,,10618,144
0271,衰,0,,,,,10649,145
0272,襄,0,,,,,10775,145
0273,襁,0,,,,,10773,145
0274,裔,0,,,,,10708,145
0275,裳,0,,,,,10724,145
0276,褸,0,,,,,10766,145
0277,襤,0,,,,,10798,145
0278,裏,0,,,,,10703,145
0279,觀,0,,,,,10859,147
0280,覽,0,,,,,10857,147
0281,解,0,,,,,10875,148
0282,訶,0,,,,,10936,149
0283,該,0,,,,,10987,149
0284,識,0,,,,,11171,149
0285,詣,0,,,,,10974,149
0286,謎,0,,,,,11109,149
0287,謀,0,,,,,11092,149
0288,11264,0,,,,,11264,151
