統合ID,文字,花嚴新羅,字体数,用例数,部首
00070,主,0001,0,1,003
00078,乃,0002,0,1,004
00391,倫,0003,0,1,009
00240,但,0004,0,1,009
00455,備,0005,0,1,009
00168,人,0006,0,1,009
00279,使,0007,0,1,009
00568,克,0008,0,1,010
00984,區,0009,0,1,023
00994,半,0010,0,1,024
00999,卍,0011,0,1,024
01049,卽,0012,0,1,026
01101,去,0013,0,1,028
01127,取,0014,0,1,029
01179,向,0015,0,1,030
01158,右,0016,0,1,030
01197,含,0017,0,1,030
01682,坐,0018,0,1,032
01796,報,0019,0,1,032
01674,均,0020,0,1,032
01798,場,0021,0,1,032
01903,士,0022,0,1,033
01934,外,0023,0,1,036
01954,央,0024,0,1,037
02142,婆,0025,0,1,038
02110,娑,0026,0,1,038
02264,孔,0027,0,1,039
02361,密,0028,0,1,040
02390,實,0029,0,1,040
02307,宇,0030,0,1,040
02357,寂,0031,0,1,040
02515,屬,0032,0,1,044
02589,峯,0033,0,1,046
02905,幹,0034,0,1,051
02907,幻,0035,0,1,052
03047,弘,0036,0,1,057
03145,得,0037,0,1,060
03335,悲,0038,0,1,061
03309,悦,0039,0,1,061
03550,應,0040,0,1,061
03395,意,0041,0,1,061
03611,我,0042,0,1,062
03835,捨,0043,0,1,064
03904,揚,0044,0,1,064
03799,振,0045,0,1,064
03750,拔,0046,0,1,064
04558,景,0047,0,1,072
04645,曩,0048,0,1,072
04693,望,0049,0,1,074
04904,校,0050,0,1,075
04807,枝,0051,0,1,075
05599,歇,0052,0,1,076
05639,歡,0053,0,1,076
05641,止,0054,0,1,077
05643,正,0055,0,1,077
05850,毛,0056,0,1,082
05950,氳,0057,0,1,084
05941,氛,0058,0,1,084
06189,涅,0059,0,1,085
06175,浮,0060,0,1,085
06055,治,0061,0,1,085
06088,泥,0062,0,1,085
06091,注,0063,0,1,085
06577,澓,0064,0,1,085
06173,浪,0065,0,1,085
06125,洞,0066,0,1,085
05964,求,0067,0,1,085
06867,焚,0068,0,1,086
06824,炳,0069,0,1,086
07076,牢,0070,0,1,093
07241,獲,0071,0,1,094
07352,瑩,0072,0,1,096
07457,甚,0073,0,1,099
07456,甘,0074,0,1,099
07480,甲,0075,0,1,102
07530,異,0076,0,1,102
07770,盛,0077,0,1,108
07813,眉,0078,0,1,109
07839,眷,0079,0,1,109
07870,睹,0080,0,1,109
07941,知,0081,0,1,111
08077,礙,0082,0,1,112
08269,積,0083,0,1,115
08354,立,0084,0,1,117
08412,第,0085,0,1,118
08809,絶,0086,0,1,120
09061,續,0087,0,1,120
09017,繚,0088,0,1,120
09128,置,0089,0,1,122
09155,美,0090,0,1,123
09329,聳,0091,0,1,128
09630,興,0092,0,1,134
10086,蔭,0093,0,1,140
09789,苦,0094,0,1,140
10860,角,0095,0,1,148
10974,詣,0096,0,1,149
10914,記,0097,0,1,149
11171,識,0098,0,1,149
11461,起,0099,0,1,156
11467,超,0100,0,1,156
11495,足,0101,0,1,157
11565,踊,0102,0,1,157
12003,速,0103,0,1,162
12070,遠,0104,0,1,162
12022,進,0105,0,1,162
12179,郭,0106,0,1,163
12613,鏡,0107,0,1,167
12757,閻,0108,0,1,169
12839,限,0109,0,1,170
12991,雖,0110,0,1,172
13073,露,0111,0,1,173
13012,雨,0112,0,1,173
13036,震,0113,0,1,173
13023,雷,0114,0,1,173
13103,靜,0115,0,1,174
13104,非,0116,0,1,175
13108,面,0117,0,1,176
13565,餘,0118,0,1,184
13677,馥,0119,0,1,186
13820,騰,0120,0,1,187
13940,高,0121,0,1,189
13970,髻,0122,0,1,190
13999,鬘,0123,0,1,190
14887,龜,0124,0,1,213
00001,一,0125,1,155,001
00007,三,0129,1,5,001
00004,七,0130,1,2,001
00013,不,0131,1,33,001
00009,下,0132,1,10,001
00025,世,0133,1,131,001
00008,上,0136,1,67,001
00051,中,0138,1,55,002
00088,之,0140,1,14,004
00107,九,0141,1,2,005
00128,事,0142,1,2,006
00129,二,0143,1,3,007
00135,五,0144,1,2,007
00154,亦,0145,1,7,008
00193,令,0146,1,8,009
00175,今,0147,1,2,009
00217,伏,0148,1,4,009
00520,億,0149,1,4,009
00256,作,0150,1,25,009
00255,佛,0151,1,171,009
00194,以,0155,1,80,009
00245,住,0157,1,50,009
00261,佉,0158,1,2,009
00250,何,0159,1,2,009
00489,像,0160,1,4,009
00282,來,0161,1,26,009
00321,便,0162,1,3,009
00183,他,0163,1,3,009
00301,依,0164,1,33,009
00417,停,0165,1,3,009
00562,充,0166,1,9,010
00567,光,0167,1,93,010
00591,兩,0169,1,2,011
00585,内,0170,1,5,011
00582,入,0171,1,12,011
00597,六,0172,1,2,012
00599,共,0173,1,5,012
00594,八,0174,1,4,012
00605,其,0175,1,109,012
00606,具,0177,1,13,012
00646,冠,0178,1,2,014
00723,出,0179,1,24,017
00735,切,0180,1,105,018
00781,刹,0183,1,90,018
00803,剛,0185,1,18,018
00734,分,0186,1,8,018
00767,利,0187,1,5,018
00763,別,0188,1,6,018
00754,列,0189,1,10,018
00865,劫,0190,1,7,019
00857,功,0191,1,6,019
00893,勝,0192,1,9,019
00885,勒,0193,1,2,019
00858,加,0194,1,2,019
00887,動,0195,1,2,019
00856,力,0196,1,32,019
00938,化,0197,1,12,021
00987,千,0198,1,3,024
00985,十,0199,1,70,024
01111,及,0201,1,10,029
01154,可,0202,1,21,030
01168,各,0203,1,50,030
01178,吐,0204,1,2,030
01288,咸,0205,1,9,030
01581,嚴,0206,1,111,030
01235,周,0209,1,42,030
01175,名,0210,1,40,030
01219,告,0211,1,9,030
01412,喜,0212,1,2,030
01395,善,0213,1,3,030
01174,同,0214,1,2,030
01641,圍,0215,1,33,031
01639,國,0216,1,6,031
01627,固,0217,1,6,031
01645,圓,0218,1,8,031
01611,因,0219a,2,1,031
01611b,因,0219b,2,1,031
01607,四,0220,1,12,031
01740,城,0221,1,3,032
01856,墠,0222,1,3,032
01878,壇,0223,1,3,032
01831,塵,0224,1,97,032
01755,執,0226,1,2,032
01690,坦,0227,1,3,032
01727,垣,0228,1,2,032
01710,垂,0229,1,6,032
M05100,垽,0230,1,2,032
01895,壞,0231,1,6,032
01654,土,0232,1,8,032
01726,垢,0233,1,4,032
01659,在,0234,1,16,032
01767,堅,0235,1,6,032
01839,境,0236,1,5,032
01938,多,0237,1,2,036
01972,奇,0238,1,2,037
01947,天,0239,1,12,037
01946,大,0240,1,43,037
