カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号
0001,主,0,,,00070,003
0002,久,0,,,00085,004
0003,乃,0,,,00078,004
0004,九,0,,,00107,005
0005,于,0,,,00132,007
0006,供,0,,,00299,009
0007,侍,0,,,00288,009
0008,任,0,,,00206,009
0009,人,0,,,00168,009
0010,俎,0,,,00331,009
0011,偈,0,,,00406,009
0012,僧,0,,,00503,009
0013,倒,0,,,00373,009
0014,制,0,,,00776,018
0015,則,0,,,00789,018
0016,利,0,,,00767,018
0017,勸,0,,,00913,019
0018,勳,0,,,00910,019
0019,印,0,,,01034,026
0020,合,0,,,01170,030
0021,句,0,,,01143,030
0022,吼,0,,,01215,030
0023,各,0,,,01168,030
0024,因,0,,,01611,031
0025,園,0,,,01644,031
0026,増,0,,,01853,032
0027,塔,0,,,01816,032
0028,坐,0,,,01682,032
0029,土,0,,,01654,032
0030,好,0,,,02029,038
0032,尊,0,,,02429,041
0033,專,0,,,02426,041
0034,少,0,,,02440,042
0035,履,0,,,02508,044
0036,己,0,,,02782,049
0037,已,0,,,02783,049
0038,幡,0,,,02881,050
0039,帝,0,,,02820,050
0040,幢,0,,,02882,050
0041,幻,0,,,02907,052
0042,廟,0,,,02989,053
0043,形,0,,,03101,059
0044,往,0,,,03128,060
0045,慊,0,,,03441,061
0046,憐,0,,,03499,061
0047,恭,0,,,03297,061
0048,愍,0,,,03402,061
0049,忍,0,,,03184,061
0050,恨,0,,,03291,061
0051,慈,0,,,03439,061
0052,志,0,,,03194,061
0053,恐,0,,,03272,061
0054,怖,0,,,03233,061
0055,愚,0,,,03404,061
0056,悦,0,,,03309,061
0057,悔,0,,,03320,061
0058,摧,0,,,04008,064
0059,才,0,,,03661,064
0060,承,0,,,03690,064
0061,拜,0,,,03761,064
0062,掌,0,,,03858,064
0063,授,0,,,03855,064
0064,救,0,,,04263,066
0065,敬,0,,,04286,066
0066,變,0,,,04319,066
0067,敗,0,,,04268,066
0068,放,0,,,04233,066
0069,教,0,,,04261,066
0070,散,0,,,04280,066
0071,服,0,,,04679,074
0072,梵,0,,,05010,075
0073,樹,0,,,05323,075
0074,林,0,,,04803,075
0075,村,0,,,04739,075
0076,次,0,,,05558,076
0077,歡,0,,,05639,076
0078,漸,0,,,06517,085
0079,汚,0,,,05979,085
0080,測,0,,,06335,085
0081,炎,0,,,06801,086
0082,然,0,,,06885,086
0083,物,0,,,07080,093
0084,獄,0,,,07212,094
