統合ID,文字,古麗華20,字体数,用例数,部首
00070,主,0001,0,1,003
00085,久,0002,0,1,004
00078,乃,0003,0,1,004
00107,九,0004,0,1,005
00132,于,0005,0,1,007
00299,供,0006,0,1,009
00288,侍,0007,0,1,009
00206,任,0008,0,1,009
00168,人,0009,0,1,009
00331,俎,0010,0,1,009
00406,偈,0011,0,1,009
00503,僧,0012,0,1,009
00373,倒,0013,0,1,009
00776,制,0014,0,1,018
00789,則,0015,0,1,018
00767,利,0016,0,1,018
00913,勸,0017,0,1,019
00910,勳,0018,0,1,019
01034,印,0019,0,1,026
01170,合,0020,0,1,030
01143,句,0021,0,1,030
01215,吼,0022,0,1,030
01168,各,0023,0,1,030
01611,因,0024,0,1,031
01644,園,0025,0,1,031
01853,增,0026,0,1,032
01816,塔,0027,0,1,032
01682,坐,0028,0,1,032
01654,土,0029,0,1,032
02029,好,0030,0,1,038
02429,尊,0032,0,1,041
02426,專,0033,0,1,041
02440,少,0034,0,1,042
02508,履,0035,0,1,044
02782,己,0036,0,1,049
02783,已,0037,0,1,049
02881,幡,0038,0,1,050
02820,帝,0039,0,1,050
02882,幢,0040,0,1,050
02907,幻,0041,0,1,052
02989,廟,0042,0,1,053
03101,形,0043,0,1,059
03128,往,0044,0,1,060
03441,慊,0045,0,1,061
03499,憐,0046,0,1,061
03297,恭,0047,0,1,061
03402,愍,0048,0,1,061
03184,忍,0049,0,1,061
03291,恨,0050,0,1,061
03439,慈,0051,0,1,061
03194,志,0052,0,1,061
03272,恐,0053,0,1,061
03233,怖,0054,0,1,061
03404,愚,0055,0,1,061
03309,悦,0056,0,1,061
03320,悔,0057,0,1,061
04008,摧,0058,0,1,064
03661,才,0059,0,1,064
03690,承,0060,0,1,064
03761,拜,0061,0,1,064
03858,掌,0062,0,1,064
03855,授,0063,0,1,064
04263,救,0064,0,1,066
04286,敬,0065,0,1,066
04319,變,0066,0,1,066
04268,敗,0067,0,1,066
04233,放,0068,0,1,066
04261,教,0069,0,1,066
04280,散,0070,0,1,066
04679,服,0071,0,1,074
05010,梵,0072,0,1,075
05323,樹,0073,0,1,075
04803,林,0074,0,1,075
04739,村,0075,0,1,075
05558,次,0076,0,1,076
05639,歡,0077,0,1,076
06517,漸,0078,0,1,085
05979,汙,0079,0,1,085
06335,測,0080,0,1,085
06801,炎,0081,0,1,086
06885,然,0082,0,1,086
07080,物,0083,0,1,093
07212,獄,0084,0,1,094
07287,珍,0085,0,1,096
07479,由,0086,0,1,102
07478,田,0087,0,1,102
07513,畜,0088,0,1,102
07559,疑,0089,0,1,103
07580,疲,0090,0,1,104
07878,瞋,0091,0,1,109
07860,睡,0092,0,1,109
07986,破,0093,0,1,112
08148,福,0094,0,1,113
08107,祇,0095,0,1,113
08269,積,0096,0,1,115
08493,節,0097,0,1,118
08938,練,0098,0,1,120
08924,緣,0099,0,1,120
08822,給,0100,0,1,120
08885,網,0101,0,1,120
09314,聚,0102,0,1,128
09292,耶,0103,0,1,128
09630,興,0104,0,1,134
09781,苞,0105,0,1,140
09961,落,0106,0,1,140
09904,菓,0107,0,1,140
10615,衍,0108,0,1,144
11095,謂,0109,0,1,149
11051,諍,0110,0,1,149
11283,豫,0111,0,1,152
11334,財,0112,0,1,154
11467,超,0113,0,1,156
11918,辱,0114,0,1,161
12027,逸,0115,0,1,162
12134,那,0116,0,1,163
12188,都,0117,0,1,163
12123,邑,0118,0,1,163
12373,重,0119,0,1,166
12757,閻,0120,0,1,169
12935,隱,0121,0,1,170
12961,雄,0122,0,1,172
13002,難,0123,0,1,172
12997,雜,0124,0,1,172
13012,雨,0125,0,1,173
13307,頌,0126,0,1,181
13416,顯,0127,0,1,181
13542,飾,0128,0,1,184
13559,餓,0129,0,1,184
13667,香,0130,0,1,186
13934,體,0131,0,1,188
14061,鬼,0132,0,1,194
00001,一,0133,1,358,001
00025,世,0141,1,63,001
00008,上,0143,1,6,001
00013,不,0144,1,109,001
00007,三,0147,1,23,001
00051,中,0148,1,24,002
00102,乘,0149,1,5,004
00088,之,0150,1,22,004
00121,亂,0151,1,3,005
00128,事,0152,1,4,006
00125,了,0153,1,12,006
00129,二,0154,1,3,007
00193,令,0155,1,45,009
00282,來,0156,1,27,009
00245,住,0157,1,35,009
00194,以,0158,1,68,009
00250,何,0160,1,2,009
00255,佛,0161,1,94,009
00321,便,0163,1,37,009
00217,伏,0164,1,11,009
00301,依,0165,1,4,009
00256,作,0166,1,2,009
00183,他,0167,1,2,009
00567,光,0168,1,3,010
00562,充,0169,1,12,010
00585,内,0170,1,4,011
00582,入,0171,1,19,011
00594,八,0172,1,2,012
00605,其,0173,1,7,012
00606,具,0174,1,49,012
00723,出,0175,1,20,017
00781,刹,0176,1,25,018
00763,別,0177,1,32,018
00803,剛,0178,1,4,018
00794,前,0179,1,3,018
00734,分,0180,1,34,018
00735,切,0181,1,301,018
00865,劫,0188,1,17,019
00857,功,0189,1,8,019
00856,力,0190,1,29,019
00881,勇,0191a,2,3,019
00881b,勇,0191b,2,1,019
00893,勝,0192,1,5,019
00887,動,0193,1,6,019
00938,化,0194,1,5,021
00985,十,0195,1,11,024
00994,半,0196,1,3,024
01074,原,0197,1,2,027
01101,去,0198,1,4,028
01111,及,0199,1,11,029
01128,受,0200a,2,17,029
01128b,受,0200b,2,1,029
01127,取,0201,1,10,029
01581,嚴,0202,1,15,030
01141,口,0203,1,4,030
01154,可,0204,1,47,030
01175,名,0205,1,3,030
01235,周,0206,1,2,030
01179,向,0207,1,143,030
01395,善,0210,1,217,030
01174,同,0215,1,4,030
01466,嘆,0216,1,2,030
