カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,,
0001,亂,0,1,,,00121,005,,
0002,互,0,1,,,00134,007,,
0003,任,0,1,,,00206,009,,
0004,健,0,1,,,00421,009,,
0005,偏,0,1,,,00411,009,,
0006,倦,0,1,,,00387,009,,
0007,休,0,1,,,00219,009,,
0008,侍,0,1,,,00288,009,,
0009,伏,0,1,,,00217,009,,
0010,倒,0,1,,,00373,009,,
0011,伴,0,1,,,00230,009,,
0012,使,0,1,,,00279,009,,
0013,佛,0,1,,,00255,009,,
0014,似,0,1,,,00235,009,,
0015,兒,0,1,,,00574,010,,
0016,光,0,1,,,00567,010,,
0017,入,0,1,,,00582,011,,
0018,凡,0,1,,,00701,016,,
0019,到,0,1,,,00769,018,,
0020,刹,0,1,,,00781,018,,
0021,劫,0,1,,,00865,019,,
0022,勢,0,1,,,00898,019,,
0023,助,0,1,,,00863,019,,
0024,劬,0,1,,,00866,019,,
0025,勤,0,1,,,00900,019,,
0026,勇,0,1,,,00881,019,,
0027,北,0,1,,,00941,021,,
0028,取,0,1,,,01127,029,,
0029,吉,0,1,,,01172,030,,
0030,01503,0,1,,,01503,030,,
0031,器,0,1,,,01523,030,,
0032,喩,0,1,,,01421,030,,
0033,句,0,1,,,01143,030,,
0034,固,0,1,,,01627,031,,
0035,圓,0,1,,,01645,031,,
0036,壞,0,1,,,01895,032,,
0037,夢,0,1,,,01943,036,,
0038,奇,0,1,,,01972,037,,
0039,夫,0,1,,,01949,037,,
0040,妄,0,1,,,02033,038,,
0041,存,0,1,,,02268,039,,
0042,家,0,1,,,02349,040,,
0043,宣,0,1,,,02333,040,,
0044,宗,0,1,,,02322,040,,
0045,宜,0,1,,,02327,040,,
0046,察,0,1,,,02383,040,,
0047,寒,0,1,,,02371,040,,
0048,尊,0,1,,,02429,041,,
0049,02453,0,1,,,02453,042,,
0050,就,0,1,,,02464,043,,
0051,岸,0,1,,,02564,046,,
0052,己,0,1,,,02782,049,,
0053,希,0,1,,,02806,050,,
