,,kyu_初麗瑜5,kyu_初麗瑜5,kyu_初麗瑜5,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00121,亂,0001,0,1,005
00134,互,0002,0,1,007
00206,任,0003,0,1,009
00421,健,0004,0,1,009
00411,偏,0005,0,1,009
00387,倦,0006,0,1,009
00219,休,0007,0,1,009
00288,侍,0008,0,1,009
00217,伏,0009,0,1,009
00373,倒,0010,0,1,009
00230,伴,0011,0,1,009
00279,使,0012,0,1,009
00255,佛,0013,0,1,009
00235,似,0014,0,1,009
00574,兒,0015,0,1,010
00567,光,0016,0,1,010
00582,入,0017,0,1,011
00701,凡,0018,0,1,016
00769,到,0019,0,1,018
00781,刹,0020,0,1,018
00865,劫,0021,0,1,019
00898,勢,0022,0,1,019
00863,助,0023,0,1,019
00866,劬,0024,0,1,019
00900,勤,0025,0,1,019
00881,勇,0026,0,1,019
00941,北,0027,0,1,021
01127,取,0028,0,1,029
01172,吉,0029,0,1,030
01503,噉,0030,0,1,030
01523,器,0031,0,1,030
01421,喩,0032,0,1,030
01143,句,0033,0,1,030
01627,固,0034,0,1,031
01645,圓,0035,0,1,031
01895,壞,0036,0,1,032
01943,夢,0037,0,1,036
01972,奇,0038,0,1,037
01949,夫,0039,0,1,037
02033,妄,0040,0,1,038
02268,存,0041,0,1,039
02349,家,0042,0,1,040
02333,宣,0043,0,1,040
02322,宗,0044,0,1,040
02327,宜,0045,0,1,040
02383,察,0046,0,1,040
02371,寒,0047,0,1,040
02429,尊,0048,0,1,041
02453,尟,0049,0,1,042
02464,就,0050,0,1,043
02564,岸,0051,0,1,046
02782,己,0052,0,1,049
02806,希,0053,0,1,050
02938,府,0054,0,1,053
02992,廢,0055,0,1,053
02949,庫,0056,0,1,053
03116,影,0057,0,1,059
03101,形,0058,0,1,059
03534,憶,0059,0,1,061
03335,悲,0060,0,1,061
03439,慈,0061,0,1,061
03585,懷,0062,0,1,061
03589,懼,0063,0,1,061
03404,愚,0064,0,1,061
03414,愧,0065,0,1,061
03453,慙,0066,0,1,061
03355,惑,0067,0,1,061
03267,恆,0068,0,1,061
03387,愁,0069,0,1,061
03297,恭,0070,0,1,061
03329,患,0071,0,1,061
03339,悶,0072,0,1,061
03720,抱,0073,0,1,064
03659,手,0074,0,1,064
03785,按,0075,0,1,064
03666,打,0076,0,1,064
04009,摩,0077,0,1,064
04008,摧,0078,0,1,064
03757,拘,0079,0,1,064
03690,承,0080,0,1,064
03896,提,0081,0,1,064
04216,支,0082,0,1,065
04261,教,0083,0,1,066
04293,敵,0084,0,1,066
04286,敬,0085,0,1,066
04321,文,0086,0,1,067
04603,暫,0087,0,1,072
04636,曜,0088,0,1,072
04485,明,0089,0,1,072
04557,普,0090,0,1,072
04621,曇,0091,0,1,072
04664,最,0092,0,1,073
04693,望,0093,0,1,074
05348,橋,0094,0,1,075
04967,梁,0095,0,1,075
05014,棄,0096,0,1,075
05081,椎,0097,0,1,075
05588,欻,0098,0,1,076
05609,歌,0099,0,1,076
05612,歎,0100,0,1,076
05686,死,0101,0,1,078
06058,況,0102,0,1,085
06338,渴,0103,0,1,085
06192,消,0104,0,1,085
06918,照,0105,0,1,086
06784,灰,0106,0,1,086
06882,焰,0107,0,1,086
06986,燥,0108,0,1,086
07017,爛,0109,0,1,086
06941,熏,0110,0,1,086
07125,狂,0111,0,1,094
07287,珍,0112,0,1,096
07420,瓮,0113,0,1,098
07520,畢,0114,0,1,102
07573,疥,0115,0,1,104
07697,癲,0116,0,1,104
07690,癩,0117,0,1,104
07580,疲,0118,0,1,104
07785,盧,0119,0,1,108
07954,石,0120,0,1,112
08130,祥,0121,0,1,113
08269,積,0122,0,1,115
08279,穢,0123,0,1,115
08296,空,0124,0,1,116
08293,究,0125,0,1,116
08501,築,0126,0,1,118
08963,縛,0127,0,1,120
08807,結,0128,0,1,120
09061,續,0129,0,1,120
09085,缺,0130,0,1,121
09148,羈,0131,0,1,122
09232,翫,0132,0,1,124
09250,老,0133,0,1,125
09290,耳,0134,0,1,128
09516,腹,0135,0,1,130
09370,肩,0136,0,1,130
09395,胎,0137,0,1,130
09630,興,0138,0,1,134
09633,舊,0139,0,1,134
09656,舞,0140,0,1,136
09758,花,0141,0,1,140
09846,草,0142,0,1,140
10163,薩,0143,0,1,140
10272,虛,0144,0,1,141
10630,衞,0145,0,1,144
10649,衰,0146,0,1,145
10822,要,0147,0,1,146
10848,親,0148,0,1,147
10860,角,0149,0,1,148
11200,護,0150,0,1,149
11058,論,0151,0,1,149
11189,譬,0152,0,1,149
10919,訟,0153,0,1,149
11338,貧,0154,0,1,154
11328,貝,0155,0,1,154
11377,賊,0156,0,1,154
11621,蹋,0157,0,1,157
11827,輪,0158,0,1,159
11745,軍,0159,0,1,159
11740,車,0160,0,1,159
11916,辯,0161,0,1,160
12030,逼,0162,0,1,162
12083,遮,0163,0,1,162
11982,退,0164,0,1,162
12047,遏,0165,0,1,162
12000,通,0166,0,1,162
12176,部,0167,0,1,163
12188,都,0168,0,1,163
12313,醉,0169,0,1,164
12714,閉,0170,0,1,169
12560,鍵,0171,0,1,167
12830,阿,0172,0,1,170
12913,際,0173,0,1,170
12963,集,0174,0,1,172
12997,雜,0175,0,1,172
13293,響,0176,0,1,180
11411,賴,0177,0,1,154
13395,顚,0178,0,1,181
13359,頻,0179,0,1,181
13508,飢,0180,0,1,184
13999,鬘,0181,0,1,190
14033,鬭,0182,0,1,191
14730,黨,0183,0,1,203
14829,齋,0184,0,1,210
00007,三,0185,1,61,001
00004,七,0187,1,14,001
00001,一,0188,1,62,001
00013,不,0190,1,77,001
00008,上,0192,1,15,001
00025,世,0193,1,18,001
00051,中,0194,1,19,002
00070,主,0195,1,2,003
00078,乃,0196,1,2,004
00102,乘,0197,1,5,004
00085,久,0198,1,5,004
00093,乏,0199,1,2,004
00088,之,0200,1,11,004
00107,九,0201,1,3,005
00128,事,0202,1,29,006
00125,了,0203,1,2,006
00133,云,0204,1,10,007
00135,五,0205,1,29,007
00129,二,0206,1,46,007
00154,亦,0207,1,24,008
00152,交,0208,1,3,008
00245,住,0209,1,20,009
00350,倶,0210,1,3,009
00299,供,0211,1,8,009
00243,位,0212,1,3,009
00449,傍,0213,1,4,009
00183,他,0214,1,18,009
00301,依,0215,1,85,009
00236,伽,0217,1,2,009
00193,令,0218,1,3,009
00175,今,0219,1,3,009
00345,信,0220,1,3,009
00317,侵,0221,1,2,009
00233,伺,0222,1,28,009
00321,便,0223,1,17,009
00250,何,0224,1,46,009
00282,來,0225,1,3,009
00256,作,0226,1,23,009
00194,以,0227,1,28,009
00168,人,0228,1,8,009
00565,兇,0229,1,2,010
00562,充,0230,1,4,010
00566,先,0231,1,15,010
00585,内,0232,1,7,011
00599,共,0233,1,2,012
00605,其,0234,1,10,012
00606,具,0235,1,20,012
00594,八,0236,1,8,012
00597,六,0237,1,17,012
00672,冷,0238,1,2,015
00723,出,0239,1,6,017
00735,切,0240,1,15,018
00767,利,0241,1,3,018
00759,初,0242,1,4,018
00734,分,0243,1,44,018
00776,制,0244,1,2,018
00789,則,0245,1,5,018
00763,別,0246,1,23,018
00794,前,0247,1,3,018
00887,動,0248,1,3,019
00856,力,0249,1,11,019
00893,勝,0250,1,26,019
00857,功,0251,1,8,019
00938,化,0252,1,23,021
00968,匱,0253,1,3,022
01010,南,0254,1,3,024
00985,十,0255,1,14,024
01049,卽,0256,1,19,026
01111,及,0257,1,31,029
01128,受,0258,1,83,029
01108,又,0260,1,40,029
01112,友,0261,1,3,029
01252,命,0262,1,14,030
01412,喜,0263,1,19,030
01154,可,0264,1,11,030
01179,向,0265,1,6,030
01242,味,0266,1,3,030
01349,唯,0267,1,10,030
01581,嚴,0268,1,2,030
01175,名,0269,1,16,030
01395,善,0270,1,32,030
01168,各,0271,1,3,030
01170,合,0272,1,18,030
01174,同,0273,1,4,030
01263,和,0274,1,18,030
01369,問,0275,1,6,030
01455,嗢,0276,1,2,030
01607,四,0277,1,47,031
01611,因,0278,1,106,031
01853,增,0281,1,17,032
01666,地,0282,1,18,032
01755,執,0283,1,2,032
01863,墮,0284,1,5,032
01831,塵,0285,1,15,032
01818,塗,0286,1,2,032
01659,在,0287,1,12,032
01767,堅,0288,1,2,032
01839,境,0289,1,11,032
01903,士,0290,1,7,033
01913,壽,0291,1,3,033
01934,外,0292,1,8,036
01938,多,0293,1,15,036
01947,天,0294,1,44,037
01957,失,0295,1,3,037
01946,大,0296,1,14,037
02013,奪,0297,1,2,037
02031,如,0298,1,108,038
02045,妙,0301,1,4,038
02061,妻,0302,1,2,038
02142,婆,0303,1,4,038
02196,嫁,0304,1,2,038
02134,娶,0305,1,2,038
02159,婬,0306,1,4,038
02022,女,0307,1,6,038
02062,妾,0308,1,2,038
02231,嬈,0309,1,4,038
02293,學,0310,1,4,039
02262,子,0311,1,10,039
02309,安,0312,1,5,040
02325,定,0313,1,12,040
02390,實,0314,1,9,040
02346,害,0315,1,8,040
02357,寂,0316,1,3,040
02435,對,0317,1,3,041
08077,礙,0318,1,8,112
02430,尋,0319,1,30,041
02425,將,0320,1,3,041
02439,小,0321,1,2,042
02440,少,0322,1,12,042
02469,尸,0323,1,2,044
02496,展,0324,1,3,044
02780,差,0325,1,15,048
02773,工,0326,1,3,048
02775,巧,0327,1,3,048
02783,已,0328,1,10,049
02847,常,0329,1,7,050
02907,幻,0330,1,2,052
02993,廣,0331,1,10,053
02944,度,0332,1,2,053
03006,建,0333,1,27,054
03044,引,0334,1,39,057
03124,彼,0335,1,35,060
03145,得,0336,1,33,060
03138,後,0337,1,11,060
03128,往,0338,1,3,060
03159,復,0339a,2,26,060
03159b,復,0339b,2,1,060
03165,微,0340,1,4,060
03151,從,0341,1,6,060
03132,待,0342,1,7,060
03179,心,0343,1,11,061
03298,息,0344,1,7,061
03409,感,0345,1,3,061
03395,意,0346,1,12,061
03462,慧,0347,1,16,061
03466,慮,0348,1,9,061
03486,憂,0349,1,7,061
03348,情,0350,1,15,061
03550,應,0351,1,34,061
03372,惱,0352,1,23,061
03244,性,0353,1,13,061
03239,思,0354,1,4,061
03405,愛,0355,1,23,061
03233,怖,0356,1,4,061
03245,怨,0357,1,7,061
03458,慢,0358,1,2,061
03518,憤,0359,1,3,061
03309,悦,0360,1,2,061
03214,念,0361,1,4,061
03196,忘,0362,1,2,061
03373,想,0363,1,5,061
03278,恚,0364,1,2,061
03367,惡,0365,1,4,061
03180,必,0366,1,3,061
03481,㥻,0367,1,3,061
03636,戲,0368,1,2,062
03610,成,0369,1,21,062
03611,我,0370,1,4,062
03612,戒,0371,1,4,062
03647,所,0372,1,131,063
03835,捨,0375,1,7,064
03780,持,0376,1,7,064
04192,攝,0377,1,30,064
04085,擇,0378,1,6,064
03939,損,0379,1,11,064
03880,推,0380,1,2,064
03751,拕,0381,1,2,064
04243,故,0382,1,99,066
04319,變,0384,1,9,066
04381,斷,0385,1,4,069
04385,方,0386,1,15,070
04389,於,0387,1,33,070
04391,施,0388,1,43,070
04569,智,0389,1,5,072
04523,時,0390,1,28,072
04512,是,0391,1,75,072
04650,曰,0393,1,3,073
04667,會,0394,1,3,073
04654,更,0395,1,4,073
04674,有,0396,1,124,074
04679,服,0399,1,2,074
05228,槃,0400,1,2,075
05152,業,0401,1,20,075
04922,根,0402,1,9,075
05279,樂,0403,1,90,075
04848,染,0405,1,4,075
04849,柔,0406,1,2,075
04711,未,0407,1,5,075
04713,本,0408,1,4,075
04806,果,0409,1,17,075
05010,梵,0410,1,7,075
05381,橫,0411,1,3,075
05161,極,0412,1,4,075
05580,欲,0413,1,87,076
05558,次,0415,1,11,076
05561,欣,0416,1,3,076
05644,此,0417,1,38,077
05641,止,0418,1,4,077
05643,正,0419,1,17,077
05666,歳,0420,1,6,077
05717,殊,0421,1,16,078
