カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号
0001,乘,0,,,00102,004
0002,二,0,,,00129,007
0003,優,0,,,00542,009
0004,倦,0,,,00387,009
0005,僉,0,,,00483,009
0006,傍,0,,,00449,009
0007,似,0,,,00235,009
0008,克,0,,,00568,010
0009,内,0,,,00585,011
0010,兩,0,,,00591,011
0011,凝,0,,,00696,015
0012,制,0,,,00776,018
0013,分,0,,,00734,018
0014,則,0,,,00789,018
0015,劣,0,,,00859,019
0016,勞,0,,,00894,019
0017,助,0,,,00863,019
0018,匝,0,,,00951,022
0019,千,0,,,00987,024
0020,厭,0,,,01088,027
0021,叢,0,,,01139,029
0022,合,0,,,01170,030
0023,品,0,,,01296,030
0024,哀,0,,,01295,030
0025,墮,0,,,01863,032
0026,堅,0,,,01767,032
0027,坦,0,,,01690,032
0028,壽,0,,,01913,033
0029,夢,0,,,01943,036
0030,多,0,,,01938,036
0031,契,0,,,01984,037
0032,宮,0,,,02342,040
0033,宜,0,,,02327,040
0034,家,0,,,02349,040
0035,專,0,,,02426,041
0036,將,0,,,02425,041
0037,少,0,,,02440,042
0038,就,0,,,02464,043
0039,屬,0,,,02515,044
0040,峯,0,,,02589,046
0041,幻,0,,,02907,052
0042,弘,0,,,03047,057
0043,待,0,,,03132,060
0044,後,0,,,03138,060
0045,忽,0,,,03219,061
0046,怖,0,,,03233,061
0047,惑,0,,,03355,061
0048,想,0,,,03373,061
0049,感,0,,,03409,061
0050,愛,0,,,03405,061
0051,悦,0,,,03309,061
0052,惟,0,,,03365,061
0053,惡,0,,,03367,061
0054,悲,0,,,03335,061
0055,恭,0,,,03297,061
0056,戸,0,,,03640,063
0057,摧,0,,,04008,064
0058,支,0,,,04216,065
0059,敬,0,,,04286,066
0060,斷,0,,,04381,069
0061,曉,0,,,04623,072
0062,暢,0,,,04600,072
0063,校,0,,,04904,075
0064,業,0,,,05152,075
0065,機,0,,,05368,075
0066,歎,0,,,05612,076
0067,死,0,,,05686,078
0068,殿,0,,,05809,079
0069,毫,0,,,05867,082
0070,潔,0,,,06532,085
0071,流,0,,,06151,085
0072,淺,0,,,06292,085
0073,滯,0,,,06462,085
0074,水,0,,,05952,085
0075,游,0,,,06340,085
0076,熾,0,,,06965,086
0077,熟,0,,,06949,086
0078,07063,0,,,07063,091
0079,物,0,,,07080,093
0080,特,0,,,07086,093
0081,状,0,,,07122,094
0082,猶,0,,,07203,094
0083,瑩,0,,,07352,096
0084,玻,0,,,07279,096
0085,07392,0,,,07392,096
0086,用,0,,,07469,101
0087,疲,0,,,07580,104
0088,白,0,,,07709,106
0089,眷,0,,,07839,109
0090,眉,0,,,07813,109
0091,砌,0,,,07966,112
0092,端,0,,,08376,117
0093,縁,0,,,08924,120
0094,終,0,,,08795,120
0095,習,0,,,09214,124
0096,聚,0,,,09314,128
0097,舒,0,,,09643,135
0098,蒙,0,,,10008,140
0099,蘂,0,,,10223,140
0100,覲,0,,,10852,147
0101,識,0,,,11171,149
0102,誓,0,,,11008,149
0103,資,0,,,11373,154
0104,赴,0,,,11457,156
0105,軍,0,,,11745,159
0106,辟,0,,,11898,160
0107,過,0,,,12046,162
0108,退,0,,,11982,162
0109,迥,0,,,11958,162
0110,邪,0,,,12139,163
0111,鉢,0,,,12440,167
0112,鈴,0,,,12418,167
0113,闡,0,,,12795,169
0114,階,0,,,12892,170
0115,雖,0,,,12991,172
0116,非,0,,,13104,175
0117,頃,0,,,13297,181
0118,類,0,,,13398,181
0119,魔,0,,,14088,194
0120,齒,0,,,14833,211
0121-0126,一,1,259,,00001,001
0127,上,1,19,,00008,001
0128,三,1,15,,00007,001
0129,下,1,9,,00009,001
0130-0132,世,1,101,,00025,001
0133-0134,不,1,52,,00013,001
0135-0137,中,1,118,,00051,002
0138,主,1,2,,00070,003
0139,乃,1,4,,00078,004
0140,之,1,23,,00088,004
0141,事,1,6,,00128,006
0142,了,1,10,,00125,006
0143,云,1,25,,00133,007
0144,亦,1,12,,00154,008
0145,人,1,5,,00168,009
0146-0147,來,1,65,,00282,009
0148-0152,佛,1,224,,00255,009
0153,何,1,25,,00250,009
0154,作,1,27,,00256,009
0155,令,1,32,,00193,009
0156,今,1,3,,00175,009
0157,供,1,18,,00299,009
0158,倶,1,12,,00350,009
0159,住,1,20,,00245,009
0160,伏,1,4,,00217,009
0161,像,1,7,,00489,009
0162,使,1,2,,00279,009
0163,便,1,10,,00321,009
0164,億,1,9,,00520,009
0165,信,1,6,,00345,009
0166,仰,1,2,,00199,009
0167,依,1,2,,00301,009
0168,以,1,38,,00194,009
0169,充,1,12,,00562,010
0170-0172,光,1,122,,00567,010
0173,入,1,33,,00582,011
0174,共,1,5,,00599,012
0175,其,1,40,,00605,012
0176,具,1,12,,00606,012
0177,出,1,19,,00723,017
0178-0179,刹,1,51,,00781,018
0180,利,1,2,,00767,018
0181-0184,切,1,174,,00735,018
0185,前,1,9,,00794,018
0186,別,1,9,,00763,018
0187,剛,1,3,,00803,018
0188,勤,1,2,,00900,019
0189,勝,1,10,,00893,019
0190,動,1,3,,00887,019
0191,加,1,4,,00858,019
0192,劫,1,15,,00865,019
0193,功,1,11,,00857,019
0194,力,1,32,,00856,019
0195,化,1,25,,00938,021
0196,北,1,6,,00941,021
0197-0200,十,1,151,,00985,024
0201,南,1,6,,01010,024
0202,即,1,13,,01049,026
0203,去,1,2,,01101,028
0204,及,1,20,,01111,029
0205,又,1,3,,01108,029
0206,受,1,4,,01128,029
0207,取,1,2,,01127,029
0208,喜,1,8,,01412,030
0209,吼,1,2,,01215,030
0210,唯,1,2,,01349,030
0211,周,1,18,,01235,030
0212,咸,1,7,,01288,030
0213-0214,嚴,1,53,,01581,030
0215,向,1,12,,01179,030
0216,可,1,8,,01154,030
0217,名,1,49,,01175,030
0218-0219,各,1,54,,01168,030
0220,同,1,9,,01174,030
0221,善,1,5,,01395,030
0222,右,1,2,,01158,030
0223,圍,1,4,,01641,031
0224,圓,1,17,,01645,031
0225,四,1,3,,01607,031
0226,場,1,15,,01798,032
0227,坐,1,21,,01682,032
0228,境,1,10,,01839,032
0229,垂,1,2,,01710,032
0230,塗,1,2,,01818,032
0231,在,1,10,,01659,032
0232,地,1,15,,01666,032
0233-0234,塵,1,76,,01831,032
0235,土,1,45,,01654,032
0236,奮,1,2,,02019,037
0237,天,1,4,,01947,037
0238,大,1,45,,01946,037
0239-0241,如,1,103,,02031,038
0242,妙,1,38,,02045,038
0243,威,1,19,,02105,038
0244,孔,1,8,,02264,039
0245,子,1,34,,02262,039
0246,宣,1,3,,02333,040
0247,密,1,3,,02361,040
0248-0249,寶,1,63,,02407,040
0250,實,1,4,,02390,040
0251,安,1,14,,02309,040
0252,察,1,17,,02383,040
0253,寂,1,3,,02357,040
0254,定,1,2,,02325,040
0255,尊,1,7,,02429,041
0256,導,1,6,,02436,041
0257,尼,1,37,,02473,044
0258,山,1,10,,02528,046
0259,差,1,8,,02780,048
0260,已,1,25,,02783,049
0261,幢,1,5,,02882,050
0262,帝,1,4,,02820,050
0263,師,1,31,,02835,050
0264,布,1,2,,02800,050
0265,帳,1,11,,02843,050
0266,常,1,5,,02847,050
0267,平,1,5,,02899,051
0268,廣,1,16,,02993,053
0269,度,1,5,,02944,053
0270,座,1,38,,02946,053
0271,建,1,3,,03006,054
0272,彌,1,12,,03084,057
0273,影,1,7,,03116,059
0274,形,1,5,,03101,059
0275,得,1,12,,03145,060
0276,徳,1,15,,03172,060
0277-0278,微,1,68,,03165,060
0279,彼,1,32,,03124,060
0280-0281,03157,1,54,,03157,060
0282,從,1,3,,03151,060
0283,往,1,11,,03128,060
0284,性,1,7,,03244,061
0285,慧,1,20,,03462,061
0286,應,1,10,,03550,061
0287,思,1,13,,03239,061
0288,愍,1,2,,03402,061
0289,悟,1,14,,03326,061
0290,心,1,12,,03179,061
0291,念,1,36,,03214,061
0292-0293,悉,1,52,,03312,061
0294,意,1,7,,03395,061
0295,恆,1,4,,03267,061
0296,或,1,5,,03617,062
0297,成,1,10,,03610,062
0298,我,1,2,,03611,062
0299-0300,所,1,68,,03647,063
0301,攝,1,4,,04192,064
0302,提,1,9,,03896,064
0303,持,1,4,,03780,064
0304-0305,摩,1,59,,04009,064
0306,揚,1,3,,03904,064
0307,承,1,11,,03690,064
0308,散,1,21,,04280,066
0309,教,1,2,,04261,066
0310,變,1,12,,04319,066
0311,故,1,4,,04243,066
0312-0313,數,1,60,,04298,066
0314,放,1,5,,04233,066
0315,斯,1,2,,04373,069
0316-0317,方,1,76,,04385,070
0318-0319,於,1,86,,04389,070
0320,日,1,6,,04446,072
0321,昔,1,3,,04490,072
0322-0323,普,1,88,,04557,072
0324-0325,明,1,80,,04485,072
0326-0327,是,1,65,,04512,072
