統合ID,文字,再麗華6,字体数,用例数,部首
00102,乘,0001,0,1,004
00129,二,0002,0,1,007
00542,優,0003,0,1,009
00387,倦,0004,0,1,009
00483,僉,0005,0,1,009
00449,傍,0006,0,1,009
00235,似,0007,0,1,009
00568,克,0008,0,1,010
00585,内,0009,0,1,011
00591,兩,0010,0,1,011
00696,凝,0011,0,1,015
00776,制,0012,0,1,018
00734,分,0013,0,1,018
00789,則,0014,0,1,018
00859,劣,0015,0,1,019
00894,勞,0016,0,1,019
00863,助,0017,0,1,019
00951,匝,0018,0,1,022
00987,千,0019,0,1,024
01088,厭,0020,0,1,027
01139,叢,0021,0,1,029
01170,合,0022,0,1,030
01296,品,0023,0,1,030
01295,哀,0024,0,1,030
01863,墮,0025,0,1,032
01767,堅,0026,0,1,032
01690,坦,0027,0,1,032
01913,壽,0028,0,1,033
01943,夢,0029,0,1,036
01938,多,0030,0,1,036
01984,契,0031,0,1,037
02342,宮,0032,0,1,040
02327,宜,0033,0,1,040
02349,家,0034,0,1,040
02426,專,0035,0,1,041
02425,將,0036,0,1,041
02440,少,0037,0,1,042
02464,就,0038,0,1,043
02515,屬,0039,0,1,044
02589,峯,0040,0,1,046
02907,幻,0041,0,1,052
03047,弘,0042,0,1,057
03132,待,0043,0,1,060
03138,後,0044,0,1,060
03219,忽,0045,0,1,061
03233,怖,0046,0,1,061
03355,惑,0047,0,1,061
03373,想,0048,0,1,061
03409,感,0049,0,1,061
03405,愛,0050,0,1,061
03309,悦,0051,0,1,061
03365,惟,0052,0,1,061
03367,惡,0053,0,1,061
03335,悲,0054,0,1,061
03297,恭,0055,0,1,061
03640,戸,0056,0,1,063
04008,摧,0057,0,1,064
04216,支,0058,0,1,065
04286,敬,0059,0,1,066
04381,斷,0060,0,1,069
04623,曉,0061,0,1,072
04600,暢,0062,0,1,072
04904,校,0063,0,1,075
05152,業,0064,0,1,075
05368,機,0065,0,1,075
05612,歎,0066,0,1,076
05686,死,0067,0,1,078
05809,殿,0068,0,1,079
05867,毫,0069,0,1,082
06532,潔,0070,0,1,085
06151,流,0071,0,1,085
06292,淺,0072,0,1,085
06462,滯,0073,0,1,085
05952,水,0074,0,1,085
06340,游,0075,0,1,085
06965,熾,0076,0,1,086
06949,熟,0077,0,1,086
07063,牖,0078,0,1,091
07080,物,0079,0,1,093
07086,特,0080,0,1,093
07122,狀,0081,0,1,094
07203,猶,0082,0,1,094
07352,瑩,0083,0,1,096
07279,玻,0084,0,1,096
07392,瓈,0085,0,1,096
07469,用,0086,0,1,101
07580,疲,0087,0,1,104
07709,白,0088,0,1,106
07839,眷,0089,0,1,109
07813,眉,0090,0,1,109
07966,砌,0091,0,1,112
08376,端,0092,0,1,117
08924,緣,0093,0,1,120
08795,終,0094,0,1,120
09214,習,0095,0,1,124
09314,聚,0096,0,1,128
09643,舒,0097,0,1,135
10008,蒙,0098,0,1,140
10223,蘂,0099,0,1,140
10852,覲,0100,0,1,147
11171,識,0101,0,1,149
11008,誓,0102,0,1,149
11373,資,0103,0,1,154
11457,赴,0104,0,1,156
11745,軍,0105,0,1,159
11898,辟,0106,0,1,160
12046,過,0107,0,1,162
11982,退,0108,0,1,162
11958,迥,0109,0,1,162
12139,邪,0110,0,1,163
12440,鉢,0111,0,1,167
12418,鈴,0112,0,1,167
12795,闡,0113,0,1,169
12892,階,0114,0,1,170
12991,雖,0115,0,1,172
13104,非,0116,0,1,175
13297,頃,0117,0,1,181
13398,類,0118,0,1,181
14088,魔,0119,0,1,194
14833,齒,0120,0,1,211
00001,一,0121,1,259,001
00008,上,0127,1,19,001
00007,三,0128,1,15,001
00009,下,0129,1,9,001
00025,世,0130,1,101,001
00013,不,0133,1,52,001
00051,中,0135,1,118,002
00070,主,0138,1,2,003
00078,乃,0139,1,4,004
00088,之,0140,1,23,004
00128,事,0141,1,6,006
00125,了,0142,1,10,006
00133,云,0143,1,25,007
00154,亦,0144,1,12,008
00168,人,0145,1,5,009
00282,來,0146,1,65,009
00255,佛,0148,1,224,009
00250,何,0153,1,25,009
00256,作,0154,1,27,009
00193,令,0155,1,32,009
00175,今,0156,1,3,009
00299,供,0157,1,18,009
00350,倶,0158,1,12,009
00245,住,0159,1,20,009
00217,伏,0160,1,4,009
00489,像,0161,1,7,009
00279,使,0162,1,2,009
00321,便,0163,1,10,009
00520,億,0164,1,9,009
00345,信,0165,1,6,009
00199,仰,0166,1,2,009
00301,依,0167,1,2,009
00194,以,0168,1,38,009
00562,充,0169,1,12,010
00567,光,0170,1,122,010
00582,入,0173,1,33,011
00599,共,0174,1,5,012
00605,其,0175,1,40,012
00606,具,0176,1,12,012
00723,出,0177,1,19,017
00781,刹,0178,1,51,018
00767,利,0180,1,2,018
00735,切,0181,1,174,018
00794,前,0185,1,9,018
00763,別,0186,1,9,018
00803,剛,0187,1,3,018
00900,勤,0188,1,2,019
00893,勝,0189,1,10,019
00887,動,0190,1,3,019
00858,加,0191,1,4,019
00865,劫,0192,1,15,019
00857,功,0193,1,11,019
00856,力,0194,1,32,019
00938,化,0195,1,25,021
00941,北,0196,1,6,021
00985,十,0197,1,151,024
01010,南,0201,1,6,024
01049,卽,0202,1,13,026
01101,去,0203,1,2,028
01111,及,0204,1,20,029
01108,又,0205,1,3,029
01128,受,0206,1,4,029
01127,取,0207,1,2,029
01412,喜,0208,1,8,030
01215,吼,0209,1,2,030
01349,唯,0210,1,2,030
01235,周,0211,1,18,030
01288,咸,0212,1,7,030
01581,嚴,0213,1,53,030
01179,向,0215,1,12,030
01154,可,0216,1,8,030
01175,名,0217,1,49,030
01168,各,0218,1,54,030
01174,同,0220,1,9,030
01395,善,0221,1,5,030
01158,右,0222,1,2,030
01641,圍,0223,1,4,031
01645,圓,0224,1,17,031
01607,四,0225,1,3,031
01798,場,0226,1,15,032
01682,坐,0227,1,21,032
01839,境,0228,1,10,032
01710,垂,0229,1,2,032
01818,塗,0230,1,2,032
01659,在,0231,1,10,032
01666,地,0232,1,15,032
01831,塵,0233,1,76,032
01654,土,0235,1,45,032
02019,奮,0236,1,2,037
01947,天,0237,1,4,037
01946,大,0238,1,45,037
02031,如,0239,1,103,038
02045,妙,0242,1,38,038
02105,威,0243,1,19,038
02264,孔,0244,1,8,039
02262,子,0245,1,34,039
02333,宣,0246,1,3,040
02361,密,0247,1,3,040
02407,寶,0248,1,63,040
02390,實,0250,1,4,040
02309,安,0251,1,14,040
02383,察,0252,1,17,040
02357,寂,0253,1,3,040
02325,定,0254,1,2,040
02429,尊,0255,1,7,041
02436,導,0256,1,6,041
02473,尼,0257,1,37,044
02528,山,0258,1,10,046
02780,差,0259,1,8,048
02783,已,0260,1,25,049
02882,幢,0261,1,5,050
02820,帝,0262,1,4,050
02835,師,0263,1,31,050
02800,布,0264,1,2,050
02843,帳,0265,1,11,050
02847,常,0266,1,5,050
02899,平,0267,1,5,051
02993,廣,0268,1,16,053
02944,度,0269,1,5,053
02946,座,0270,1,38,053
03006,建,0271,1,3,054
03084,彌,0272,1,12,057
03116,影,0273,1,7,059
03101,形,0274,1,5,059
03145,得,0275,1,12,060
03172,德,0276,1,15,060
03165,微,0277,1,68,060
03124,彼,0279,1,32,060
03157,徧,0280,1,54,060
03151,從,0282,1,3,060
03128,往,0283,1,11,060
03244,性,0284,1,7,061
03462,慧,0285,1,20,061
03550,應,0286,1,10,061
03239,思,0287,1,13,061
03402,愍,0288,1,2,061
03326,悟,0289,1,14,061
03179,心,0290,1,12,061
03214,念,0291,1,36,061
03312,悉,0292,1,52,061
03395,意,0294,1,7,061
03267,恆,0295,1,4,061
03617,或,0296,1,5,062
03610,成,0297,1,10,062
03611,我,0298,1,2,062
03647,所,0299,1,68,063
04192,攝,0301,1,4,064
03896,提,0302,1,9,064
03780,持,0303,1,4,064
04009,摩,0304,1,59,064
03904,揚,0306,1,3,064
03690,承,0307,1,11,064
04280,散,0308,1,21,066
04261,教,0309,1,2,066
04319,變,0310,1,12,066
04243,故,0311,1,4,066
04298,數,0312,1,60,066
04233,放,0314,1,5,066
04373,斯,0315,1,2,069
04385,方,0316,1,76,070
04389,於,0318,1,86,070
04446,日,0320,1,6,072
04490,昔,0321,1,3,072
04557,普,0322,1,88,072
04485,明,0324,1,80,072
04512,是,0326,1,65,072
04523,時,0328,1,21,072
04569,智,0329,1,35,072
04505,昧,0330,1,6,072
04650,曰,0331,1,11,073
04667,會,0332,1,18,073
04664,最,0333,1,2,073
04673,月,0334,1,2,074
04674,有,0335,1,77,074
04679,服,0337,1,2,074
04807,枝,0338,1,2,075
05323,樹,0339,1,21,075
04712,末,0340,1,2,075
04711,未,0341,1,3,075
04765,東,0342,1,6,075
05279,樂,0343,1,10,075
05293,樓,0344,1,12,075
05391,檀,0345,1,5,075
04918,栴,0346,1,2,075
05558,次,0347,1,11,076
05639,歡,0348,1,4,076
05580,欲,0349,1,3,076
05643,正,0350,1,8,077
05644,此,0351,1,30,077
05717,殊,0352,1,2,078
05692,歿,0353,1,2,078
05845,毗,0354,1,7,081
05850,毛,0355,1,12,082
06285,深,0356,1,12,085
06272,淨,0357,1,20,085
06476,滿,0358,1,36,085
06086,波,0359,1,4,085
06490,演,0360,1,23,085
06432,滅,0361,1,25,085
06335,測,0362,1,2,085
05983,汝,0363,1,3,085
06175,浮,0364,1,3,085
05957,永,0365,1,3,085
06055,治,0366,1,3,085
06290,清,0367,1,13,085
06074,法,0368,1,121,085
06182,海,0371,1,136,085
06872,無,0374,1,112,086
06978,燒,0377,1,2,086
06882,焰,0378,1,29,086
06918,照,0379,1,18,086
06885,然,0380,1,6,086
06971,燈,0381,1,12,086
07032,爲,0382,1,33,087
07043,爾,0383,1,17,089
07241,獲,0384,1,4,094
07304,現,0385,1,182,096
07290,珞,0389,1,6,096
07397,瓔,0390,1,6,096
07366,璃,0391,1,3,096
07348,瑠,0392,1,3,096
07291,珠,0393,1,3,096
07262,王,0394,1,31,096
07307,理,0395,1,2,096
07457,甚,0396,1,3,099
07461,生,0397,1,73,100
07501,界,0399,1,123,102
07535,當,0402,1,2,102
07503,畏,0403,1,3,102
07559,疑,0404,1,2,103
07707,發,0405,1,6,105
07717,皆,0406,1,26,106
07779,盡,0407,1,15,108
07759,益,0408,1,2,108
07785,盧,0409,1,6,108
07844,眾,0410,1,128,109
07827,眞,0413,1,9,109
07843,眼,0414,1,6,109
07801,相,0415,1,23,109
07907,瞻,0416,1,2,109
07941,知,0417,1,14,111
08077,礙,0418,1,11,112
08165,禮,0419,1,13,113
08124,神,0420,1,45,113
08097,示,0421,1,21,113
08148,福,0422,1,2,113
08244,種,0423,1,146,115
08296,空,0426,1,27,116
08354,立,0427,1,6,117
08426,等,0428,1,27,118
08412,第,0429,1,2,118
08685,精,0430,1,2,119
08807,結,0431,1,11,120
08856,經,0432,1,3,120
08885,網,0433,1,9,120
09144,羅,0434,1,5,122
09175,羣,0435,1,3,123
09249,耀,0436,1,7,124
09255,者,0437,1,12,125
09264,而,0438,1,52,126
09315,聞,0440,1,8,128
09290,耳,0441,1,2,128
09335,聽,0442,1,2,128
09328,聲,0443,1,15,128
09429,能,0444,1,48,130
09463,脱,0445,1,7,130
09462,脩,0446,1,16,130
09602,自,0447,1,7,132
