カード番号,文字,字体数,用例数1,用例数2,用例数3,部首,大字典
0001,丘,0,,,,001,00026
0002,伴,0,,,,009,00230
0003,倦,0,,,,009,00387
0004,何,0,,,,009,00250
0005,位,0,,,,009,00243
0006,儀,0,,,,009,00516
0007,倒,0,,,,009,00373
0008,俗,0,,,,009,00338
0009,仰,0,,,,009,00199
0010,任,0,,,,009,00206
0011,兜,0,,,,010,00579
0012,兩,0,,,,011,00591
0013,凡,0,,,,016,00701
0014,勸,0,,,,019,00913
0015,劣,0,,,,019,00859
0016,命,0,,,,030,01252
0017,哀,0,,,,030,01295
0018,咤,0,,,,030,01276
0019,咎,0,,,,030,01265
0020,圍,0,,,,031,01641
0021,堅,0,,,,032,01767
0022,夢,0,,,,036,01943
0023,奧,0,,,,037,02010
0024,央,0,,,,037,01954
0025,奉,0,,,,037,01974
0026,好,0,,,,038,02029
0027,害,0,,,,040,02346
0028,守,0,,,,040,02308
0029,對,0,,,,041,02435
0030,專,0,,,,041,02426
0031,居,0,,,,044,02482
0032,山,0,,,,046,02528
0033,幢,0,,,,050,02882
0034,幡,0,,,,050,02881
0035,希,0,,,,050,02806
0036,干,0,,,,051,02897
0037,并,0,,,,051,02902
0038,幽,0,,,,052,02912
0039,底,0,,,,053,02932
0040,引,0,,,,057,03044
0041,從,0,,,,060,03151
0042,往,0,,,,060,03128
0043,患,0,,,,061,03329
0044,慢,0,,,,061,03458
0045,惡,0,,,,061,03367
0046,息,0,,,,061,03298
0047,志,0,,,,061,03194
0048,怙,0,,,,061,03235
0049,戒,0,,,,062,03612
0050,戲,0,,,,062,03636
0051,搖,0,,,,064,03947
0052,擇,0,,,,064,04085
0053,排,0,,,,064,03862
0054,救,0,,,,066,04263
0055,文,0,,,,067,04321
0056,曩,0,,,,072,04645
0057,易,0,,,,072,04489
0058,晝,0,,,,072,04542
0059,暫,0,,,,072,04603
0060,暢,0,,,,072,04600
0061,曰,0,,,,073,04650
0063,染,0,,,,075,04848
0064,機,0,,,,075,05368
0065,極,0,,,,075,05161
0066,毘,0,,,,081,05845
0067,濟,0,,,,085,06641
0068,淳,0,,,,085,06286
0069,洲,0,,,,085 ,06138
0070,溺,0,,,,085,06422
0071,浮,0,,,,085,06175
0072,涼,0,,,,085,06230
0073,灌,0,,,,085,06748
0074,沮,0,,,,085,06041
0075,測,0,,,,085,06335
0076,河,0,,,,085,06045
0077,熾,0,,,,086,06965
0078,焔,0,,,,086,06882
0079,牛,0,,,,093,07072
0080,厭,0,,,,027,01088
0081,率,0,,,,095,07259
0082,理,0,,,,096,07307
0083,珞,0,,,,096,07290
0084,瓔,0,,,,096,07397
0085,甘,0,,,,099,07456
0086,登,0,,,,105,07706
0087,瞻,0,,,,109,07907
0088,積,0,,,,115,08269
0089,稱,0,,,,115,08248
0090,究,0,,,,116,08293
0091,竝,0,,,,117,08361
0092,童,0,,,,117,08371
0093,箭,0,,,,118,08479
0094,笛,0,,,,118,08400
0095,簫,0,,,,118,08577
0096,統,0,,,,120,08833
0097,置,0,,,,122,09128
0098,羈,0,,,,122,09148
0099,翦,0,,,,124,09228
0100,職,0,,,,128,09332
0101,擧,0,,,,134,09632
0102,舍,0,,,,135,09638
0103,般,0,,,,137,09665
0104,船,0,,,,137,09675
0105,蓋,0,,,,140,10040
0106,茲,0,,,,095,07258
0107,蒙,0,,,,140,10008
0108,華,0,,,,140,09921
0109,蘊,0,,,,140,10232
0110,衣,0,,,,145,10637
0111,要,0,,,,146,10822
0112,論,0,,,,149,11058
0113,請,0,,,,149,11049
0114,詠,0,,,,149,10969
0115,諦,0,,,,149,11072
0116,誨,0,,,,149,11024
0117,誘,0,,,,149,11012
0118,谷,0,,,,150,11234
0119,資,0,,,,154,11373
0120,貪,0,,,,154,11342
0121,踊,0,,,,157,11565
0122,迹,0,,,,162,11976
0123,輕,0,,,,159,11802
0124,違,0,,,,162,12054
