統合ID,文字,和寧華38,字体数,用例数,部首
00026,丘,0001,0,1,001
00230,伴,0002,0,1,009
00387,倦,0003,0,1,009
00250,何,0004,0,1,009
00243,位,0005,0,1,009
00516,儀,0006,0,1,009
00373,倒,0007,0,1,009
00338,俗,0008,0,1,009
00199,仰,0009,0,1,009
00206,任,0010,0,1,009
00579,兜,0011,0,1,010
00591,兩,0012,0,1,011
00701,凡,0013,0,1,016
00913,勸,0014,0,1,019
00859,劣,0015,0,1,019
01252,命,0016,0,1,030
01295,哀,0017,0,1,030
01276,咤,0018,0,1,030
01265,咎,0019,0,1,030
01641,圍,0020,0,1,031
01767,堅,0021,0,1,032
01943,夢,0022,0,1,036
02010,奧,0023,0,1,037
01954,央,0024,0,1,037
01974,奉,0025,0,1,037
02029,好,0026,0,1,038
02346,害,0027,0,1,040
02308,守,0028,0,1,040
02435,對,0029,0,1,041
02426,專,0030,0,1,041
02482,居,0031,0,1,044
02528,山,0032,0,1,046
02882,幢,0033,0,1,050
02881,幡,0034,0,1,050
02806,希,0035,0,1,050
02897,干,0036,0,1,051
02902,并,0037,0,1,051
02912,幽,0038,0,1,052
02932,底,0039,0,1,053
03044,引,0040,0,1,057
03151,從,0041,0,1,060
03128,往,0042,0,1,060
03329,患,0043,0,1,061
03458,慢,0044,0,1,061
03367,惡,0045,0,1,061
03298,息,0046,0,1,061
03194,志,0047,0,1,061
03235,怙,0048,0,1,061
03612,戒,0049,0,1,062
03636,戲,0050,0,1,062
03947,搖,0051,0,1,064
04085,擇,0052,0,1,064
03862,排,0053,0,1,064
04263,救,0054,0,1,066
04321,文,0055,0,1,067
04645,曩,0056,0,1,072
04489,易,0057,0,1,072
04542,晝,0058,0,1,072
04603,暫,0059,0,1,072
04600,暢,0060,0,1,072
04650,曰,0061,0,1,073
04848,染,0063,0,1,075
05368,機,0064,0,1,075
05161,極,0065,0,1,075
05845,毗,0066,0,1,081
06641,濟,0067,0,1,085
06286,淳,0068,0,1,085
06138,洲,0069,0,1,085
06422,溺,0070,0,1,085
06175,浮,0071,0,1,085
06230,涼,0072,0,1,085
06748,灌,0073,0,1,085
06041,沮,0074,0,1,085
06335,測,0075,0,1,085
06045,河,0076,0,1,085
06965,熾,0077,0,1,086
06882,焰,0078,0,1,086
07072,牛,0079,0,1,093
01088,厭,0080,0,1,027
07259,率,0081,0,1,095
07307,理,0082,0,1,096
07290,珞,0083,0,1,096
07397,瓔,0084,0,1,096
07456,甘,0085,0,1,099
07706,登,0086,0,1,105
07907,瞻,0087,0,1,109
08269,積,0088,0,1,115
08248,稱,0089,0,1,115
08293,究,0090,0,1,116
08361,竝,0091,0,1,117
08371,童,0092,0,1,117
08479,箭,0093,0,1,118
08400,笛,0094,0,1,118
08577,簫,0095,0,1,118
08833,統,0096,0,1,120
09128,置,0097,0,1,122
09148,羈,0098,0,1,122
09228,翦,0099,0,1,124
09332,職,0100,0,1,128
09632,擧,0101,0,1,134
09638,舍,0102,0,1,135
09665,般,0103,0,1,137
09675,船,0104,0,1,137
10040,蓋,0105,0,1,140
07258,玆,0106,0,1,095
10008,蒙,0107,0,1,140
09921,華,0108,0,1,140
10232,蘊,0109,0,1,140
10637,衣,0110,0,1,145
10822,要,0111,0,1,146
11058,論,0112,0,1,149
11049,請,0113,0,1,149
10969,詠,0114,0,1,149
11072,諦,0115,0,1,149
11024,誨,0116,0,1,149
11012,誘,0117,0,1,149
11234,谷,0118,0,1,150
11373,資,0119,0,1,154
11342,貪,0120,0,1,154
11565,踊,0121,0,1,157
11976,迹,0122,0,1,162
11802,輕,0123,0,1,159
12054,違,0124,0,1,162
12001,逝,0125,0,1,162
11960,迦,0126,0,1,162
11965,迫,0127,0,1,162
12043,運,0128,0,1,162
12052,達,0129,0,1,162
11986,逆,0130,0,1,162
12654,鐵,0131,0,1,167
12440,鉢,0132,0,1,167
12563,鍾,0133,0,1,167
12757,閻,0134,0,1,169
12795,闡,0135,0,1,169
12903,隘,0136,0,1,170
12997,雜,0137,0,1,172
13036,震,0138,0,1,173
13073,露,0139,0,1,173
M42333,霔,0140,0,1,173
13293,響,0141,0,1,180
13398,類,0142,0,1,181
13416,顯,0143,0,1,181
13346,頭,0144,0,1,181
13542,飾,0145,0,1,184
13667,香,0146,0,1,186
13999,鬘,0147,0,1,190
14775,鼓,0148,0,1,207
00025,世,0149a,2,30,001
00025b,世,0149b,2,18,001
00008,上,0150,1,18,001
00007,三,0151,1,37,001
00004,七,0152,1,3,001
00009,下,0153,1,6,001
00001,一,0154,1,135,001
00013,不,0157,1,110,001
00051,中,0160,1,42,002
00070,主,0161,1,6,003
00102,乘,0162,1,20,004
00088,之,0163,1,12,004
00085,久,0164,1,2,004
00078,乃,0165,1,29,004
00107,九,0166,1,9,005
00128,事,0167,1,12,006
00125,了,0168,1,9,006
00129,二,0169,1,10,007
00135,五,0170,1,2,007
00520,億,0171,1,13,009
00194,以,0172,1,62,009
00193,令,0174,1,15,009
00350,倶,0175,1,9,009
00175,今,0176,1,4,009
00255,佛,0177,1,88,009
00282,來,0179,1,35,009
00177,仍,0180,1,2,009
00168,人,0181,1,8,009
00405,假,0182,1,5,009
00217,伏,0183,1,2,009
00301,依,0184,1,3,009
00321,便,0185,1,4,009
00183,他,0186,1,9,009
00503,僧,0187,1,9,009
00345,信,0188,1,6,009
00279,使,0189,1,5,009
00299,供,0190,1,13,009
00288,侍,0191,1,2,009
00240,但,0192,1,4,009
00245,住,0193,1,44,009
00562,充,0194,1,3,010
00566,先,0195,1,3,010
00567,光,0196,1,13,010
00582,入,0197,1,27,011
00585,内,0198,1,2,011
00605,其,0199,1,26,012
00597,六,0200,1,4,012
00594,八,0201,1,13,012
00599,共,0202,1,14,012
00606,具,0203,1,7,012
00723,出,0204,1,12,017
00759,初,0205,1,2,018
00767,利,0206,1,8,018
00789,則,0207,1,8,018
00763,別,0208,1,73,018
00803,剛,0210,1,7,018
00734,分,0211,1,14,018
00794,前,0212,1,5,018
00735,切,0213,1,66,018
00858,加,0215,1,2,019
00863,助,0216,1,2,019
00893,勝,0217,1,16,019
00857,功,0218,1,10,019
00865,劫,0219,1,13,019
00856,力,0220,1,46,019
00887,動,0221,1,13,019
00898,勢,0222,1,2,019
00900,勤,0223,1,5,019
00938,化,0224,1,11,021
00985,十,0225,1,11,024
00987,千,0226,1,47,024
01049,卽,0227,1,2,026
01101,去,0228,1,2,028
01111,及,0229,1,17,029
01127,取,0230,1,2,029
01128,受,0231,1,22,029
01108,又,0232,1,15,029
01219,告,0233,1,2,030
01288,咸,0234,1,3,030
01395,善,0235,1,66,030
01143,句,0237,1,2,030
01235,周,0238,1,2,030
01174,同,0239,1,12,030
01581,嚴,0240,1,7,030
01175,名,0241,1,19,030
01154,可,0242,1,15,030
01369,問,0243,1,9,030
01412,喜,0244,1,7,030
01168,各,0245,1,23,030
01607,四,0246,1,15,031
01645,圓,0247,1,2,031
01611,因,0248,1,5,031
01639,國,0249,1,16,031
01654,土,0250,1,16,032
01666,地,0251,1,58,032
01853,增,0253,1,6,032
01796,報,0254,1,12,032
01682,坐,0255,1,2,032
01839,境,0256,1,5,032
01726,垢,0257,1,3,032
01895,壞,0258,1,17,032
01659,在,0259,1,27,032
01903,士,0260,1,2,033
01939,夜,0261,1,3,036
01938,多,0262,1,5,036
01946,大,0263,1,61,037
01957,失,0265,1,6,037
01981,奏,0266,1,3,037
01947,天,0267,1,26,037
02045,妙,0268,1,18,038
02022,女,0269,1,2,038
02105,威,0270,1,5,038
02142,婆,0271,1,2,038
02033,妄,0272,1,2,038
02069,始,0273,1,4,038
02031,如,0274,1,116,038
02262,子,0277,1,31,039
02264,孔,0278,1,2,039
02293,學,0279,1,2,039
02267,字,0280,1,2,039
02361,密,0281,1,4,040
02333,宣,0282,1,3,040
02325,定,0283,1,28,040
02383,察,0284,1,10,040
02357,寂,0285,1,6,040
02390,實,0286,1,15,040
02407,寶,0287,1,6,040
02309,安,0288,1,4,040
02436,導,0289,1,2,041
02429,尊,0290,1,6,041
02439,小,0291,1,6,042
02464,就,0292,1,15,043
02485,屈,0293,1,3,044
02515,屬,0294,1,2,044
02775,巧,0295,1,7,048
02783,已,0296,1,14,049
02847,常,0297,1,9,050
02835,師,0298,1,7,050
