カード番号,文字,用例数1,用例数2,用例数3,字体数,部首番号,大字典番号
0001,久,,,,0,004,00085
0002,乘,,,,0,004,00102
0003,亂,,,,0,005,00121
0004,九,,,,0,005,00107
0005,乞,,,,0,005,00108
0006,兒,,,,0,010,00574
0007,其,,,,0,012,00605
0008,前,,,,0,018,00794
0009,刄,,,,0,018,00732
0010,勒,,,,0,019,00885
0011,卅,,,,0,024,00989
0012,厭,,,,0,027,01088
0013,喚,,,,0,030,01410
0014,命,,,,0,030,01252
0015,嗅,,,,0,030,01439
0016,嗔,,,,0,030,01447
0017,吾,,,,0,030,01217
0018,嘗,,,,0,030,01479
0019,奉,,,,0,037,01974
0020,娯,,,,0,038,02118
0021,學,,,,0,039,02293
0022,家,,,,0,040,02349
0023,寛,,,,0,040,02397
0024,守,,,,0,040,02308
0025,M07290,,,,0,040,M07290
0026,害,,,,0,040,02346
0027,安,,,,0,040,02309
0028,寶,,,,0,040,02407
0029,富,,,,0,040,02366
0030,尚,,,,0,042,02446
0031,居,,,,0,044,02482
0032,山,,,,0,046,02528
0033,差,,,,0,048,02780
0034,布,,,,0,050,02800
0035,幾,,,,0,052,02915
0036,強,,,,0,057,03066
0037,彌,,,,0,057,03084
0038,往,,,,0,060,03128
0039,悔,,,,0,061,03320
0040,悦,,,,0,061,03309
0041,懈,,,,0,061,03549
0042,慳,,,,0,061,03471
0043,憂,,,,0,061,03486
0044,慈,,,,0,061,03439
0045,憚,,,,0,061,03511
0046,恐,,,,0,061,03272
0047,悲,,,,0,061,03335
0048,憎,,,,0,061,03497
0049,急,,,,0,061,03243
0050,愚,,,,0,061,03404
0051,忘,,,,0,061,03196
0052,恚,,,,0,061,03278
0053,戒,,,,0,062,03612
0054,承,,,,0,064,03690
0055,掌,,,,0,064,03858
0056,拔,,,,0,064,03750
0057,揩,,,,0,064,03916
0058,放,,,,0,066,04233
0059,整,,,,0,066,04303
0060,斷,,,,0,069,04381
0061,日,,,,0,072,04446
0062,映,,,,0,072,04500
0063,最,,,,0,073,04664
0064,月,,,,0,074,04673
0065,服,,,,0,074,04679
0066,梵,,,,0,075,05010
0067,梨,,,,0,075,04993
0068,樹,,,,0,075,05323
0069,死,,,,0,078,05686
0070,殺,,,,0,079,05796
0071,毀,,,,0,079,05812
0072,毘,,,,0,081,05845
0073,漏,,,,0,085,06487
0074,濁,,,,0,085,06617
0075,滿,,,,0,085,06476
0076,淺,,,,0,085,06292
0077,永,,,,0,085,05957
0078,波,,,,0,085,06086
0079,炎,,,,0,086,06801
0080,犯,,,,0,094,07112
0081,甚,,,,0,099,07457
0082,略,,,,0,102,07522
0083,疑,,,,0,103,07559
0084,疾,,,,0,104,07591
0085,瞋,,,,0,109,07878
0086,破,,,,0,112,07986
0087,禪,,,,0,113,08162
0088,移,,,,0,115,08212
0089,窮,,,,0,116,08329
0090,算,,,,0,118,08469
0091,答,,,,0,118,08437
0092,聽,,,,0,128,09335
0093,背,,,,0,130,09394
0094,育,,,,0,130,09379
0095,致,,,,0,133,09611
0096,般,,,,0,137,09665
0097,蔽,,,,0,140,10088
0098,補,,,,0,145,10714
0100,讀,,,,0,149,11207
0101,謗,,,,0,149,11116
0102,讚,,,,0,149,11229
0103,誹,,,,0,149,11035
0104,訖,,,,0,149,10912
0105,讎,,,,0,149,11220
0106,10943,,,,0,149,10943
0107,財,,,,0,154,11334
0108,赤,,,,0,155,11445
