,,okd_金剛小川,okd_金剛小川,okd_金剛小川,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00085,久,0001,0,1,004
00102,乘,0002,0,1,004
00121,亂,0003,0,1,005
00107,九,0004,0,1,005
00108,乞,0005,0,1,005
00574,兒,0006,0,1,010
00605,其,0007,0,1,012
00794,前,0008,0,1,018
00732,刃,0009,0,1,018
00885,勒,0010,0,1,019
00989,卅,0011,0,1,024
01088,厭,0012,0,1,027
01410,喚,0013,0,1,030
01252,命,0014,0,1,030
01439,嗅,0015,0,1,030
01447,嗔,0016,0,1,030
01217,吾,0017,0,1,030
01479,嘗,0018,0,1,030
01974,奉,0019,0,1,037
02118,娛,0020,0,1,038
02293,學,0021,0,1,039
02349,家,0022,0,1,040
02397,寬,0023,0,1,040
02308,守,0024,0,1,040
M07290,寣,0025,0,1,040
02346,害,0026,0,1,040
02309,安,0027,0,1,040
02407,寶,0028,0,1,040
02366,富,0029,0,1,040
02446,尚,0030,0,1,042
02482,居,0031,0,1,044
02528,山,0032,0,1,046
02780,差,0033,0,1,048
02800,布,0034,0,1,050
02915,幾,0035,0,1,052
03066,強,0036,0,1,057
03084,彌,0037,0,1,057
03128,往,0038,0,1,060
03320,悔,0039,0,1,061
03309,悦,0040,0,1,061
03549,懈,0041,0,1,061
03471,慳,0042,0,1,061
03486,憂,0043,0,1,061
03439,慈,0044,0,1,061
03511,憚,0045,0,1,061
03272,恐,0046,0,1,061
03335,悲,0047,0,1,061
03497,憎,0048,0,1,061
03243,急,0049,0,1,061
03404,愚,0050,0,1,061
03196,忘,0051,0,1,061
03278,恚,0052,0,1,061
03612,戒,0053,0,1,062
03690,承,0054,0,1,064
03858,掌,0055,0,1,064
03750,拔,0056,0,1,064
03916,揩,0057,0,1,064
04233,放,0058,0,1,066
04303,整,0059,0,1,066
04381,斷,0060,0,1,069
04446,日,0061,0,1,072
04500,映,0062,0,1,072
04664,最,0063,0,1,073
04673,月,0064,0,1,074
04679,服,0065,0,1,074
05010,梵,0066,0,1,075
04993,梨,0067,0,1,075
05323,樹,0068,0,1,075
05686,死,0069,0,1,078
05796,殺,0070,0,1,079
05812,毀,0071,0,1,079
05845,毗,0072,0,1,081
06487,漏,0073,0,1,085
06617,濁,0074,0,1,085
06476,滿,0075,0,1,085
06292,淺,0076,0,1,085
05957,永,0077,0,1,085
06086,波,0078,0,1,085
06801,炎,0079,0,1,086
07112,犯,0080,0,1,094
07457,甚,0081,0,1,099
07522,略,0082,0,1,102
07559,疑,0083,0,1,103
07591,疾,0084,0,1,104
07878,瞋,0085,0,1,109
07986,破,0086,0,1,112
08162,禪,0087,0,1,113
08212,移,0088,0,1,115
08329,窮,0089,0,1,116
08469,算,0090,0,1,118
08437,答,0091,0,1,118
09335,聽,0092,0,1,128
09394,背,0093,0,1,130
09379,育,0094,0,1,130
09611,致,0095,0,1,133
09665,般,0096,0,1,137
10088,蔽,0097,0,1,140
10714,補,0098,0,1,145
11207,讀,0100,0,1,149
11116,謗,0101,0,1,149
11229,讚,0102,0,1,149
11035,誹,0103,0,1,149
10912,訖,0104,0,1,149
11220,讎,0105,0,1,149
10943,訾,0106,0,1,149
11334,財,0107,0,1,154
11445,赤,0108,0,1,155
11471,越,0109,0,1,156
11542,跪,0110,0,1,157
11856,轉,0111,0,1,159
03157,徧,0112,0,1,060
12052,達,0113,0,1,162
12022,進,0114,0,1,162
12030,逼,0115,0,1,162
11996,逕,0116,0,1,162
12054,違,0117,0,1,162
12322,醒,0118,0,1,164
12373,重,0119,0,1,166
12406,鈍,0120,0,1,167
12664,鑊,0121,0,1,167
12698,長,0122,0,1,168
12838,降,0123,0,1,170
12855,除,0124,0,1,170
12935,隱,0125,0,1,170
13015,雪,0126,0,1,173
13095,青,0127,0,1,174
13302,順,0128,0,1,181
13346,頭,0129,0,1,181
13495,飛,0130,0,1,183
13565,餘,0131,0,1,184
13551,養,0132,0,1,184
13527,飯,0133,0,1,184
13820,騰,0134,0,1,187
13852,驚,0135,0,1,187
14033,鬭,0136,0,1,191
14693,黃,0137,0,1,201
01323,哭,0138,0,1,030
00001,一,0139,1,74,001
00008,上,0140,1,3,001
00009,下,0141,1,4,001
00025,世,0142,1,64,001
00013,不,0143,1,156,001
00007,三,0146,1,19,001
00026,丘,0147,1,2,001
00051,中,0148,1,41,002
00088,之,0149,1,5,004
00078,乃,0150,1,5,004
00118,乾,0151,1,6,005
00109,也,0152,1,9,005
00128,事,0153,1,4,006
00129,二,0154,1,12,007
00135,五,0155,1,3,007
00133,云,0156,1,29,007
00154,亦,0157,1,37,008
00175,今,0158,1,5,009
00194,以,0159,1,19,009
00250,何,0160,1,51,009
00168,人,0161,1,26,009
00245,住,0162,1,15,009
00282,來,0163,1,50,009
00256,作,0164,1,21,009
00255,佛,0165,1,106,009
00193,令,0166,1,5,009
00240,但,0167,1,3,009
00405,假,0168,1,3,009
00183,他,0169,1,3,009
00243,位,0170,1,2,009
00301,依,0171,1,8,009
00350,倶,0172,1,2,009
00373,倒,0173,1,8,009
00217,伏,0174,1,2,009
00236,伽,0175,1,11,009
00503,僧,0176,1,4,009
00567,光,0177,1,2,010
00582,入,0178,1,47,011
00585,内,0179,1,11,011
00599,共,0180,1,5,012
00597,六,0181,1,4,012
00701,凡,0182,1,18,016
00723,出,0183,1,4,017
00734,分,0184,1,19,018
00767,利,0185,1,151,018
00735,切,0188,1,56,018
00781,刹,0189,1,4,018
00763,別,0190,1,18,018
00769,到,0191,1,3,018
00789,則,0192,1,2,018
00759,初,0193,1,3,018
00856,力,0194,1,4,019
00865,劫,0195,1,2,019
00893,勝,0196,1,2,019
00887,動,0197,1,2,019
00857,功,0198,1,4,019
00938,化,0199,1,8,021
00941,北,0200,1,3,021
00985,十,0201,1,3,024
00987,千,0202,1,10,024
01010,南,0203,1,3,024
01027,卩,0204,1,23,026
01049,卽,0205,1,16,026
01101,去,0206,1,10,028
01128,受,0207,1,18,029
01111,及,0208,1,29,029
01109,叉,0209,1,6,029
01127,取,0210,1,19,029
01179,向,0211,1,4,030
01349,唯,0212,1,2,030
