統合ID,文字,カード番号,字体数,用例数,部首,
00107,九,0001,0,1,005,
00342,保,0002,0,1,009,
00594,八,0003,0,1,012,
00987,千,0004,0,1,024,
01207,呉,0005,0,1,030,
01859,墨,0006,0,1,032,
02151,婢,0007,0,1,038,
02282,孫,0008,0,1,039,
02308,守,0009,0,1,040,
02307,宇,0010,0,1,040,
02342,宮,0011,0,1,040,
02413,寸,0012,0,1,041,
02782,己,0013,0,1,049,
02846,帶,0014,0,1,050,
02900,年,0015,0,1,051,
02952,庭,0016,0,1,053,
02924,床,0017,0,1,053,
03153,御,0018,0,1,060,
03610,成,0019,0,1,062,
03993,摘,0020,0,1,064,
04446,日,0021,0,1,072,
04707,木,0022,0,1,075,
05071,椅,0023,0,1,075,
04807,枝,0024,0,1,075,
05952,水,0025,0,1,085,
07074,牟,0026,0,1,093,OK
07508,留,0027,0,1,102,
07799,直,0028,0,1,109,
08104,祁,0029,0,1,113,
08635,米,0030,0,1,119,
09061,續,0031,0,1,120,
09250,老,0032,0,1,125,
09290,耳,0033,0,1,128,
10231,蘇,0034,0,1,140,
10740,褌,0035,0,1,145,
10820,西,0036,0,1,146,
10860,角,0037,0,1,148,
11261,豐,0038,0,1,151,
12374,野,0039,0,1,166,
12380,金,0040,0,1,167,
12698,長,0041,0,1,168,
12004,造,0042,0,1,162,
11986,逆,0043,0,1,162,
12051,道,0044,0,1,162,
13940,高,0045,0,1,189,
14876,龍,0046,0,1,212,
00001,一,0047,1,4,001,
00007,三,0048,1,6,001,
00008,上,0049,1,2,001,
00009,下,0050,1,20,001,
00025,世,0051,1,3,001,
00051,中,0052,1,6,002,
00070,主,0053,1,57,003,
00092,乎,0055,1,2,004,
00085,久,0056,1,6,004,
00128,事,0057,1,2,006,
00129,二,0058,1,2,007,
00135,五,0059,1,6,007,
00136,井,0060,1,3,007,
00150,亡,0061,1,2,008,
00168,人,0062,1,31,009,
00230,伴,0063,1,2,009,
00368,倍,0064,1,3,009,
00301,依,0065,1,4,009,
00246,佐,0066,1,9,009,
00213,伊,0067,1,6,009,
00216,伎,0068,1,7,009,
00574,兒,0069a,2,31,010,
00574b,兒,0069b,2,7,010,
00561,兄,0070,1,4,010,
00597,六,0071,1,6,012,
00729,刀,0072,1,21,018,
00767,利,0073,1,11,018,
00746,刑,0074,1,11,018,
00893,勝,0075,1,3,019,
00858,加,0076,1,5,019,
00985,十,0077,1,10,024,
00988,廿,0078,1,2,024,
00989,卅,0079,1,2,024,
01174,同,0080,1,3,030,
01142,古,0081,1,11,030,
01175,名,0082,1,2,030,
01222,呂,0083,1,44,030,
01185,君,0084,1,6,030,
01172,吉,0085,1,2,030,
01262,咋,0086,1,4,030,
01395,善,0087,1,2,030,
01168,各,0088,1,2,030,
01200,01200,0089,1,12,030,
01639,國,0090,1,5,031,
01767,堅,0091,1,2,032,
01938,多,0092,1,4,036,
01939,夜,0093,1,2,036,
01946,大,0094,1,15,037,
01973,奈,0095,1,14,037,
02212,嫡,0096,1,22,038,
02075,姑,0097,1,2,038,
02068,姉,0098,1,8,038,
02059,妹,0099,1,15,038,
02061,妻,0100,1,18,038,
02062,妾,0101,1,4,038,
02024,奴,0102,1,4,038,
02094,姪,0103,1,4,038,
02262,子,0104,1,31,039,
02309,安,0105,1,14,040,
02358,寄,0106,1,17,040,
02439,小,0107,1,26,042,
02473,尼,0108,1,2,044,
02482,居,0109,1,2,044,
02488,屋,0110,1,3,044,
02594,島,0111,1,7,046,
02773,工,0112,1,2,048,
02800,布,0113,1,2,050,
02799,市,0114,1,2,050,
02993,廣,0115,1,12,053,
03006,建,0116,1,6,054,
03084,彌,0117,1,12,057,
03145,得,0118,1,2,060,
03194,志,0119,1,6,061,
03395,意,0120,1,6,061,
03184,忍,0121,1,3,061,
03640,戸,0122,1,68,063,
03659,手,0124,1,3,064,
04216,支,0125,1,2,065,
04235,政,0126,1,12,066,
04385,方,0127,1,3,070,
04412,族,0128,1,5,070,
04657,書,0129,1,2,073,
04922,根,0130,1,4,075,
05078,椋,0131,1,2,075,
04890,栗,0132,1,5,075,
04765,東,0133,1,2,075,
04888,栖,0134,1,5,075,
05558,次,0135,1,67,076,
05641,止,0137,1,5,077,
05834,母,0138,1,12,080,
05841,比,0139,1,13,081,
05979,汚,0140,1,2,085,
06086,波,0141,1,2,085,
06182,海,0142,1,2,085,
06499,漢,0143,1,4,085,
07025,爪,0144,1,2,087,
07043,爾,0145,1,2,089,
07080,物,0146,1,15,093,
07110,犬,0147,1,2,094,
07192,猪,0148,1,3,094,
07466,甥,0149,1,13,100,
07478,田,0150,1,23,102,
07535,當,0151,1,2,102,
07710,百,0152,1,6,106,
07759,益,0153,1,2,108,
07790,目,0154,1,2,109,
07941,知,0155,1,9,111,
07954,石,0156,1,6,112,
08256,稻,0157,1,10,115,
08269,積,0158,1,6,115,
08204,秦,0159,1,3,115,
08273,穗,0160,1,4,115,
08426,等,0161,1,4,118,
08412,第,0162,1,7,118,
08678,粳,0163,1,2,119,
08972,縣,0164,1,2,120,
09150,羊,0165,1,3,123,
09602,自,0166,1,17,132,
09714,良,0167,1,4,138,
10204,藥,0168,1,2,140,
09788,若,0169,1,8,140,
09851,荒,0170,1,2,140,
10549,蟲,0171,1,3,142,
10637,衣,0172,1,2,145,
10831,見,0173,1,2,147,
11398,賣,0174,1,141,154,
11445,赤,0177,1,2,155,
11495,足,0178,1,10,157,
11715,身,0179,1,4,158,
12003,速,0180,1,2,162,
12176,部,0181,1,60,163,
12188,都,0183,1,12,163,
12123,邑,0184,1,4,163,
12266,酒,0185,1,5,164,
12830,阿,0186,1,8,170,
13304,須,0187,1,5,181,
14361,鳥,0188,1,4,196,
14620,鹽,0189,1,4,197,
14681,麻,0190,1,58,200,
14709,黒,0192,1,5,203,
14730,黨,0193,1,3,203,
S00066,々,0194,〓,12,部外,
