カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号,,,
0001,二,0,,,00129,007,,,
0002,井,0,,,00136,007,,,
0003,介,0,,,00176,009,,,
0004,以,0,,,00194,009,,,
0005,伴,0,,,00230,009,,,
0006,依,0,,,00301,009,,,
0007,儒,0,,,00530,009,,,
0008,前,0,,,00794,018,,,
0009,勤,0,,,00900,019,,,
0010,勢,0,,,00898,019,,,
0011,功,0,,,00857,019,,,
0012,卅,0,,,00989,024,,,
0013,00997,0,,,00997,024,,,
0014,善,0,,,01395,030,,,
0015,各,0,,,01168,030,,,
0016,呉,0,,,01207,030,,,
0017,咋,0,,,01262,030,,,
0018,呰,0,,,01239,030,,,
0019,堅,0,,,01767,032,,,
0020,墨,0,,,01859,032,,,
0021,垣,0,,,01727,032,,,
0022,壹,0,,,01909,033,,,
0023,婢,0,,,02151,038,,,
0024,寶,0,,,02407,040,,,
0025,家,0,,,02349,040,,,
0026,寸,0,,,02413,041,,,
0027,市,0,,,02799,050,,,
0028,帶,0,,,02846,050,,,
0029,師,0,,,02835,050,,,
0030,常,0,,,02847,050,,,
0031,年,0,,,02900,051,,,
0032,床,0,,,02924,053,,,
0033,庭,0,,,02952,053,,,
0034,弓,0,,,03042,057,,,
0035,御,0,,,03153,060,,,
0036,忍,0,,,03184,061,,,
0037,悵,0,,,03338,061,,,
0038,意,0,,,03395,061,,,
0039,成,0,,,03610,062,,,
0040,敢,0,,,04277,066,,,
0041,於,0,,,04389,070,,,
0042,月,0,,,04673,074,,,
0043,根,0,,,04922,075,,,
0044,束,0,,,04750,075,,,
0045,毛,0,,,05850,082,,,
0046,汚,0,,,05979,085,,,
0047,治,0,,,06055,085,,,
0048,犬,0,,,07110,094,,,
0049,生,0,,,07461,100,,,
0050,留,0,,,07508,102,,,
0051,益,0,,,07759,108,,,
0052,直,0,,,07799,109,,,
0053,矢,0,,,07937,111,,,
0054,禰,0,,,08166,113,,,
0055,禮,0,,,08165,113,,,
0056,絲,0,,,08834,120,,,
0057,紀,0,,,08735,120,,,
0058,紫,0,,,08773,120,,,
0059,結,0,,,08807,120,,,
0060,纏,0,,,09064,120,,,
0061,M32545,0,,,M32545,140,,,
0062,許,0,,,10930,149,,,
0063,身,0,,,11715,158,,,
0064,連,0,,,12010,162,,,
0065,酒,0,,,12266,164,,,
0066,金,0,,,12380,167,,,
0067,集,0,,,12963,172,,,
0068,難,0,,,13002,172,,,
0069,首,0,,,13661,185,,,
0070,一,1,3,,00001,001,,,
0071,三,1,2,,00007,001,,,
0072,上,1,10,,00008,001,,,
0073,下,1,18,,00009,001,,,
0074,七,1,3,,00004,001,,,
0075,世,1,2,,00025,001,,,
0076,中,1,4,,00051,002,,,
0077-0078,主,1,56,,00070,003,,,
0079,久,1,9,,00085,004,,,
0080,九,1,4,,00107,005,,,
0081,事,1,2,,00128,006,,,
0082,五,1,13,,00135,007,,,
0083,人,1,31,,00168,009,,,
0084,佐,1,5,,00246,009,,,
0085,伊,1,5,,00213,009,,,
0086,伍,1,2,,00215,009,,,
0087,代,1,7,,00192,009,,,
0088,作,1,2,,00256,009,,,
0089,伯,1,2,,00228,009,,,
0090,保,1,2,,00342,009,,,
0091,伎,1,4,,00216,009,,,
0092,位,1,10,,00243,009,,,
0093,倍,1,6,,00368,009,,,
0094,兒,1,42,,00574,010,,,
0095,兄,1,2,,00561,010,,,
0096,八,1,6,,00594,012,,,
0097,六,1,21,,00597,012,,,
0098,刀,1,9,,00729,018,,,
0099,利,1,6,,00767,018,,,
0100,初,1,2,,00759,018,,,
0101,務,1,3,,00890,019,,,
0102,加,1,8,,00858,019,,,
0103,十,1,8,,00985,024,,,
0104,廿,1,3,,00988,024,,,
0105,千,1,5,,00987,024,,,
0106,同,1,4,,01174,030,,,
0107,古,1,8,,01142,030,,,
0108,名,1,4,,01175,030,,,
0109,呂,1,47,,01222,030,,,
0110,吉,1,6,,01172,030,,,
0111,和,1,6,,01263,030,,,
0112,01200,1,10,,01200,030,,,
0113,國,1,38,,01639,031,,,
0114,四,1,2,,01607,031,,,
0115,土,1,2,,01654,032,,,
0116,坂,1,3,,01672,032,,,
0117,多,1,5,,01938,036,,,
0118,夜,1,2,,01939,036,,,
0119,大,1,13,,01946,037,,,
0120,太,1,5,,01948,037,,,
0121,奈,1,9,,01973,037,,,
0122,女,1,2,,02022,038,,,
0123,嫡,1,18,,02212,038,,,
0124,姑,1,2,,02075,038,,,
0125,姉,1,17,,02068,038,,,
0126,妹,1,11,,02059,038,,,
0127,妻,1,28,,02061,038,,,
0128,妾,1,9,,02062,038,,,
0129,奴,1,2,,02024,038,,,
0130,姪,1,5,,02094,038,,,
0131,子,1,27,,02262,039,,,
0132,孫,1,2,,02282,039,,,
0133,安,1,18,,02309,040,,,
0134,寄,1,6,,02358,040,,,
0135,守,1,2,,02308,040,,,
0136,宿,1,2,,02355,040,,,
0137,宮,1,6,,02342,040,,,
0138,小,1,21,,02439,042,,,
0139,少,1,2,,02440,042,,,
0140,屋,1,4,,02488,044,,,
0141,島,1,18,,02594,046,,,
0142,山,1,5,,02528,046,,,
0143,州,1,7,,02764,047,,,
0144,工,1,4,,02773,048,,,
0145,布,1,3,,02800,050,,,
0146,廣,1,4,,02993,053,,,
0147,建,1,3,,03006,054,,,
0148,彌,1,13,,03084,057,,,
0149,得,1,3,,03145,060,,,
0150,從,1,6,,03151,060,,,
0151,志,1,9,,03194,061,,,
0152-0153,戸,1,62,,03640,063,,,
0154,手,1,6,,03659,064,,,
0155,支,1,3,,04216,065,,,
0156,敷,1,3,,04296,066,,,
0157,文,1,4,,04321,067,,,
0158,斯,1,2,,04373,069,,,
0159,方,1,4,,04385,070,,,
0160,族,1,25,,04412,070,,,
0161,春,1,18,,04503,072,,,
0162,日,1,6,,04446,072,,,
0163,朝,1,3,,04696,074,,,
0164,枝,1,4,,04807,075,,,
0165,椽,1,2,,05107,075,,,
0166,木,1,2,,04707,075,,,
0167,椋,1,5,,05078,075,,,
0168-0169,次,1,81,,05558,076,,,
0170,正,1,2,,05643,077,,,
0171,殿,1,2,,05809,079,,,
0172,母,1,10,,05834,080,,,
0173,比,1,7,,05841,081,,,
0174,波,1,8,,06086,085,,,
0175,津,1,2,,06128,085,,,
0176,海,1,2,,06182,085,,,
0177,漢,1,3,,06499,085,,,
0178,物,1,3,,07080,093,,,
0179,牛,1,4,,07072,093,,,
0180,猪,1,2,,07192,094,,,
0181,甥,1,7,,07466,100,,,
0182,田,1,5,,07478,102,,,
0183,百,1,15,,07710,106,,,
0184,目,1,3,,07790,109,,,
0185,眞,1,14,,07827,109,,,
0186,知,1,7,,07941,111,,,
0187,石,1,12,,07954,112,,,
0188,福,1,2,,08148,113,,,
0189,稻,1,7,,08256,115,,,
0190,米,1,2,,08635,119,,,
0191,細,1,2,,08779,120,,,
0192,臣,1,3,,09596,131,,,
0193,自,1,3,,09602,132,,,
0194,與,1,5,,09629,134,,,
0195,良,1,5,,09714,138,,,
0196,若,1,4,,09788,140,,,
0197,荒,1,4,,09851,140,,,
0198,蟲,1,5,,10549,142,,,
0199,衣,1,2,,10637,145,,,
0200,諸,1,2,,11085,149,,,
0201,豐,1,5,,11261,151,,,
0202,財,1,2,,11334,154,,,
0203-0206,賣,1,159,,11398,154,,,
0207,足,1,14,,11495,157,,,
0208,辛,1,5,,11893,160,,,
0209,逆,1,2,,11986,162,,,
0210,追,1,3,,11979,162,,,
0211,進,1,2,,12022,162,,,
0212,造,1,26,,12004,162,,,
0213,部,1,50,,12176,163,,,
0214,都,1,5,,12188,163,,,
0215,劍,1,2,,00843,018,,,
0216,阿,1,6,,12830,170,,,
0217,雲,1,3,,13020,173,,,
0218,須,1,3,,13304,181,,,
0219,飯,1,11,,13527,184,,,
0220,馬,1,3,,13680,187,,,
0221,麻,1,49,,14681,200,,,
0222,黒,1,14,,14709,203,,,
0223,黨,1,4,,14730,203,,,
0224,默,1,2,,14720,203,,,
S00066,々,1,10,,〓,部外,,,
0226,乎,2,6,1,00092,004,,,
0227,君,2,2,1,01185,030,,,
0228,尼,2,3,1,02473,044,,,
0229,弟,2,9,2,03052,057,,,
0230,政,2,10,1,04235,066,,,
0231,止,2,3,1,05641,077,,,
0232,當,2,2,1,07535,102,,,
0233,祁,2,3,1,08104,113,,,
0234,萬,2,1,1,09954,140,,,
