統合ID,文字,カード番号,字体数,用例数,部首
00129,二,0001,0,1,007
00136,井,0002,0,1,007
00176,介,0003,0,1,009
00194,以,0004,0,1,009
00230,伴,0005,0,1,009
00301,依,0006,0,1,009
00530,儒,0007,0,1,009
00794,前,0008,0,1,018
00900,勤,0009,0,1,019
00898,勢,0010,0,1,019
00857,功,0011,0,1,019
00989,卅,0012,0,1,024
00997,00997,0013,0,1,024
01395,善,0014,0,1,030
01168,各,0015,0,1,030
01207,呉,0016,0,1,030
01262,咋,0017,0,1,030
01239,呰,0018,0,1,030
01767,堅,0019,0,1,032
01859,墨,0020,0,1,032
01727,垣,0021,0,1,032
01909,壹,0022,0,1,033
02151,婢,0023,0,1,038
02407,寶,0024,0,1,040
02349,家,0025,0,1,040
02413,寸,0026,0,1,041
02799,市,0027,0,1,050
02846,帶,0028,0,1,050
02835,師,0029,0,1,050
02847,常,0030,0,1,050
02900,年,0031,0,1,051
02924,床,0032,0,1,053
02952,庭,0033,0,1,053
03042,弓,0034,0,1,057
03153,御,0035,0,1,060
03184,忍,0036,0,1,061
03338,悵,0037,0,1,061
03395,意,0038,0,1,061
03610,成,0039,0,1,062
04277,敢,0040,0,1,066
04389,於,0041,0,1,070
04673,月,0042,0,1,074
04922,根,0043,0,1,075
04750,束,0044,0,1,075
05850,毛,0045,0,1,082
05979,汚,0046,0,1,085
06055,治,0047,0,1,085
07110,犬,0048,0,1,094
07461,生,0049,0,1,100
07508,留,0050,0,1,102
07759,益,0051,0,1,108
07799,直,0052,0,1,109
07937,矢,0053,0,1,111
08166,禰,0054,0,1,113
08165,禮,0055,0,1,113
08834,絲,0056,0,1,120
08735,紀,0057,0,1,120
08773,紫,0058,0,1,120
08807,結,0059,0,1,120
09064,纏,0060,0,1,120
M32545,M32545,0061,0,1,140
10930,許,0062,0,1,149
11715,身,0063,0,1,158
12010,連,0064,0,1,162
12266,酒,0065,0,1,164
12380,金,0066,0,1,167
12963,集,0067,0,1,172
13002,難,0068,0,1,172
13661,首,0069,0,1,185
00001,一,0070,1,3,001
00007,三,0071,1,2,001
00008,上,0072,1,10,001
00009,下,0073,1,18,001
00004,七,0074,1,3,001
00025,世,0075,1,2,001
00051,中,0076,1,4,002
00070,主,0077,1,56,003
00085,久,0079,1,9,004
00107,九,0080,1,4,005
00128,事,0081,1,2,006
00135,五,0082,1,13,007
00168,人,0083,1,31,009
00246,佐,0084,1,5,009
00213,伊,0085,1,5,009
00215,伍,0086,1,2,009
00192,代,0087,1,7,009
00256,作,0088,1,2,009
00228,伯,0089,1,2,009
00342,保,0090,1,2,009
00216,伎,0091,1,4,009
00243,位,0092,1,10,009
00368,倍,0093,1,6,009
00574,兒,0094,1,42,010
00561,兄,0095,1,2,010
00594,八,0096,1,6,012
00597,六,0097,1,21,012
00729,刀,0098,1,9,018
00767,利,0099,1,6,018
00759,初,0100,1,2,018
00890,務,0101,1,3,019
00858,加,0102,1,8,019
00985,十,0103,1,8,024
00988,廿,0104,1,3,024
00987,千,0105,1,5,024
01174,同,0106,1,4,030
01142,古,0107,1,8,030
01175,名,0108,1,4,030
01222,呂,0109,1,47,030
01172,吉,0110,1,6,030
01263,和,0111,1,6,030
01200,01200,0112,1,10,030
01639,國,0113,1,38,031
01607,四,0114,1,2,031
01654,土,0115,1,2,032
01672,坂,0116,1,3,032
01938,多,0117,1,5,036
01939,夜,0118,1,2,036
01946,大,0119,1,13,037
01948,太,0120,1,5,037
01973,奈,0121,1,9,037
02022,女,0122,1,2,038
02212,嫡,0123,1,18,038
02075,姑,0124,1,2,038
02068,姉,0125,1,17,038
02059,妹,0126,1,11,038
02061,妻,0127,1,28,038
02062,妾,0128,1,9,038
02024,奴,0129,1,2,038
02094,姪,0130,1,5,038
02262,子,0131,1,27,039
02282,孫,0132,1,2,039
02309,安,0133,1,18,040
02358,寄,0134,1,6,040
02308,守,0135,1,2,040
02355,宿,0136,1,2,040
02342,宮,0137,1,6,040
02439,小,0138,1,21,042
02440,少,0139,1,2,042
02488,屋,0140,1,4,044
02594,島,0141,1,18,046
02528,山,0142,1,5,046
02764,州,0143,1,7,047
02773,工,0144,1,4,048
02800,布,0145,1,3,050
02993,廣,0146,1,4,053
03006,建,0147,1,3,054
03084,彌,0148,1,13,057
03145,得,0149,1,3,060
03151,從,0150,1,6,060
03194,志,0151,1,9,061
03640,戸,0152,1,62,063
03659,手,0154,1,6,064
04216,支,0155,1,3,065
04296,敷,0156,1,3,066
04321,文,0157,1,4,067
04373,斯,0158,1,2,069
04385,方,0159,1,4,070
04412,族,0160,1,25,070
04503,春,0161,1,18,072
04446,日,0162,1,6,072
04696,朝,0163,1,3,074
04807,枝,0164,1,4,075
05107,椽,0165,1,2,075
04707,木,0166,1,2,075
05078,椋,0167,1,5,075
05558,次,0168,1,81,076
