カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典,
0001-0006,一,001,1,266,,,00001,
0007,不,001,1,24,,,00013,0007
0008,七,001,1,2,,,00004,0008
0009,三,001,1,6,,,00007,0009
0010,上,001,1,6,,,00008,0010
0011-0012,乃,004,1,54,,,00078,0011
0013,九,005,1,6,,,00107,0013
0014-0018,二,007,1,228,,,00129,0014
0019,五,007,1,10,,,00135,0019
0020,來,009,1,6,,,00282,0020
0021-0023,以,009,1,114,,,00194,0021
0024-0026,何,009,1,114,,,00250,0022
0027,住,009,1,13,,,00245,0027
0028,佛,009,1,18,,,00255,0028
0029,内,011,1,8,,,00585,0029
0030,八,012,1,24,,,00594,0030
0031,六,012,1,8,,,00597,0031
0032,共,012,1,8,,,00599,0032
0033,次,076,1,8,,,05558,0033
0034-0036,別,018,1,114,,,00763,0034
0037-0039,分,018,1,114,,,00734,0035
0040-0045,切,018,1,260,,,00735,0036
0046,力,019,1,8,,,00856,0046
0047-0049,勝,019,1,115,,,00893,0047
0050,十,024,1,24,,,00985,0050
0051,取,029,1,2,,,01127,0051
0052-0053,受,029,1,52,,,01128,0052
0054,及,029,1,15,,,01111,0053
0055,可,030,1,2,,,01154,0054
0056,名,030,1,2,,,01175,0055
0057-0058,善,030,1,61,,,01395,0056
0059,味,030,1,15,,,01242,0059
0060,四,031,1,40,,,01607,0060
0061,地,032,1,18,,,01666,0061
0062,外,036,1,8,,,01934,0062
0063,多,036,1,12,,,01938,0063
0064-0065,大,037,1,93,,,01946,0064
0066,失,037,1,6,,,01957,0066
0067,妄,038,1,2,,,02033,0067
0068,如,038,1,6,,,02031,0068
0069,定,040,1,14,,,02325,0069
0070,實,040,1,2,,,02390,0070
0071,安,040,1,2,,,02309,0071
0072,尼,044,1,6,,,02473,0072
0073,布,050,1,6,,,02800,0073
0074,平,051,1,2,,,02899,0074
0075,得,060,1,2,,,03145,0075
0076,復,060,1,2,,,03159,0076
0077,忘,061,1,6,,,03196,0077
0078,恆,061,1,6,,,03267,0078
0079,想,061,1,6,,,03373,0079
0080,性,061,1,34,,,03244,0080
0081,意,061,1,30,,,03395,0081
0082,愁,061,1,6,,,03387,0082
0083,惱,061,1,6,,,03372,0083
0084,念,061,1,6,,,03214,0084
0085,思,061,1,6,,,03239,0085
0086,慈,061,1,2,,,03439,0086
0087,悲,061,1,2,,,03335,0087
0088,忍,061,1,2,,,03184,0088
0089,愛,061,1,2,,,03405,0089
0090,憂,061,1,6,,,03486,0090
0091,慮,061,1,8,,,03466,0091
0092,戒,062,1,6,,,03612,0092
0093-0094,所,063,1,51,,,03647,0093
0095,提,064,1,12,,,03896,0095
0096,摩,064,1,12,,,04009,0096
