統合ID,文字,和銅般若,字体数,用例数,部首
00001,一,0001,1,266,001
00013,不,0007,1,24,001
00004,七,0008,1,2,001
00007,三,0009,1,6,001
00008,上,0010,1,6,001
00078,乃,0011,1,54,004
00107,九,0013,1,6,005
00129,二,0014,1,228,007
00135,五,0019,1,10,007
00282,來,0020,1,6,009
00194,以,0021,1,114,009
00250,何,0024,1,114,009
00245,住,0027,1,13,009
00255,佛,0028,1,18,009
00585,内,0029,1,8,011
00594,八,0030,1,24,012
00597,六,0031,1,8,012
00599,共,0032,1,8,012
05558,次,0033,1,8,076
00763,別,0034,1,114,018
00734,分,0037,1,114,018
00735,切,0040,1,260,018
00856,力,0046,1,8,019
00893,勝,0047,1,115,019
00985,十,0050,1,24,024
01127,取,0051,1,2,029
01128,受,0052,1,52,029
01111,及,0054,1,15,029
01154,可,0055,1,2,030
01175,名,0056,1,2,030
01395,善,0057,1,61,030
01242,味,0059,1,15,030
01607,四,0060,1,40,031
01666,地,0061,1,18,032
01934,外,0062,1,8,036
01938,多,0063,1,12,036
01946,大,0064,1,93,037
01957,失,0066,1,6,037
02033,妄,0067,1,2,038
02031,如,0068,1,6,038
02325,定,0069,1,14,040
02390,實,0070,1,2,040
02309,安,0071,1,2,040
02473,尼,0072,1,6,044
02800,布,0073,1,6,050
02899,平,0074,1,2,051
03145,得,0075,1,2,060
03159,復,0076,1,2,060
03196,忘,0077,1,6,061
03267,恆,0078,1,6,061
03373,想,0079,1,6,061
03244,性,0080,1,34,061
03395,意,0081,1,30,061
03387,愁,0082,1,6,061
03372,惱,0083,1,6,061
03214,念,0084,1,6,061
03239,思,0085,1,6,061
03439,慈,0086,1,2,061
03335,悲,0087,1,2,061
03184,忍,0088,1,2,061
03405,愛,0089,1,2,061
03486,憂,0090,1,6,061
03466,慮,0091,1,8,061
03612,戒,0092,1,6,062
03647,所,0093,1,51,063
03896,提,0095,1,12,064
04009,摩,0096,1,12,064
03835,捨,0097,1,8,064
04216,支,0098,1,8,065
04243,故,0099,1,455,066
04280,散,0109,1,2,066
04391,施,0110,1,6,070
04569,智,0111,1,474,072
04485,明,0121,1,6,072
04674,有,0122,1,40,074
04922,根,0123,1,2,075
04713,本,0124,1,2,075
04806,果,0125,1,12,075
05612,歎,0126,1,6,076
05686,死,0127,1,6,078
05952,水,0128,1,6,085
06086,波,0129,1,12,085
06432,滅,0130,1,6,085
06499,漢,0131,1,6,085
06151,流,0132,1,6,085
06074,法,0133,1,41,085
06272,淨,0134,1,803,085
06290,清,0151,1,798,085
06776,火,0167,1,6,086
06872,無,0168,1,520,086
07032,爲,0179,1,85,087
07230,獨,0181,1,6,094
07304,現,0182,1,61,096
07461,生,0184,1,49,100
07503,畏,0185,1,6,102
07501,界,0186,1,130,102
07530,異,0189,1,4,102
07520,畢,0190,1,2,102
07827,眞,0191,1,6,109
07843,眼,0192,1,28,109
07801,相,0193,1,22,109
08077,礙,0194,1,2,112
08124,神,0195,1,8,113
08296,空,0196,1,294,116
08365,竟,0202,1,2,117
08412,第,0203,1,6,118
08426,等,0204,1,10,118
08685,精,0205,1,2,119
08924,緣,0206,1,45,120
09144,羅,0207,1,24,122
09177,義,0208,1,109,123
09250,老,0211,1,6,125
09328,聲,0212,1,12,128
09290,耳,0213,1,22,128
09308,聖,0214,1,18,128
09463,脱,0215,1,18,130
09602,自,0216,1,10,132
09610,至,0217,1,54,133
09636,舌,0219,1,30,135
09665,般,0220,1,6,137
09716,色,0221,1,26,139
09789,苦,0222,1,12,140
10163,薩,0223,1,18,140
09919,菩,0224,1,24,140
09788,若,0225,1,348,140
10272,虛,0232,1,4,141
10270,處,0233,1,38,141
10414,蜜,0234,1,12,142
10614,行,0235,1,18,144
10856,覺,0236,1,8,147
10875,解,0237,1,20,148
10887,觸,0238,1,77,148
11085,諸,0240,1,51,149
11171,識,0242,1,29,149
11072,諦,0243,1,12,149
04319,變,0244,1,4,066
11195,議,0245,1,6,149
10936,訶,0246,1,6,149
11495,足,0247,1,2,157
11715,身,0248,1,30,158
12051,道,0249,1,18,162
12108,還,0250,1,6,162
12000,通,0251,1,6,162
12022,進,0252,1,2,162
03157,徧,0253,1,6,060
12376,量,0254,1,6,166
12709,門,0255,1,24,169
12913,際,0256a,3,2,170
12913b,際,0256b,3,1,170
12913c,際,0256c,3,1,170
12831,陀,0257,1,6,170
12830,阿,0258,1,6,170
13001,離,0259,1,2,172
12963,集,0260,1,6,172
13103,靜,0261,1,8,174
13313,預,0262,1,6,181
13391,願,0263,1,6,181
13423,風,0264,1,6,182
13667,香,0265,1,12,186
14809,鼻,0266,1,22,209
01412,喜,0267a,2,1,030
01412b,喜,0267b,2,1,030
04381,斷,0268a,2,118,069
04381b,斷,0268b,2,2,069
05643,正,0271a,2,7,077
05643b,正,0271b,2,5,077
