文字,カード番号,用例数1,用例数2,字体数,部首番号,大字典番号,備考
主,0001,,,0,003,00070,
久,0002,,,0,004,00085,
云,0003,,,0,007,00133,
交,0004,,,0,008,00152,
伎,0005,,,0,009,00216,
典,0006,,,0,012,00608,
便,0007,,,0,009,00321,
價,0008,,,0,009,00513,
佩,0009,,,0,009,00263,
僧,0010,,,0,009,00503,
共,0011,,,0,012,00599,
凡,0012,,,0,016,00701,
剛,0013,,,0,018,00803,
分,0014,,,0,018,00734,
力,0015,,,0,019,00856,
勸,0016,,,0,019,00913,部首順確認
助,0017,,,0,019,00863,
勿,0018,,,0,020,00919,
00997,0019,,,0,024,00997,
厭,0020,,,0,027,01088,
厚,0021,,,0,027,01068,
又,0022,,,0,029,01108,
向,0023,,,0,030,01179,
唯,0024,,,0,030,01349,
呵,0025,,,0,030,01245,
可,0026,,,0,030,01154,
吹,0027,,,0,030,01212,
味,0028,,,0,030,01242,
口,0029,,,0,030,01141,
周,0030,,,0,030,01235,
唱,0031,,,0,030,01350,
圓,0032,,,0,031,01645,
因,0033,,,0,031,01611,
圍,0034,,,0,031,01641,
固,0035,,,0,031,01627,
土,0036,,,0,032,01654,
堂,0037,,,0,032,01765,
M65088,0038,,,0,032,,
堅,0039,,,0,032,01767,
塗,0040,,,0,032,01818,
墮,0041,,,0,032,01863,
壯,0042,,,0,033,01905,
外,0043,,,0,036,01934,
夫,0044,,,0,037,01949,
失,0045,,,0,037,01957,
婉,0046,,,0,038,02143,
威,0047,,,0,038,02105,
孤,0048,,,0,039,02277,
孫,0049,,,0,039,02282,
實,0050,,,0,040,02390,
叔,0051,,,0,029,01124,
家,0052,,,0,040,02349,
尋,0053,,,0,041,02430,
導,0054,,,0,041,02436,
礙,0055,,,0,112,08077,
屈,0056,,,0,044,02485,
左,0057,,,0,048,02774,
布,0058,,,0,050,02800,
床,0059,,,0,053,02924,
廻,0060,1,1,2,054,03008,
引,0061,,,0,057,03044,
弗,0062,,,0,057,03046,
彈,0063,,,0,057,03079,
律,0064,,,0,060,03137,
御,0065,,,0,060,03153,
徹,0066,,,0,060,03173,
驕,0067,,,0,187,13845,
慈,0068,,,0,061,03439,
愛,0069,,,0,061,03405,
愼,0070,,,0,061,03429,
