統合ID,文字,弥勒上生,字体数,用例数,部首
00070,主,0001,0,1,003
00085,久,0002,0,1,004
00133,云,0003,0,1,007
00152,交,0004,0,1,008
00216,伎,0005,0,1,009
00608,典,0006,0,1,012
00321,便,0007,0,1,009
00513,價,0008,0,1,009
00263,佩,0009,0,1,009
00503,僧,0010,0,1,009
00599,共,0011,0,1,012
00701,凡,0012,0,1,016
00803,剛,0013,0,1,018
00734,分,0014,0,1,018
00856,力,0015,0,1,019
00913,勸,0016,0,1,019
00863,助,0017,0,1,019
00919,勿,0018,0,1,020
00997,卌,0019,0,1,024
01088,厭,0020,0,1,027
01068,厚,0021,0,1,027
01108,又,0022,0,1,029
01179,向,0023,0,1,030
01349,唯,0024,0,1,030
01245,呵,0025,0,1,030
01154,可,0026,0,1,030
01212,吹,0027,0,1,030
01242,味,0028,0,1,030
01141,口,0029,0,1,030
01235,周,0030,0,1,030
01350,唱,0031,0,1,030
01645,圓,0032,0,1,031
01611,因,0033,0,1,031
01641,圍,0034,0,1,031
01627,固,0035,0,1,031
01654,土,0036,0,1,032
01765,堂,0037,0,1,032
M65088,堓,0038,0,1,032
01767,堅,0039,0,1,032
01818,塗,0040,0,1,032
01863,墮,0041,0,1,032
01905,壯,0042,0,1,033
01934,外,0043,0,1,036
01949,夫,0044,0,1,037
01957,失,0045,0,1,037
02143,婉,0046,0,1,038
02105,威,0047,0,1,038
02277,孤,0048,0,1,039
02282,孫,0049,0,1,039
02390,實,0050,0,1,040
01124,叔,0051,0,1,029
02349,家,0052,0,1,040
02430,尋,0053,0,1,041
02436,導,0054,0,1,041
08077,礙,0055,0,1,112
02485,屈,0056,0,1,044
02774,左,0057,0,1,048
02800,布,0058,0,1,050
02924,床,0059,0,1,053
03008,廻,0060a,2,1,054
03008b,廻,0060b,2,1,054
03044,引,0061,0,1,057
03046,弗,0062,0,1,057
03079,彈,0063,0,1,057
03137,律,0064,0,1,060
03153,御,0065,0,1,060
03173,徹,0066,0,1,060
13845,驕,0067,0,1,187
03439,慈,0068,0,1,061
03405,愛,0069,0,1,061
03429,愼,0070,0,1,061
03196,忘,0071,0,1,061
03362,惚,0072,0,1,061
03462,慧,0073,0,1,061
03244,性,0074,0,1,061
03219,忽,0075,0,1,061
03320,悔,0076,0,1,061
03544,懃,0077,0,1,061
03587,懺,0078,0,1,061
03783,指,0079,0,1,064
03851,掃,0080,0,1,064
03757,拘,0081,0,1,064
03845,捺,0082,0,1,064
03730,拂,0083,0,1,064
03855,授,0084,0,1,064
03835,捨,0085,0,1,064
04192,攝,0086,0,1,064
03947,搖,0087,0,1,064
03927,揵,0088,0,1,064
04319,變,0089,0,1,066
04321,文,0090,0,1,067
04442,旣,0091,0,1,071
04499,星,0092,0,1,072
04500,映,0093,0,1,072
04490,昔,0094,0,1,072
04673,月,0095,0,1,074
05161,極,0096,0,1,075
04713,本,0097,0,1,075
04739,村,0098,0,1,075
05039,棠,0099,0,1,075
05037,棟,0100,0,1,075
04967,梁,0101,0,1,075
05228,槃,0102,0,1,075
04772,杸,0103,0,1,075
05558,次,0104,0,1,076
05612,歎,0105,0,1,076
05717,殊,0106,0,1,078
05834,母,0107,0,1,080
06045,河,0108,0,1,085
06031,沙,0109,0,1,085
06189,涅,0110,0,1,085
06182,海,0111,0,1,085
06487,漏,0112,0,1,085
06476,滿,0113,0,1,085
05964,求,0114,0,1,085
06918,照,0115,0,1,086
06921,煩,0116,0,1,086
06824,炳,0117,0,1,086
07076,牢,0118,0,1,093
07230,獨,0119,0,1,094
07112,犯,0120,0,1,094
07346,瑞,0121,0,1,096
07437,甄,0122,0,1,098
07457,甚,0123,0,1,099
07456,甘,0124,0,1,099
07469,用,0125,0,1,101
07501,界,0126,0,1,102
07481,申,0127,0,1,102
07522,略,0128,0,1,102
07508,留,0129,0,1,102
07779,盡,0130,0,1,108
07758,盈,0131,0,1,108
07759,益,0132,0,1,108
07828,眠,0133,0,1,109
07870,睹,0134,0,1,109
M23523,睺,0135,0,1,109
08097,示,0136,0,1,113
08329,窮,0137,0,1,116
08316,窓,0138,0,1,116
08380,競,0139,0,1,117
09011,繒,0140,0,1,120
08817,絡,0141,0,1,120
08906,緊,0142,0,1,120
08885,網,0143,0,1,120
08822,給,0144,0,1,120
09085,缺,0145,0,1,121
09177,義,0146,0,1,123
09429,能,0147,0,1,130
09568,臂,0148,0,1,130
09348,肉,0149,0,1,130
09617,臺,0150,0,1,133
09621,臾,0151,0,1,134
09656,舞,0152,0,1,136
09886,莫,0154,0,1,140
10191,藏,0155,0,1,140
09860,荷,0156,0,1,140
10643,表,0157,0,1,145
10703,裏,0158,0,1,145
10822,要,0159,0,1,146
10887,觸,0160,0,1,148
10969,詠,0161,0,1,149
11095,謂,0162,0,1,149
11195,議,0163,0,1,149
11023,誦,0164,0,1,149
11116,謗,0165,0,1,149
11207,讀,0166,0,1,149
11189,譬,0167,0,1,149
10928,設,0168,0,1,149
11264,豔,0169a,2,1,151
11264b,豔,0169b,2,1,151
11332,負,0170,0,1,154
11397,賢,0171,0,1,154
11451,赫,0172,0,1,155
11467,超,0173,0,1,156
11471,越,0174,0,1,156
11548,路,0175,0,1,157
11565,踊,0176,0,1,157
11826,輩,0177,0,1,159
11947,迎,0178,0,1,162
12115,邊,0180,0,1,162
12000,通,0181,0,1,162
12003,速,0182,0,1,162
12042,遊,0183,0,1,162
12010,連,0184,0,1,162
12079,適,0185,0,1,162
12022,進,0186,0,1,162
12134,那,0187,0,1,163
12366,釆,0188,0,1,165
12371,釋,0189,0,1,165
12663,鑄,0190,0,1,167
12418,鈴,0191,0,1,167
