統合ID,文字,五一續高,字体数,用例数,部首
00026,丘,0001,0,1,001
00027,丙,0002,0,1,001
00006,丈,0003,0,1,001
00069,丹,0004,0,1,003
00108,乞,0005,0,1,005
00148,亟,0007,0,1,007
00161,亮,0008,0,1,008
00151,亢,0009,0,1,008
00152,交,0010,0,1,008
00483,僉,0011,0,1,009
00391,倫,0012,0,1,009
00217,伏,0013,0,1,009
00243,位,0014,0,1,009
00186,仙,0015,0,1,009
M00482,伹,0016,0,1,009
00228,伯,0017,0,1,009
00287,例,0018,0,1,009
00350,倶,0019,0,1,009
00516,儀,0020,0,1,009
00489,像,0021,0,1,009
00351,俳,0022,0,1,009
09656,舞,0023,0,1,136
00406,偈,0024,0,1,009
03136,徊,0025,0,1,060
00288,侍,0026,0,1,009
00236,伽,0027,0,1,009
00200,仲,0028,0,1,009
00317,侵,0029,0,1,009
00342,保,0030,0,1,009
00555,儼,0031,0,1,009
00212,伉,0032,0,1,009
00253,余,0033,0,1,009
00316,侶,0034,0,1,009
00449,傍,0035,0,1,009
00177,仍,0036,0,1,009
00421,健,0037,0,1,009
00501,僥,0038,0,1,009
00407,偉,0039,0,1,009
00387,倦,0040,0,1,009
00219,休,0041,0,1,009
00529,儐,0042,0,1,009
00182,仕,0043,0,1,009
00574,兒,0044,0,1,010
00579,兜,0045,0,1,010
00616,冀,0046,0,1,012
00602,兵,0047,0,1,012
00678,准,0048,0,1,015
00696,凝,0049,0,1,015
00698,几,0050,0,1,016
00803,剛,0051,0,1,018
00734,分,0052,0,1,018
00805,剝,0053,0,1,018
00782,刺,0054,0,1,018
00818,副,0055,0,1,018
00746,刑,0056,0,1,018
M02036,剗,0057,0,1,018
00732,刃,0058,0,1,018
00877,勃,0059,0,1,019
00888,勖,0060,0,1,019
00865,劫,0061,0,1,019
00856,力,0062,0,1,019
00953,匡,0063,0,1,022
00959,匪,0064,0,1,022
00991,升,0065,1,2,024
01019,卜,0066,0,1,025
01035,危,0067,0,1,026
01095,厲,0068,0,1,027
01127,取,0069,0,1,029
01116,反,0070,0,1,029
04350,斜,0071,0,1,068
01124,叔,0072,0,1,029
01571,嚫,0073,0,1,030
01176,后,0074,0,1,030
01245,呵,0075,0,1,030
01476,嘔,0076,0,1,030
01352,唳,0077,0,1,030
01586,囀,0078,0,1,030
01295,哀,0079,0,1,030
01172,吉,0080,0,1,030
01350,唱,0081,0,1,030
01236,呪,0082,0,1,030
10276,號,0083,0,1,141
01185,君,0084,0,1,030
01155,台,0085,0,1,030
01187,呑,0086,0,1,030
01158,右,0087,0,1,030
05609,歌,0088,0,1,076
01503,噉,0089,1,2,030
01180,吒,0090,0,1,030
01647,圖,0091,0,1,031
01654,土,0092,0,1,032
01796,報,0093,0,1,032
01783,提,0094,0,1,032
01799,堵,0095,0,1,032
01859,墨,0096,0,1,032
01882,壑,0097,0,1,032
01863,墮,0098,0,1,032
01851,墜,0099,0,1,032
01823,塞,0100,0,1,032
01834,塼,0101,0,1,032
01825,塡,0102,0,1,032
01877,壅,0103,0,1,032
01710,垂,0104,0,1,032
01850,墓,0105,0,1,032
01968,奄,0106,0,1,037
02015,奬,0107,0,1,037
02019,奮,0108,0,1,037
01972,奇,0109,0,1,037
02075,姑,0110,0,1,038
02275,孟,0111,0,1,039
02265,孕,0112,0,1,039
02282,孫,0113,0,1,039
02264,孔,0114,0,1,039
02327,宜,0115,0,1,040
02357,寂,0116,0,1,040
02267,字,0117,0,1,039
02333,宣,0118,0,1,040
02363,寇,0119,0,1,040
02346,害,0120,0,1,040
02371,寒,0121,0,1,040
02406,寵,0122,0,1,040
02395,審,0123,0,1,040
02323,官,0124,0,1,040
02316,宏,0125,0,1,040
02331,客,0126,0,1,040
02413,寸,0127,0,1,041
01913,壽,0128,0,1,033
02427,尉,0129,0,1,041
02471,尺,0130,0,1,044
02496,展,0131,0,1,044
02488,屋,0132,0,1,044
02473,尼,0133,0,1,044
02728,嶮,0134,0,1,046
02670,嵩,0135,0,1,046
02619,崖,0136,0,1,046
02559,岳,0137,0,1,046
02737,嶽,0138,0,1,046
02576,峙,0139,0,1,046
02754,巒,0140,0,1,046
02554,岫,0141,0,1,046
02614,崑,0142,0,1,046
02773,工,0143,0,1,048
02774,左,0144,0,1,048
02843,帳,0146,0,1,050
02928,序,0147,0,1,053
02984,廕,0148,0,1,053
02952,庭,0149,0,1,053
02992,廢,0150,0,1,053
M09440,,0151,0,1,053
03027,弊,0152,0,1,055
03017,弄,0153,0,1,055
03055,弦,0154,0,1,057
03115,彰,0155,0,1,059
03113,彭,0156,0,1,059
03111,彫,0157,0,1,059
03141,徐,0158,0,1,060
03165,微,0160,0,1,060
03497,憎,0161,0,1,061
03284,恢,0162,0,1,061
03482,慾,0163,0,1,061
03511,憚,0164,0,1,061
03453,慙,0165,0,1,061
03587,懺,0166,0,1,061
03481,㥻,0167,0,1,061
03586,懸,0168,0,1,061
03245,怨,0169,0,1,061
03289,恥,0170,0,1,061
03243,急,0171,0,1,061
03549,懈,0172,0,1,061
03534,憶,0173,0,1,061
03415,愨,0174,0,1,061
03463,慨,0175,0,1,061
03298,息,0176,0,1,061
03367,惡,0177,0,1,061
03589,懼,0178,0,1,061
03373,想,0179,0,1,061
03607,戎,0180,0,1,062
03638,戴,0181,0,1,062
03692,抁,0183,0,1,064
03947,搖,0184,0,1,064
04089,操,0185,0,1,064
03725,抽,0186,0,1,064
03744,拏,0187,0,1,064
03874,探,0188,0,1,064
04070,撰,0189,0,1,064
04191,攜,0190,0,1,064
03757,拘,0191,0,1,064
03952,搜,0192,0,1,064
03881,掩,0193,0,1,064
03661,才,0194,0,1,064
04085,擇,0195,0,1,064
