カード番号,文字,部首,字体数,用例数１,用例数２,大字典
0001,久,004,0,,,00085
0002,也,005,0,,,00109
0003,九,005,0,,,00107
0004,乞,005,0,,,00108
0005,互,007,0,,,00134
0006,五,007,0,,,00135
0007,使,009,0,,,00279
0008,係,009,0,,,00323
0009,仗,009,0,,,00184
0010,僧,009,0,,,00503
0011,人,009,0,,,00168
0012,供,009,0,,,00299
0013,共,012,0,,,00599
0014,六,012,0,,,00597
0015,半,024,0,,,00994
0016,具,012,0,,,00606
0017,分,018,0,,,00734
0018,別,018,0,,,00763
0019,00884,019,0,,,00884
0020,功,019,0,,,00857
0021,動,019,0,,,00887
0022,勇,019,0,,,00881
0023,十,024,0,,,00985
0024,及,029,0,,,01111
0025,味,030,0,,,01242
0026,01334,030,0,,,01334
0027,唱,030,0,,,01350
0028,哦,030,0,,,01317
0029,器,030,0,,,01523
0030,同,030,0,,,01174
0031,唯,030,0,,,01349
0032,合,030,0,,,01170
0033,吉,030,0,,,01172
0034,喩,030,0,,,01421
0035,01556,030,0,,,01556
0036,圍,031,0,,,01641
0037,四,031,0,,,01607
0038,垢,032,0,,,01726
0039,壇,032,0,,,01878
0040,壞,032,0,,,01895
0041,夜,036,0,,,01939
0042,帝,050,0,,,02820
0043,巧,048,0,,,02775
0044,尋,041,0,,,02430
0045,富,040,0,,,02366
0046,守,040,0,,,02308
0047,定,040,0,,,02325
0048,字,039,0,,,02267
0049,始,038,0,,,02069
0050,庫,053,0,,,02949
0051,座,053,0,,,02946
0052,弄,055,0,,,03017
0053,彌,057,0,,,03084
0054,引,057,0,,,03044
0055,恐,061,0,,,03272
0056,怖,061,0,,,03233
0057,悲,061,0,,,03335
0058,慢,061,0,,,03458
0059,怨,061,0,,,03245
0060,戒,062,0,,,03612
0061,拳,064,0,,,03770
0062,搖,064,0,,,03947
0063,揮,064,0,,,03921
0064,折,064,0,,,03711
0065,拏,064,0,,,03744
0066,救,066,0,,,04263
0067,敷,066,0,,,04296
0068,文,067,0,,,04321
0069,斫,069,0,,,04368
0070,放,066,0,,,04233
0071,施,070,0,,,04391
0072,曜,072,0,,,04636
0073,旨,072,0,,,04450
0074,暴,072,0,,,04608
0075,暗,072,0,,,04591
0076,曹,073,0,,,04659
0077,會,073,0,,,04667
0078,榮,075,0,,,05210
0079,槃,075,0,,,05228
0080,樓,075,0,,,05293
0081,敵,066,0,,,04293
0082,殿,079,0,,,05809
0083,灑,085,0,,,06750
0084,河,085,0,,,06045
0085,渉,085,0,,,06193
0086,海,085,0,,,06182
0087,浮,085,0,,,06175
0088,激,085,0,,,06616
0089,涅,085,0,,,06189
0090,波,085,0,,,06086
0091,汝,085,0,,,05983
0092,父,088,0,,,07035
0093,牟,093,0,,,07074
0094,猛,094,0,,,07180
0095,猶,094,0,,,07203
0096,厭,027,0,,,01088
0097,瑟,096,0,,,07347
0098,珠,096,0,,,07291
0099,瑜,096,0,,,07345
0100,珞,096,0,,,07290
0101,瑕,096,0,,,07339
0102,畝,102,0,,,07514
0103,異,102,0,,,07530
0104,皆,106,0,,,07717
0105,礙,112,0,,,08077
0106,祇,113,0,,,08107
0107,祖,113,0,,,08117
0108,祥,113,0,,,08130
0109,穢,115,0,,,08279
0110,童,117,0,,,08371
0111,豎,151,1,2,,11258
0112,筏,118,0,,,08432
0113,紐,120,0,,,08748
0114,纓,120,0,,,09072
0115,終,120,0,,,08795
0116,索,120,0,,,08767
0117,總,120,0,,,08993
0118,綵,120,0,,,08889
0119,結,120,0,,,08807
0120,罪,122,0,,,09125
0121,習,124,0,,,09214
0122,聖,128,0,,,09308
0123,聞,128,0,,,09315
0124,胝,130,0,,,09407
0125,胎,130,1,2,,09395
0126,舞,136,0,,,09656
0127,般,137,0,,,09665
0128,若,140,0,,,09788
0129,芽,140,0,,,09768
0130,蜜,142,0,,,10414
0131,衣,145,0,,,10637
0132,警,149,0,,,11185
0133,謂,149,0,,,11095
0134,談,149,0,,,11046
0135,計,149,0,,,10896
0136,11242,150,0,,,11242
0137,豐,151,0,,,11261
0138,貴,154,0,,,11355
0139,貪,154,0,,,11342
0140,鈴,167,0,,,12418
0141,鐸,167,0,,,12657
0142,鉢,167,0,,,12440
0143,長,168,0,,,12698
0144,開,169,0,,,12716
0145,門,169,0,,,12709
0146,閣,169,0,,,12739
0147,閻,169,0,,,12757
0148,間,169,0,,,12724
0149,除,170,0,,,12855
0150,賀,154,0,,,11364
0151,起,156,0,,,11461
0152,超,156,0,,,11467
0153,跋,157,0,,,11515
0154,辨,160,0,,,11908
0155,邊,162,0,,,12115
0156,還,162,0,,,12108
0157,12220,163,0,,,12220
0158,釋,165,0,,,12371
0159,錯,167,0,,,12528
0160,降,170,0,,,12838
0161,靜,174,0,,,13103
0162,面,176,0,,,13108
0163,頗,181,0,,,13325
0164,順,181,0,,,13302
0165,風,182,0,,,13423
0166,食,184,0,,,13503
0167,鬘,190,0,,,13999
0168,麼,200,0,,,14684
0169,黒,203,0,,,14709
0170,齊,210,0,,,14828
0171-0177,一,001,1,326,,00001
0178-0179,三,001,1,95,,00007
0180,上,001,1,11,,00008
0181,下,001,1,12,,00009
0182,不,001,1,18,,00013
0183-0184,世,001,1,75,,00025
0185,中,002,1,16,,00051
0186,主,003,1,7,,00070
0187,乃,004,1,13,,00078
0188,乘,004,1,3,,00102
0189,事,006,1,4,,00128
0190,云,007,1,3,,00133
0191,亦,008,1,4,,00154
0192,依,009,1,12,,00301
0193,他,009,1,4,,00183
0194,住,009,1,44,,00245
0195,令,009,1,22,,00193
0196,伽,009,1,31,,00236
0197,作,009,1,25,,00256
0198,以,009,1,38,,00194
0199-0200,佛,009,1,71,,00255
0201-0205,來,009,1,242,,00282
0206,伏,009,1,2,,00217
0207,何,009,1,3,,00250
0208,便,009,1,2,,00321
0209,倶,009,1,3,,00350
