統合ID,文字,金剛大教,字体数,用例数,部首
00085,久,0001,0,1,004
00109,也,0002,0,1,005
00107,九,0003,0,1,005
00108,乞,0004,0,1,005
00134,互,0005,0,1,007
00135,五,0006,0,1,007
00279,使,0007,0,1,009
00323,係,0008,0,1,009
00184,仗,0009,0,1,009
00503,僧,0010,0,1,009
00168,人,0011,0,1,009
00299,供,0012,0,1,009
00599,共,0013,0,1,012
00597,六,0014,0,1,012
00994,半,0015,0,1,024
00606,具,0016,0,1,012
00734,分,0017,0,1,018
00763,別,0018,0,1,018
00884,勑,0019,0,1,019
00857,功,0020,0,1,019
00887,動,0021,0,1,019
00881,勇,0022,0,1,019
00985,十,0023,0,1,024
01111,及,0024,0,1,029
01242,味,0025,0,1,030
01334,唅,0026,0,1,030
01350,唱,0027,0,1,030
01317,哦,0028,0,1,030
01523,器,0029,0,1,030
01174,同,0030,0,1,030
01349,唯,0031,0,1,030
01170,合,0032,0,1,030
01172,吉,0033,0,1,030
01421,喩,0034,0,1,030
01556,嚕,0035,0,1,030
01641,圍,0036,0,1,031
01607,四,0037,0,1,031
01726,垢,0038,0,1,032
01878,壇,0039,0,1,032
01895,壞,0040,0,1,032
01939,夜,0041,0,1,036
02820,帝,0042,0,1,050
02775,巧,0043,0,1,048
02430,尋,0044,0,1,041
02366,富,0045,0,1,040
02308,守,0046,0,1,040
02325,定,0047,0,1,040
02267,字,0048,0,1,039
02069,始,0049,0,1,038
02949,庫,0050,0,1,053
02946,座,0051,0,1,053
03017,弄,0052,0,1,055
03084,彌,0053,0,1,057
03044,引,0054,0,1,057
03272,恐,0055,0,1,061
03233,怖,0056,0,1,061
03335,悲,0057,0,1,061
03458,慢,0058,0,1,061
03245,怨,0059,0,1,061
03612,戒,0060,0,1,062
03770,拳,0061,0,1,064
03947,搖,0062,0,1,064
03921,揮,0063,0,1,064
03711,折,0064,0,1,064
03744,拏,0065,0,1,064
04263,救,0066,0,1,066
04296,敷,0067,0,1,066
04321,文,0068,0,1,067
04368,斫,0069,0,1,069
04233,放,0070,0,1,066
04391,施,0071,0,1,070
04636,曜,0072,0,1,072
04450,旨,0073,0,1,072
04608,暴,0074,0,1,072
04591,暗,0075,0,1,072
04659,曹,0076,0,1,073
04667,會,0077,0,1,073
05210,榮,0078,0,1,075
05228,槃,0079,0,1,075
05293,樓,0080,0,1,075
04293,敵,0081,0,1,066
05809,殿,0082,0,1,079
06750,灑,0083,0,1,085
06045,河,0084,0,1,085
06193,涉,0085,0,1,085
06182,海,0086,0,1,085
06175,浮,0087,0,1,085
06616,激,0088,0,1,085
06189,涅,0089,0,1,085
06086,波,0090,0,1,085
05983,汝,0091,0,1,085
07035,父,0092,0,1,088
07074,牟,0093,0,1,093
07180,猛,0094,0,1,094
07203,猶,0095,0,1,094
01088,厭,0096,0,1,027
07347,瑟,0097,0,1,096
07291,珠,0098,0,1,096
07345,瑜,0099,0,1,096
07290,珞,0100,0,1,096
07339,瑕,0101,0,1,096
07514,畝,0102,0,1,102
07530,異,0103,0,1,102
07717,皆,0104,0,1,106
08077,礙,0105,0,1,112
08107,祇,0106,0,1,113
08117,祖,0107,0,1,113
08130,祥,0108,0,1,113
08279,穢,0109,0,1,115
08371,童,0110,0,1,117
11258,豎,0111,1,2,151
08432,筏,0112,0,1,118
08748,紐,0113,0,1,120
09072,纓,0114,0,1,120
08795,終,0115,0,1,120
08767,索,0116,0,1,120
08993,總,0117,0,1,120
08889,綵,0118,0,1,120
08807,結,0119,0,1,120
09125,罪,0120,0,1,122
09214,習,0121,0,1,124
09308,聖,0122,0,1,128
09315,聞,0123,0,1,128
09407,胝,0124,0,1,130
09395,胎,0125,1,2,130
09656,舞,0126,0,1,136
09665,般,0127,0,1,137
09788,若,0128,0,1,140
09768,芽,0129,0,1,140
10414,蜜,0130,0,1,142
10637,衣,0131,0,1,145
11185,警,0132,0,1,149
11095,謂,0133,0,1,149
11046,談,0134,0,1,149
10896,計,0135,0,1,149
11242,谽,0136,0,1,150
11261,豐,0137,0,1,151
11355,貴,0138,0,1,154
11342,貪,0139,0,1,154
12418,鈴,0140,0,1,167
12657,鐸,0141,0,1,167
12440,鉢,0142,0,1,167
12698,長,0143,0,1,168
12716,開,0144,0,1,169
12709,門,0145,0,1,169
12739,閣,0146,0,1,169
12757,閻,0147,0,1,169
12724,間,0148,0,1,169
12855,除,0149,0,1,170
11364,賀,0150,0,1,154
11461,起,0151,0,1,156
11467,超,0152,0,1,156
11515,跋,0153,0,1,157
11908,辨,0154,0,1,160
12115,邊,0155,0,1,162
12108,還,0156,0,1,162
12220,鄡,0157,0,1,163
12371,釋,0158,0,1,165
12528,錯,0159,0,1,167
12838,降,0160,0,1,170
13103,靜,0161,0,1,174
13108,面,0162,0,1,176
13325,頗,0163,0,1,181
13302,順,0164,0,1,181
13423,風,0165,0,1,182
13503,食,0166,0,1,184
13999,鬘,0167,0,1,190
14684,麼,0168,0,1,200
14709,黑,0169,0,1,203
14828,齊,0170,0,1,210
00001,一,0171,1,326,001
00007,三,0178,1,95,001
00008,上,0180,1,11,001
00009,下,0181,1,12,001
00013,不,0182,1,18,001
00025,世,0183,1,75,001
00051,中,0185,1,16,002
00070,主,0186,1,7,003
00078,乃,0187,1,13,004
00102,乘,0188,1,3,004
00128,事,0189,1,4,006
00133,云,0190,1,3,007
00154,亦,0191,1,4,008
00301,依,0192,1,12,009
00183,他,0193,1,4,009
00245,住,0194,1,44,009
00193,令,0195,1,22,009
00236,伽,0196,1,31,009
00256,作,0197,1,25,009
00194,以,0198,1,38,009
00255,佛,0199,1,71,009
00282,來,0201,1,242,009
00217,伏,0206,1,2,009
00250,何,0207,1,3,009
00321,便,0208,1,2,009
00350,倶,0209,1,3,009
00567,光,0210,1,28,010
00582,入,0211,1,40,011
00646,冠,0212,1,2,014
00723,出,0213,1,66,017
00735,切,0215,1,309,018
00843,劍,0222a,2,5,018
00843b,劍,0222b,2,1,018
00767,利,0223,1,14,018
00803,剛,0224,1,188,018
00789,則,0228,1,31,018
00794,前,0229,1,3,018
00781,刹,0230,1,4,018
00858,加,0231,1,28,019
00856,力,0232,1,2,019
00898,勢,0233,1,2,019
00893,勝,0234,1,23,019
01010,南,0235,1,23,024
01034,印,0236,1,3,026
01049,卽,0237,1,12,026
01109,叉,0238,1,2,029
01128,受,0239,1,18,029
01412,喜,0240,1,33,030
01158,右,0241,1,4,030
01594,囉,0242,1,16,030
01395,善,0243,1,15,030
01235,周,0244,1,2,030
01353,唵,0245,1,5,030
01219,告,0246,1,5,030
01569,嚩,0247,1,17,030
01455,嗢,0248,1,22,030
01288,咸,0249,1,3,030
01154,可,0250,1,2,030
01175,名,0251,1,53,030
01305,哉,0253,1,13,030
01141,口,0254,1,6,030
01276,咤,0255,1,2,030
01581,嚴,0256,1,2,030
01150,召,0257,1,13,030
01645,圓,0258,1,8,031
01627,固,0259,1,6,031
01666,地,0260,1,55,032
01767,堅,0262,1,21,032
01831,塵,0263a,2,13,032
01831b,塵,0263b,2,1,032
01659,在,0264,1,13,032
01853,增,0265,1,2,032
01798,場,0266,1,6,032
01748,埵,0267,1,37,032
01682,坐,0268,1,2,032
01839,境,0269,1,6,032
01938,多,0270,1,7,036
01972,奇,0271,1,16,037
01947,天,0272,1,3,037
01946,大,0273,1,109,037
02110,娑,0276,1,2,038
02119,娜,0277,1,2,038
02105,威,0278,1,6,038
02031,如,0279,1,258,038
02045,妙,0285,1,17,038
02142,婆,0286,1,30,038
02262,子,0287,1,4,039
02407,寶,0288,1,30,040
02309,安,0289,1,25,040
02332,室,0290,1,5,040
02390,實,0291,1,3,040
02383,察,0292,1,3,040
02344,宰,0293,1,2,040
02361,密,0294,1,4,040
02342,宮,0295,1,3,040
02357,寂,0296,1,2,040
02429,尊,0297,1,50,041
02464,就,0298,1,17,043
02473,尼,0299,1,12,044
02564,岸,0300,1,2,046
02589,峯,0301,1,2,046
02774,左,0302,1,4,048
02783,已,0303,1,33,049
02881,幡,0304,1,3,050
02882,幢,0305,1,20,050
02847,常,0306,1,11,050
02835,師,0307,1,2,050
02899,平,0308,1,13,051
02932,底,0309,1,3,053
02944,度,0310,1,3,053
03006,建,0311,1,3,054
03042,弓,0312,1,2,057
03060,弭,0313,1,2,057
03101,形,0314,1,29,059
03124,彼,0315,1,69,060
03151,從,0317,1,55,060
03145,得,0319,1,18,060
03159,復,0320,1,28,060
03138,後,0321,1,2,060
03171,徵,0322,1,22,060
03128,往,0323,1,3,060
03214,念,0324,1,7,061
03236,怚,0325,1,6,061
03229,怒,0326,1,2,061
03395,意,0327,1,20,061
03267,恆,0328,1,3,061
03244,性,0329,1,17,061
03365,惟,0330,1,4,061
03184,忍,0331,1,2,061
03326,悟,0332,1,2,061
03239,思,0333,1,4,061
03348,情,0334,1,22,061
03309,悦,0335,1,21,061
03550,應,0336,1,2,061
03379,惹,0337,1,2,061
03462,慧,0338,1,12,061
03179,心,0339,1,102,061
03636,戲,0342,1,14,062
03610,成,0343,1,29,062
03611,我,0344,1,23,062
03647,所,0345,1,12,063
03659,手,0346,1,22,064
03780,持,0347,1,41,064
03896,提,0348,1,21,064
04008,摧,0349,1,2,064
03858,掌,0350,1,15,064
03690,承,0351,1,2,064
03855,授,0352,1,14,064
03750,拔,0353a,2,1,064
03750b,拔,0353b,2,1,064
04009,摩,0354,1,100,064
04261,教,0357,1,14,066
04298,數,0358,1,3,066
04243,故,0359,1,62,066
04381,斷,0361,1,3,069
04389,於,0362,1,22,070
04385,方,0363,1,4,070
04557,普,0364,1,16,072
04523,時,0365,1,60,072
04569,智,0367,1,47,072
04505,昧,0368,1,44,072
04446,日,0369,1,22,072
04512,是,0370,1,27,072
04664,最,0371,1,14,073
04660,曼,0372,1,9,073
04673,月,0373,1,19,074
04674,有,0374,1,24,074
04806,果,0375,1,6,075
05391,檀,0376,1,2,075
04848,染,0377,1,15,075
05279,樂,0378,1,18,075
05161,極,0379,1,19,075
04922,根,0380,1,7,075
04713,本,0381,1,2,075
05010,梵,0382,1,29,075
05152,業,0383,1,7,075
05639,歡,0384,1,7,076
05580,欲,0385,1,5,076
05644,此,0386,1,46,077
05717,殊,0387,1,7,078
05796,殺,0388,1,3,079
05841,比,0389,1,3,081
05845,毗,0390,1,30,081
06290,清,0391,1,13,085
06031,沙,0392,1,2,085
06151,流,0393,1,2,085
06641,濟,0394,1,2,085
06476,滿,0395,1,15,085
06074,法,0396,1,39,085
06918,照,0397,1,5,086
06885,然,0398,1,5,086
07032,爲,0399,1,45,087
07043,爾,0400,1,13,089
07076,牢,0401,1,14,093
07086,特,0402,1,3,093
07241,獲,0403,1,5,094
07307,理,0404,1,4,096
07304,現,0405,1,14,096
07262,王,0406,1,18,096
07461,生,0407,1,45,100
07469,用,0408,1,3,101
07501,界,0409,1,60,102
07535,當,0411,1,2,102
07483,男,0412,1,3,102
07480,甲,0413,1,2,102
07479,由,0414,1,10,102
07707,發,0415a,2,13,105
07707b,發,0415b,2,1,105
07709,白,0416,1,5,106
07779,盡,0417,1,18,108
07770,盛,0418,1,2,108
07759,益,0419,1,11,108
07785,盧,0420,1,28,108
07843,眼,0421,1,3,109
07844,眾,0422,1,5,109
07801,相,0423,1,6,109
07827,眞,0424,1,11,109
07941,知,0425,1,5,111
08057,磨,0426,1,4,112
08116,祕,0427,1,3,113
08124,神,0428,1,17,113
08165,禮,0429,1,2,113
08097,示,0430,1,5,113
08244,種,0431,1,14,115
08296,空,0432,1,36,116
08293,究,0433,1,2,116
08365,竟,0434,1,2,117
08354,立,0435,1,7,117
08426,等,0436,1,46,118
08479,箭,0437,1,5,118
08396,笑,0438,1,11,118
08685,精,0439,1,3,119
09011,繒,0440,1,2,120
09073,纔,0441,1,19,120
09144,羅,0442,1,12,122
09177,義,0443,1,5,123
09182,羯,0444,1,4,123
09249,耀,0445,1,4,124
09255,者,0446,1,5,125
09264,而,0447,1,21,126
09314,聚,0448,1,23,128
09328,聲,0449,1,2,128
09463,脱,0450,1,3,130
09411,胡,0451,1,2,130
09429,能,0452,1,19,130
09602,自,0453,1,53,132
09610,至,0455,1,14,133
09643,舒,0456,1,2,135
09716,色,0457,1,5,139
10163,薩,0458,1,156,140
09919,菩,0462,1,97,140
09789,苦,0464,1,2,140
09758,花,0465,1,6,140
09869,莊,0466,1,2,140
10191,藏,0467,1,14,140
09972,著,0468,1,2,140
10204,藥,0469,1,2,140
09863,荼,0470,1,3,140
10050,蓮,0471,1,6,140
10276,號,0472,1,13,141
10272,虛,0473,1,23,141
10270,處,0474,1,2,141
10614,行,0475,1,5,144
10859,觀,0476,1,15,147
10856,覺,0477,1,10,147
