カード番号,文字,用例数1,用例数2,用例数3,字体数,大字典番号,部首番号
0001,且,1,,,0,00020,001
0002,主,1,,,0,00070,003
0003,假,1,,,0,00405,009
0004,傍,1,,,0,00449,009
0005,僧,1,,,0,00503,009
0006,伽,1,,,0,00236,009
0007,倒,1,,,0,00373,009
0008,企,1,,,0,00209,009
0009,偏,1,,,0,00411,009
0010,今,1,,,0,00175,009
0011,入,1,,,0,00582,011
0012,兼,1,,,0,00613,012
0013,准,1,,,0,00678,015
0014,勸,1,,,0,00913,019
0015,劬,1,,,0,00866,019
0016,勞,1,,,0,00894,019
0017,勤,1,,,0,00900,019
0018,勿,1,,,0,00919,020
0019,哀,1,,,0,01295,030
0020,周,1,,,0,01235,030
0021,向,1,,,0,01179,030
0022,味,1,,,0,01242,030
0023,含,1,,,0,01197,030
0024,夫,1,,,0,01949,037
0025,好,1,,,0,02029,038
0026,始,1,,,0,02069,038
0027,密,1,,,0,02361,040
0028,對,1,,,0,02435,041
0029,專,1,,,0,02426,041
0030,尚,1,,,0,02446,042
0031,巧,1,,,0,02775,048
0032,希,1,,,0,02806,050
0033,廻,1,,,0,03008,054
0034,忘,1,,,0,03196,061
0035,愧,1,,,0,03414,061
0036,慙,1,,,0,03453,061
0037,恐,1,,,0,03272,061
0038,愍,1,,,0,03402,061
0039,易,1,,,0,04489,072
0040,昧,1,,,0,04505,072
0041,望,1,,,0,04693,074
0042,機,1,,,0,05368,075
0043,欲,1,,,0,05580,076
0044,歸,1,,,0,05676,077
0045,泯,1,,,0,06096,085
0046,漢,1,,,0,06499,085
0047,治,1,,,0,06055,085
0048,淺,1,,,0,06292,085
0049,沈,1,,,0,06015,085
0050,濫,1,,,0,06651,085
0051,淪,1,,,0,06275,085
0052,物,1,,,0,07080,093
0053,獨,1,,,0,07230,094
0054,状,1,,,0,07122,094
0055,瑜,1,,,0,07345,096
0056,珍,1,,,0,07287,096
0057,留,1,,,0,07508,102
0058,畏,1,,,0,07503,102
0059,白,1,,,0,07709,106
0060,瞋,1,,,0,07878,109
0061,破,1,,,0,07986,112
0062,福,1,,,0,08148,113
0063,稱,1,,,0,08248,115
0064,糧,1,,,0,08718,119
0065,終,1,,,0,08795,120
0066,纔,1,,,0,09073,120
0067,羅,1,,,0,09144,122
0068,羣,1,,,0,09175,123
0069,翼,1,,,0,09245,124
0070,譬,1,,,0,11189,149
0071,誰,1,,,0,11028,149
0072,計,1,,,0,10896,149
0073,質,1,,,0,11404,154
0074,資,1,,,0,11373,154
0075,貪,1,,,0,11342,154
0076,超,1,,,0,11467,156
0077,路,1,,,0,11548,157
0078,輔,1,,,0,11801,159
0079,輪,1,,,0,11827,159
0080,辨,1,,,0,11908,160
0081,還,1,,,0,12108,162
0082,遣,1,,,0,12074,162
0083,速,1,,,0,12003,162
0084,逝,1,,,0,12001,162
0085,進,1,,,0,12022,162
0086,釋,1,,,0,12371,165
0087,鈍,1,,,0,12406,167
0088,長,1,,,0,12698,168
0089,除,1,,,0,12855,170
0090,雙,1,,,0,12994,172
0091,雲,1,,,0,13020,173
0092,順,1,,,0,13302,181
0093,領,1,,,0,13327,181
0094,饒,1,,,0,13641,184
0095,默,1,,,0,14720,203
0096-0097,一,82,,,1,00001,001
0098,上,14,,,1,00008,001
0099,下,2,,,1,00009,001
0100,七,8,,,1,00004,001
0101-0102,不,100,,,1,00013,001
0103,三,40,,,1,00007,001
0104,中,39,,,1,00051,002
0105,久,3,,,1,00085,004
0106,乃,5,,,1,00078,004
0107,乘,21,,,1,00102,004
0108,之,8,,,1,00088,004
0109,九,6,,,1,00107,005
0110,事,15,,,1,00128,006
0111,了,2,,,1,00125,006
0112-0113,二,85,,,1,00129,007
0114,云,5,,,1,00133,007
0115,五,28,,,1,00135,007
0116,亦,37,,,1,00154,008
0117,似,5,,,1,00235,009
0118,像,5,,,1,00489,009
0119,作,18,,,1,00256,009
0120,來,39,,,1,00282,009
0121,以,7,,,1,00194,009
0122,但,13,,,1,00240,009
0123,倶,24,,,1,00350,009
0124-0125,依,96,,,1,00301,009
0126,令,20,,,1,00193,009
0127,位,33,,,1,00243,009
0128,伏,13,,,1,00217,009
0129,俗,5,,,1,00338,009
0130,任,2,,,1,00206,009
0131,便,6,,,1,00321,009
0132,佛,49,,,1,00255,009
0133,何,16,,,1,00250,009
0134,他,28,,,1,00183,009
0135,住,19,,,1,00245,009
0136,内,10,,,1,00585,011
0137,具,12,,,1,00606,012
0138,共,16,,,1,00599,012
0139,八,12,,,1,00594,012
0140,六,8,,,1,00597,012
0141,其,7,,,1,00605,012
0142,出,7,,,1,00723,017
0143,別,35,,,1,00763,018
0144,分,19,,,1,00734,018
0145,切,34,,,1,00735,018
0146,刹,8,,,1,00781,018
0147,利,22,,,1,00767,018
0148,前,29,,,1,00794,018
0149,初,23,,,1,00759,018
0150,剛,10,,,1,00803,018
0151,力,17,,,1,00856,019
0152,動,3,,,1,00887,019
0153,勝,18,,,1,00893,019
0154,加,5,,,1,00858,019
0155,劫,2,,,1,00865,019
0156,劣,11,,,1,00859,019
0157,功,23,,,1,00857,019
0158,勢,2,,,1,00898,019
0159,勇,2,,,1,00881,019
0160,化,37,,,1,00938,021
0161,十,29,,,1,00985,024
0162,即,17,,,1,01049,026
0163,厭,2,,,1,01088,027
0164,去,4,,,1,01101,028
0165,又,20,,,1,01108,029
0166,受,38,,,1,01128,029
0167,取,2,,,1,01127,029
0168,及,22,,,1,01111,029
0169,同,14,,,1,01174,030
0170,唯,39,,,1,01349,030
0171,善,17,,,1,01395,030
0172,喜,2,,,1,01412,030
0173-0174,品,56,,,1,01296,030
0175,名,32,,,1,01175,030
0176,嚴,5,,,1,01581,030
0177,合,2,,,1,01170,030
0178,可,14,,,1,01154,030
0179,喩,12,,,1,01421,030
0180,各,7,,,1,01168,030
0181,因,14,,,1,01611,031
0182,圓,26,,,1,01645,031
0183,四,31,,,1,01607,031
0184,土,37,,,1,01654,032
0185,境,28,,,1,01839,032
0186,執,10,,,1,01755,032
0187,地,34,,,1,01666,032
0188,在,24,,,1,01659,032
0189,堪,2,,,1,01789,032
0190,増,11,,,1,01853,032
0191,多,9,,,1,01938,036
0192,外,6,,,1,01934,036
0193,大,36,,,1,01946,037
0194,失,4,,,1,01957,037
0195,姓,3,,,1,02077,038
0196,妄,2,,,1,02033,038
0197-0198,如,95,,,1,02031,038
0199,學,3,,,1,02293,039
0200,定,24,,,1,02325,040
0201,寶,2,,,1,02407,040
0202,實,28,,,1,02390,040
0203,宜,3,,,1,02327,040
0204,害,2,,,1,02346,040
0205,寂,16,,,1,02357,040
0206,容,8,,,1,02352,040
0207,察,6,2,,2,02383,040
0208,寧,2,,,1,02392,040
0209,安,13,,,1,02309,040
0210,尊,4,,,1,02429,041
0211,尋,2,,,1,02430,041
0212,將,2,,,1,02425,041
0213,小,4,,,1,02439,042
0214,就,4,,,1,02464,043
0215,尼,3,,,1,02473,044
0216,展,3,,,1,02496,044
0217,居,2,,,1,02482,044
0218,屬,8,,,1,02515,044
0219,已,14,,,1,02783,049
0220,常,18,,,1,02847,050
0221,平,17,,,1,02899,051
0222,廣,5,,,1,02993,053
0223,建,2,,,1,03006,054
0224,引,9,,,1,03044,057
0225,強,2,,,1,03066,057
0226,影,4,,,1,03116,059
0227,形,4,,,1,03101,059
0228,微,8,,,1,03165,060
0229,後,31,,,1,03138,060
0230,復,6,1,,2,03159,060
0231-0232,得,79,,,1,03145,060
0233,徳,27,,,1,03172,060
0234,從,8,,,1,03151,060
0235-0236,彼,51,,,1,03124,060
0237,惱,20,,,1,03372,061
0238,恆,3,,,1,03267,061
0239-0240,心,58,,,1,03179,061
0241,性,50,,,1,03244,061
0242,感,5,,,1,03409,061
0243,慈,3,,,1,03439,061
0244,愚,3,,,1,03404,061
0245,情,21,,,1,03348,061
0246,必,5,,,1,03180,061
0247,思,6,,,1,03239,061
0248,應,45,,,1,03550,061
0249,悲,5,,,1,03335,061
0250,慧,2,,,1,03462,061
0251,悟,3,,,1,03326,061
0252,悉,2,,,1,03312,061
0253,意,6,,,1,03395,061
0254,戲,3,,,1,03636,062
0255,成,34,,,1,03610,062
0256,或,28,,,1,03617,062
0257,我,5,,,1,03611,062
0258-0260,所,130,,,1,03647,063
0261-0262,攝,54,,,1,04192,064
0263,擇,18,1,,2,04085,064
0264,提,8,,,1,03896,064
0265,捨,22,,,1,03835,064
0266,持,9,,,1,03780,064
0267,損,2,,,1,03939,064
0268,教,5,,,1,04261,066
0269,變,36,,,1,04319,066
0270,散,2,,,1,04280,066
0271,數,4,,,1,04298,066
0272,改,2,,,1,04228,066
0273-0276,故,197,,,1,04243,066
0277,斯,7,,,1,04373,069
0278-0279,斷,77,,,1,04381,069
0280,於,28,,,1,04389,070
0281,施,2,,,1,04391,070
0282,方,15,,,1,04385,070
0283,既,8,,,1,04442,071
0284-0285,智,84,,,1,04569,072
0286,時,28,,,1,04523,072
0287,是,39,,,1,04512,072
0288,普,2,,,1,04557,072
0289,昔,3,,,1,04490,072
0290,暫,3,,,1,04603,072
0291,明,5,,,1,04485,072
0292,曰,2,,,1,04650,073
0293,最,2,,,1,04664,073
0294,更,2,,,1,04654,073
0295,曾,2,,,1,04661,073
0296,會,2,,,1,04667,073
0297,期,2,,,1,04699,074
0298-0300,有,141,,,1,04674,074
0301,果,14,,,1,04806,075
0302,樂,26,,,1,05279,075
0303,業,10,,,1,05152,075
0304,染,13,,,1,04848,075
0305,棄,4,,,1,05014,075
0306,未,26,,,1,04711,075
0307,極,9,,,1,05161,075
0308,槃,22,9,5,3,05228,075
0309,本,22,,,1,04713,075
0310,根,21,,,1,04922,075
0311,次,5,,,1,05558,076
0312,欣,2,,,1,05561,076
0313,止,3,,,1,05641,077
0314-0315,此,94,,,1,05644,077
0316,死,12,,,1,05686,078
0317,殊,3,,,1,05717,078
0318,淨,50,,,1,06272,085
0319-0320,漏,60,,,1,06487,085
0321,滅,44,,,1,06432,085
0322,減,5,,,1,06313,085
0323,求,4,,,1,05964,085
0324,滿,6,,,1,06476,085
0325,深,3,,,1,06285,085
0326,湛,3,,,1,06365,085
0327-0328,法,89,,,1,06074,085
0329,清,9,,,1,06290,085
0330,決,4,,,1,06003,085
0331,流,2,,,1,06151,085
0332,漸,14,,,1,06517,085
0333,永,19,,,1,05957,085
0334,熏,5,,,1,06941,086
0335,然,16,,,1,06885,086
0336,熟,7,,,1,06949,086
0337,煩,17,,,1,06921,086
0338-0339,爲,55,,,1,07032,087
0340,爾,15,,,1,07043,089
0341,牟,3,,,1,07074,093
0342,猛,2,,,1,07180,094
0343,猶,5,,,1,07203,094
0344,獲,4,,,1,07241,094
0345,理,25,,,1,07307,096
0346-0347,現,72,,,1,07304,096
0348,甚,2,,,1,07457,099
0349-0350,生,65,,,1,07461,100
0351,用,50,,,1,07469,101
0352,界,31,,,1,07501,102
0353,畢,2,,,1,07520,102
0354,略,4,,,1,07522,102
0355,由,33,,,1,07479,102
0356,異,15,,,1,07530,102
0357,疑,4,,,1,07559,103
0358,登,3,,,1,07706,105
0359,發,4,,,1,07707,105
0360,皆,41,,,1,07717,106
0361,益,6,,,1,07759,108
0362,盡,23,,,1,07779,108
0363-0364,眞,73,,,1,07827,109
0365,衆,11,,,1,07844,109
0366,眠,8,,,1,07828,109
0367,眼,3,,,1,07843,109
0368,知,25,,,1,07941,111
0369,礙,6,,,1,08077,112
0370,示,6,,,1,08097,113
0371,神,4,,,1,08124,113
0372-0373,種,63,,,1,08244,115
0374,穢,4,,,1,08279,115
0375,究,6,,,1,08293,116
0376,窮,7,,,1,08329,116
0377,空,16,,,1,08296,116
0378,立,7,,,1,08354,117
0379,竟,8,,,1,08365,117
0380,竝,3,,,1,08361,117
0381,第,10,,,1,08412,118
0382-0383,等,73,,,1,08426,118
0384,純,12,,,1,08753,120
0385,繋,2,,,1,09030,120
0386,細,6,,,1,08779,120
0387,絶,4,,,1,08809,120
0388,續,7,,,1,09061,120
0389,縁,32,3,,2,08924,120
0390,網,2,,,1,08885,120
0391,經,6,,,1,08856,120
0392,縛,6,,,1,08963,120
0393,義,30,,,1,09177,123
0394,習,11,,,1,09214,124
0395,者,35,,,1,09255,125
0396,而,45,,,1,09264,126
0397,聞,3,,,1,09315,128
0398,聲,2,1,,2,09328,128
0399,耶,3,,,1,09292,128
0400,聚,2,,,1,09314,128
0401,聖,9,,,1,09308,128
0402,脩,23,,,1,09462,130
0403,脱,9,,,1,09463,130
0404,能,50,,,1,09429,130
0405,自,49,,,1,09602,132
0406,至,6,,,1,09610,133
0407,與,18,,,1,09629,134
0408,般,2,,,1,09665,137
0409,色,16,,,1,09716,139
0410,薩,14,,,1,10163,140
0411,藏,5,,,1,10191,140
0412,若,22,,,1,09788,140
0413,苦,14,,,1,09789,140
0414,薀,7,,,1,10137,140
0415,菩,18,4,,2,09919,140
0416,莊,5,,,1,09869,140
0417,虚,5,,,1,10272,141
0418,處,19,,,1,10270,141
0419,行,25,,,1,10614,144
0420,覆,2,,,1,10826,146
0421,要,4,,,1,10822,146
0422,覺,5,,,1,10856,147
0423,見,15,,,1,10831,147
0424,親,4,,,1,10848,147
0425,觀,20,,,1,10859,147
0426,解,14,,,1,10875,148
0427,言,14,,,1,10890,149
0428-0429,識,76,,,1,11171,149
0430,諸,45,,,1,11085,149
0431,許,2,,,1,10930,149
0432,議,3,,,1,11195,149
0433,設,2,,,1,10928,149
0434,記,3,,,1,10914,149
0435,論,16,,,1,11058,149
0436,諦,4,,,1,11072,149
0437,證,36,,,1,11155,149
0438-0439,謂,52,,,1,11095,149
0440-0442,説,103,,,1,11025,149
0443,豈,5,,,1,11253,151
0444,頼,2,,,1,11411,154
0445,趣,3,,,1,11485,156
0446,起,41,,,1,11461,156
0447,足,2,,,1,11495,157
0448-0449,身,89,,,1,11715,158
0450-0451,轉,64,,,1,11856,159
0452,通,18,,,1,12000,162
0453,遮,2,,,1,12083,162
0454,遠,2,,,1,12070,162
0455,逼,2,,,1,12030,162
0456,達,8,,,1,12052,162
0457,道,37,,,1,12051,162
0458,03157,11,,,1,03157,060
0459,運,2,,,1,12043,162
0460,違,13,,,1,12054,162
0461,迷,9,,,1,11974,162
0462,邊,15,,,1,12115,162
0463,都,2,,,1,12188,163
0464,那,8,,,1,12134,163
0465,量,15,,,1,12376,166
0466,重,10,,,1,12373,166
0467,鏡,13,,,1,12613,167
0468,金,10,,,1,12380,167
0469,門,4,,,1,12709,169
0470,限,3,,,1,12839,170
0471,隨,24,,,1,12927,170
0472,際,14,,,1,12913,170
0473,阿,4,,,1,12830,170
0474,難,3,2,,2,13002,172
0475,集,9,,,1,12963,172
0476,雜,6,,,1,12997,172
0477,雖,33,,,1,12991,172
0478,雨,4,,,1,13012,173
0479,靜,2,,,1,13103,174
0480-0481,非,68,,,1,13104,175
0482,類,13,,,1,13398,181
0483,顯,18,,,1,13416,181
0484,願,4,,,1,13391,181
0485,頓,13,,,1,13316,181
0486,頌,3,,,1,13307,181
0487,餘,35,,,1,13565,184
0488,體,7,,,1,13934,188
0489,14659,13,,,1,14659,198
0490,世,8,4,,2,00025,001
0491,亂,1,1,,2,00121,005
0492,妙,8,3,,2,02045,038
0493,差,8,5,,2,02780,048
0494,正,6,1,,2,05643,077
0495,涅,35,1,,2,06189,085
0496-0499,無,144,47,,2,06872,086
0500-0501,相,94,,,1,07801,109
0502,總,4,2,1,3,08993,120
0503,過,2,,,1,12046,162
0504,間,10,4,,2,12724,169
0505,隱,2,1,,2,12935,170
0506-0507,障,60,2,,2,12914,170
0508,離,13,3,,2,13001,172
