カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典
0001,丕,001,0,,,,00023
0002,乏,004,0,,,,00093
0003,乾,005,0,,,,00118
0004,也,005,0,,,,00109
0005,予,006,0,,,,00126
0006,伽,009,0,,,,00236
0007,供,009,0,,,,00299
0008,人,009,0,,,,00168
0009,偶,009,0,,,,00431
0010,很,060,0,,,,03134
0011,倍,009,0,,,,00368
0012,仰,009,0,,,,00199
0013,僊,009,0,,,,00484
0014,元,010,0,,,,00560
0015,兆,010,0,,,,00564
0016,共,012,0,,,,00599
0017,六,012,0,,,,00597
0018,冒,013,0,,,,00636
0019,冥,014,0,,,,00651
0020,函,017,0,,,,00725
0021,初,018,0,,,,00759
0022,劍,018,0,,,,00843
0023,勤,019,0,,,,00900
0024,勸,019,0,,,,00913
0025,包,020,0,,,,00924
0026,匝,022,0,,,,00951
0027,半,024,0,,,,00994
0028,厚,027,0,,,,01068
0030,嗣,030,0,,,,01452
0031,命,030,0,,,,01252
0032,古,030,0,,,,01142
0033,嚢,030,0,,,,01595
0034,01503,030,0,,,,01503
0035,和,030,0,,,,01263
0036,呑,030,0,,,,01187
0037,吹,030,0,,,,01212
0038,唯,030,0,,,,01349
0039,哩,030,0,,,,01319
0040,01556,030,0,,,,01556
0041,口,030,0,,,,01141
0042,告,030,0,,,,01219
0043,圖,031,0,,,,01647
0044,國,031,0,,,,01639
0045,圍,031,0,,,,01641
0046,増,032,0,,,,01853
0047,執,032,0,,,,01755
0048,土,032,0,,,,01654
0049,墜,032,0,,,,01851
0050,坦,032,0,,,,01690
0051,垠,032,0,,,,01725
0052,堂,032,0,,,,01765
0053,01845,032,0,,,,01845
0054,堪,032,0,,,,01789
0055,墮,032,0,,,,01863
0056,壞,032,0,,,,01895
0057,壽,033,0,,,,01913
0058,夏,035,0,,,,01927
0059,外,036,0,,,,01934
0060,夙,036,0,,,,01936
0061,奧,037,0,,,,02010
0062,奏,037,0,,,,01981
0063,02027,038,0,,,,02027
0064,娑,038,0,,,,02110
0065,威,038,0,,,,02105
0066,存,039,0,,,,02268
0067,學,039,0,,,,02293
0068,宅,040,0,,,,02306
0069,寒,040,0,,,,02371
0070,宙,040,0,,,,02324
0071,宣,040,0,,,,02333
0072,守,040,0,,,,02308
0073,字,039,0,,,,02267
0075,專,041,0,,,,02426
0076,導,041,0,,,,02436
0077,小,042,0,,,,02439
0078,尤,043,0,,,,02456
0079,尺,044,0,,,,02471
0080,崇,046,0,,,,02607
0081,嶺,046,0,,,,02734
0082,幡,050,1,2,,,02881
0083,帛,050,0,,,,02819
0084,幟,050,0,,,,02877
0085,幼,052,0,,,,02909
0086,幻,052,0,,,,02907
0088,庶,053,0,,,,02961
0089,庫,053,0,,,,02949
0090,度,053,0,,,,02944
0091,座,053,0,,,,02946
0092,彙,058,0,,,,03097
0093,彰,059,0,,,,03115
0094,彦,059,0,,,,03106
0095,律,060,0,,,,03137
0096,徇,060,0,,,,03133
0097,御,060,0,,,,03153
0098,待,060,0,,,,03132
0099,往,060,0,,,,03128
0100,惠,061,0,,,,03366
0101,恭,061,0,,,,03297
0102,恢,061,0,,,,03284
0103,惱,061,0,,,,03372
0104,慙,061,0,,,,03453
0105,怠,061,0,,,,03240
0106,懌,061,0,,,,03553
0107,懇,061,0,,,,03548
0108,懈,061,0,,,,03549
0109,怖,061,0,,,,03233
0110,忿,061,0,,,,03220
0111,怒,061,0,,,,03229
0113,悍,061,0,,,,03317
0114,惹,061,0,,,,03379
0115,戒,062,0,,,,03612
0116,拳,064,0,,,,03770
0117,探,064,0,,,,03874
0118,擬,064,0,,,,04122
0119,振,064,0,,,,03799
0120,指,064,0,,,,03783
0121,才,064,0,,,,03661
0122,擲,064,0,,,,04130
0123,撃,064,0,,,,04087
0124,捺,064,0,,,,03845
0125,攝,064,0,,,,04192
0126,敷,066,0,,,,04296
0127,變,066,0,,,,04319
0128,政,066,0,,,,04235
0129,新,069,0,,,,04376
0130,旌,070,0,,,,04408
0131,既,071,0,,,,04442
0132,曷,073,0,,,,04656
0133,暇,072,0,,,,04577
0134,昊,072,0,,,,04483
0135,暴,072,0,,,,04608
0136,昭,072,0,,,,04510
0137,暢,072,0,,,,04600
0138,曠,072,0,,,,04640
0139,早,072,0,,,,04452
0140,暑,072,0,,,,04587
0141,昌,072,0,,,,04484
0142,會,073,0,,,,04667
0143,樓,075,0,,,,05293
0144,果,075,0,,,,04806
0145,東,075,0,,,,04765
0146,槃,075,0,,,,05228
0147,校,075,0,,,,04904
0148,04870,075,0,,,,04870
0149,05526,075,0,,,,05526
0150,構,075,0,,,,05235
0151,模,075,0,,,,05310
0152,05367,075,0,,,,05367
0153,標,075,0,,,,05302
0154,次,076,0,,,,05558
0155,欲,076,0,,,,05580
0156,歎,076,0,,,,05612
0157,止,077,0,,,,05641
0158,歳,077,0,,,,05666
0159,歴,077,0,,,,05670
0160,武,077,0,,,,05649
0161,死,078,0,,,,05686
0162,05724,078,0,,,,05724
0163,殿,079,0,,,,05809
0164,毎,080,0,,,,05836
0165,母,080,0,,,,05834
0166,毫,082,0,,,,05867
0167,溺,085,0,,,,06422
0168,涅,085,0,,,,06189
0169,混,085,0,,,,06289
0170,潤,085,0,,,,06553
0171,滌,085,0,,,,06439
0172,滅,085,0,,,,06432
0173,澄,085,0,,,,06564
0174,漂,085,0,,,,06480
0175,淵,085,0,,,,06310
0176,06571,085,0,,,,06571
0177,永,085,0,,,,05957
0178,泰,085,0,,,,06098
0179,洞,085,0,,,,06125
0180,涼,085,0,,,,06230
0181,水,085,0,,,,05952
0182,河,085,0,,,,06045
0183,湊,085,0,,,,06355
0184,浮,085,0,,,,06175
0185,沈,085,0,,,,06015
0186,06201,085,0,,,,06201
0187,淪,085,0,,,,06275
0188,浴,085,0,,,,06179
0189,涯,085,0,,,,06218
0190,津,085,0,,,,06128
0191,潛,085,0,,,,06548
0192,湛,085,0,,,,06365
0193,照,086,0,,,,06918
0194,煩,086,0,,,,06921
0195,烝,086,0,,,,06846
0196,煙,086,0,,,,06901
0197,07018,086,0,,,,07018
0198,災,086,0,,,,06792
0199,烏,086,0,,,,06835
0200,牙,092,0,,,,07065
0201,牟,093,0,,,,07074
0202,猷,094,0,,,,07204
0203,瑟,096,0,,,,07347
0204,瓔,096,0,,,,07397
0205,珞,096,0,,,,07290
0206,琅,096,0,,,,07306
0207,玉,096,0,,,,07261
0208,略,102,0,,,,07522
0209,田,102,0,,,,07478
0210,畏,102,0,,,,07503
0211,異,102,0,,,,07530
0212,疲,104,0,,,,07580
0213,痘,104,0,,,,07610
0214,登,105,0,,,,07706
0215,皎,106,0,,,,07722
0216,盈,108,0,,,,07758
0217,目,109,0,,,,07790
0218,睹,109,0,,,,07870
0219,短,111,0,,,,07948
0220,矩,111,0,,,,07944
0221,矣,111,0,,,,07938
0222,研,112,0,,,,07995
0223,祖,113,0,,,,08117
0224,福,113,0,,,,08148
0225,積,115,0,,,,08269
0226,私,115,0,,,,08180
0227,稱,115,0,,,,08248
0228,窺,116,0,,,,08337
0229,竅,116,0,,,,08347
0230,第,118,0,,,,08412
0231,箭,118,0,,,,08479
0232,範,118,0,,,,08497
0233,竺,118,0,,,,08383
0234,管,118,0,,,,08477
0235,08476,118,0,,,,08476
0236,縛,120,0,,,,08963
0237,終,120,0,,,,08795
0238,絶,120,0,,,,08809
0239,納,120,0,,,,08747
0240,繼,120,0,,,,09047
0241,編,120,0,,,,08927
0242,纉,120,0,,,,09076
0243,繁,120,0,,,,08997
0244,綜,120,0,,,,08868
0245,縻,120,0,,,,08991
0246,續,120,0,,,,09061
0247,細,120,0,,,,08779
0248,缺,121,0,,,,09085
0249,罕,122,0,,,,09106
0250,罔,122,0,,,,09104
0251,置,122,0,,,,09128
0252,羣,123,0,,,,09175
0253,羸,123,0,,,,09192
0254,羯,123,0,,,,09182
0255,考,125,0,,,,09251
0256,耨,127,0,,,,09286
0257,聊,128,0,,,,09304
0258,肇,129,0,,,,09347
0259,脩,130,0,,,,09462
0260,胝,130,0,,,,09407
0261,臨,131,0,,,,09601
0262,臺,133,0,,,,09617
0263,致,133,0,,,,09611
0264,擧,134,0,,,,09632
0265,舒,135,0,,,,09643
0266,蓮,140,0,,,,10050
0267,09804,140,0,,,,09804
0268,英,140,0,,,,09795
0269,芥,140,0,,,,09747
0270,茲,095,0,,,,07258
0271,蕩,140,0,,,,10123
0272,芳,140,0,,,,09759
0273,莊,140,0,,,,09869
0274,藥,140,0,,,,10204
0275,蘿,140,0,,,,10258
0276,藻,140,0,,,,10217
0277,蒼,140,0,,,,10031
0278,蘊,140,0,,,,10232
0279,芻,140,0,,,,09765
0280,藐,140,0,,,,10192
0281,處,141,0,,,,10270
0282,虧,141,0,,,,10282
0283,蠡,142,0,,,,10580
0284,螢,142,0,,,,10510
0285,蠻,142,0,,,,10603
0286,衣,145,0,,,,10637
0287,表,145,0,,,,10643
0288,被,145,0,,,,10683
0289,製,145,0,,,,10732
0290,規,147,0,,,,10833
0291,諒,149,0,,,,11056
0292,詳,149,0,,,,10984
0293,訓,149,0,,,,10909
0294,誨,149,0,,,,11024
0295,譬,149,0,,,,11189
0296,識,149,0,,,,11171
0297,11005,149,0,,,,11005
0298,警,149,0,,,,11185
0299,豐,151,0,,,,11261
0300,貊,153,0,,,,11309
0301,資,154,0,,,,11373
0302,趣,156,0,,,,11485
0303,躋,157,0,,,,11686
0304,蹄,157,0,,,,11611
0305,路,157,0,,,,11548
0306,軍,159,0,,,,11745
0307,輝,159,0,,,,11815
0308,轍,159,0,,,,11858
0309,輻,159,0,,,,11844
0310,載,159,0,,,,11795
0311,輿,159,0,,,,11846
0312,辨,160,0,,,,11908
0313,辯,160,0,,,,11916
0314,辰,161,0,,,,11917
0315,還,162,0,,,,12108
0316,邃,162,0,,,,12110
0317,運,162,0,,,,12043
0318,遠,162,0,,,,12070
0319,追,162,0,,,,11979
0320,12223,163,0,,,,12223
0321,郷,163,0,,,,12205
0322,邦,163,0,,,,12137
0323,障,170,0,,,,12914
0324,邪,163,0,,,,12139
0325,12284,164,0,,,,12284
0326,野,166,0,,,,12374
0327,鉢,167,0,,,,12440
0328,銀,167,0,,,,12451
0329,鑿,167,0,,,,12694
0330,鐸,167,0,,,,12657
0331,鎧,167,0,,,,12582
0332,錯,167,0,,,,12528
0333,鈴,167,0,,,,12418
0334,長,168,0,,,,12698
0335,閻,169,0,,,,12757
0336,12748,169,0,,,,12748
0337,闕,169,0,,,,12783
0338,閑,169,0,,,,12722
0339,閣,169,0,,,,12739
0340,12742,169,0,,,,12742
0341,降,170,0,,,,12838
0342,陽,170,0,,,,12876
0343,陰,170,0,,,,12862
0344,除,170,0,,,,12855
0345,雅,172,0,,,,12962
0346,雨,173,0,,,,13012
0347,雪,173,0,,,,13015
0348,靈,173,0,,,,13092
0349,面,176,0,,,,13108
0350,頗,181,0,,,,13325
0351,類,181,0,,,,13398
0352,順,181,0,,,,13302
0353,頽,181,0,,,,13358
0354,首,185,0,,,,13661
0355,香,186,0,,,,13667
0356,騰,187,0,,,,13820
0357,鷲,196,0,,,,14576
0358,麻,200,1,2,,,14681
0359,黒,203,0,,,,14709
0360,默,203,0,,,,14720
0361,齊,210,0,,,,14828
0362,龍,212,0,,,,14876
0363-0365,一,001,1,140,,,00001
0366,三,001,1,37,,,00007
0367,不,001,1,16,,,00013
0368,下,001,1,2,,,00009
0369,世,001,1,30,,,00025
0370,上,001,1,17,,,00008
0371,中,002,1,27,,,00051
0372,主,003,1,6,,,00070
0373,乎,004,1,10,,,00092
0374,乘,004,1,7,,,00102
0375,之,004,1,42,,,00088
0376,久,004,1,2,,,00085
0377,乃,004,1,7,,,00078
0378,九,005,1,3,,,00107
0379,事,006,1,12,,,00128
0380,五,007,1,4,,,00135
0381,云,007,1,3,,,00133
0382,亦,008,1,2,,,00154
0383,以,009,1,40,,,00194
0384,佛,009,1,16,,,00255
0385,像,009,1,6,,,00489
0386,住,009,1,12,,,00245
0387,令,009,1,5,,,00193
0388,便,009,1,3,,,00321
0389,仁,009,1,2,,,00170
0390,他,009,1,3,,,00183
0391,何,009,1,4,,,00250
0392,今,009,1,3,,,00175
0393,伏,009,1,4,,,00217
0394,倶,009,1,3,,,00350
0395,儀,009,1,2,,,00516
0396,傳,009,1,2,,,00468
0397,僧,009,1,2,,,00503
0398,作,009,1,21,,,00256
0399,光,010,1,10,,,00567
0400,先,010,1,2,,,00566
0401,兢,010,1,2,,,00581
0402,入,011,1,12,,,00582
0403,具,012,1,9,,,00606
0404,典,012,1,4,,,00608
0405,其,012,1,12,,,00605
0406,冑,013,1,2,,,00635
0407,冠,014,1,2,,,00646
0408,出,017,1,23,,,00723
0409,則,018,1,6,,,00789
0410,前,018,1,2,,,00794
0411,刹,018,1,5,,,00781
0412,利,018,1,9,,,00767
0413-0415,切,018,1,128,,,00735
0416,力,019,1,3,,,00856
0417,勇,019,1,2,,,00881
0418,劫,019,1,2,,,00865
0419,加,019,1,11,,,00858
0420,勝,019,1,14,,,00893
0421,功,019,1,5,,,00857
0422,分,018,1,2,,,00734
0423,勢,019,2,1,1,,00898
0424,化,021,1,5,,,00938
0425,千,024,1,2,,,00987
0426,十,024,1,3,,,00985
0427,博,024,1,2,,,01016
0428,即,026,1,27,,,01049
0429,印,026,1,4,,,01034
0430,及,029,1,2,,,01111
0431,叉,029,1,2,,,01109
0432,合,030,1,6,,,01170
0433,名,030,1,6,,,01175
0434,啓,030,1,2,,,01373
0435,喩,030,1,2,,,01421
0436,周,030,1,3,,,01235
0437,喜,030,1,3,,,01412
0438,吉,030,1,2,,,01172
0439,召,030,1,9,,,01150
0440,右,030,1,2,,,01158
0441,01569,030,1,6,,,01569
0442,01353,030,1,5,,,01353
0443,喞,030,1,2,,,01415
0444,01594,030,1,7,,,01594
0445,同,030,1,5,,,01174
0446,善,030,1,13,,,01395
0447,向,030,1,3,,,01179
0448,咸,030,1,2,,,01288
0449,可,030,1,6,,,01154
0450,哉,030,1,6,,,01305
0451,含,030,1,2,,,01197
0452,固,031,1,11,,,01627
0453,因,031,1,3,,,01611
0454,四,031,1,6,,,01607
0455,圓,031,1,7,,,01645
0456,場,032,1,2,,,01798
0457,坐,032,1,2,,,01682
0458,01748,032,1,14,,,01748
0459,在,032,1,8,,,01659
0460,地,032,1,18,,,01666
0461,垂,032,1,2,,,01710
0462,塵,032,1,3,,,01831
0463,域,032,1,4,,,01745
0464,士,033,1,4,,,01903
0465,夜,036,1,2,,,01939
0466,多,036,1,9,,,01938
0467-0468,大,037,1,100,,,01946
0469,天,037,1,8,,,01947
0470,太,037,1,2,,,01948
0471-0474,如,038,1,151,,,02031
0475,妙,038,1,19,,,02045
0476,妄,038,1,2,,,02033
0477,始,038,1,2,,,02069
0478,子,039,1,4,,,02262
0479,宗,040,1,3,,,02322
0480,宰,040,1,2,,,02344
0481,察,040,1,3,,,02383
0482,宇,040,1,2,,,02307
0483,宏,040,1,2,,,02316
0484,容,040,1,2,,,02352
0485,寂,040,1,5,,,02357
0486,實,040,1,6,,,02390
0487,寶,040,1,14,,,02407
0488,富,040,1,2,,,02366
0489,宮,040,1,3,,,02342
0490,定,040,1,2,,,02325
0491,安,040,1,8,,,02309
0492,尊,041,1,24,,,02429
0493,將,041,1,2,,,02425
0494,居,044,1,2,,,02482
0495,岸,046,1,2,,,02564
0496,巍,046,1,2,,,02752
0497,山,046,1,2,,,02528
0498,峯,046,1,2,,,02589
0499,己,049,1,2,,,02782
0500,已,049,1,17,,,02783
0501,帝,050,1,2,,,02820
0502,布,050,1,2,,,02800
0503,師,050,1,2,,,02835
0504,常,050,1,7,,,02847
0505,幢,050,1,4,,,02882
0506,并,051,1,2,,,02902
0507,平,051,1,12,,,02899
0508,幽,052,1,2,,,02912
0509,底,053,1,2,,,02932
0510,序,053,1,4,,,02928
0511,廣,053,1,8,,,02993
0512,庸,053,1,2,,,02963
0513,弗,057,1,2,,,03046
0514,影,059,1,3,,,03116
0515,微,060,1,8,,,03165
0516,後,060,1,5,,,03138
0517,復,060,1,11,,,03159
0518,03157,060,2,9,6,,03157
0519,彼,060,1,23,,,03124
0520,得,060,1,13,,,03145
0521,愚,061,1,2,,,03404
0522,情,061,1,9,,,03348
0523,悟,061,1,4,,,03326
0524,忍,061,1,5,,,03184
0525,恆,061,1,2,,,03267
0526,悲,061,1,2,,,03335
0527,慈,061,1,4,,,03439
0528,愛,061,1,3,,,03405
0529,慧,061,1,3,,,03462
0530,想,061,1,2,,,03373
0531,念,061,1,2,,,03214
0532,息,061,1,3,,,03298
0533,心,061,1,39,,,03179
0534,性,061,1,17,,,03244
0535,意,061,1,5,,,03395
0536,惟,061,1,2,,,03365
0537,思,061,1,2,,,03239
0538,應,061,1,6,,,03550
0539,悉,061,1,10,,,03312
0540,怛,061,1,4,,,03237
0541,悦,061,1,2,,,03309
0542,快,061,1,2,,,03208
0543,成,062,1,34,,,03610
0544,我,062,1,13,,,03611
0545,所,063,1,28,,,03647
0546,掌,064,1,5,,,03858
0547,揚,064,1,2,,,03904
0548,手,064,1,8,,,03659
0549,拔,064,1,3,,,03750
0550,承,064,1,2,,,03690
0551,提,064,1,13,,,03896
0552,摧,064,1,2,,,04008
0553,括,064,1,2,,,03764
0554,摩,064,1,30,,,04009
0555,持,064,1,17,,,03780
0556,授,064,2,2,2,,03855
0557,拏,064,1,2,,,03744
0558,故,066,1,15,,,04243
0559,救,066,1,2,,,04263
0560,教,066,1,16,,,04261
0561,文,067,1,6,,,04321
0562,方,070,1,9,,,04385
0563,施,070,1,2,,,04391
0564,昏,072,1,3,,,04486
0565,易,072,1,2,,,04489
0566,昧,072,1,15,,,04505
0567,日,072,1,9,,,04446
0568,是,072,1,43,,,04512
0569,普,072,1,29,,,04557
0570,智,072,1,32,,,04569
0571,時,072,1,32,,,04523
0572,曼,073,1,2,,,04660
0573,曰,073,1,13,,,04650
0574,最,073,1,11,,,04664
0575,朕,074,1,2,,,04688
0576,有,074,1,17,,,04674
0577,月,074,1,12,,,04673
0578,杵,075,1,5,,,04769
