統合ID,文字,佛説大教,字体数,用例数,部首
00023,丕,0001,0,1,001
00093,乏,0002,0,1,004
00118,乾,0003,0,1,005
00109,也,0004,0,1,005
00126,予,0005,0,1,006
00236,伽,0006,0,1,009
00299,供,0007,0,1,009
00168,人,0008,0,1,009
00431,偶,0009,0,1,009
03134,很,0010,0,1,060
00368,倍,0011,0,1,009
00199,仰,0012,0,1,009
00484,僊,0013,0,1,009
00560,元,0014,0,1,010
00564,兆,0015,0,1,010
00599,共,0016,0,1,012
00597,六,0017,0,1,012
00636,冒,0018,0,1,013
00651,冥,0019,0,1,014
00725,函,0020,0,1,017
00759,初,0021,0,1,018
00843,劍,0022,0,1,018
00900,勤,0023,0,1,019
00913,勸,0024,0,1,019
00924,包,0025,0,1,020
00951,匝,0026,0,1,022
00994,半,0027,0,1,024
01068,厚,0028,0,1,027
01452,嗣,0030,0,1,030
01252,命,0031,0,1,030
01142,古,0032,0,1,030
01595,囊,0033,0,1,030
01503,噉,0034,0,1,030
01263,和,0035,0,1,030
01187,呑,0036,0,1,030
01212,吹,0037,0,1,030
01349,唯,0038,0,1,030
01319,哩,0039,0,1,030
01556,嚕,0040,0,1,030
01141,口,0041,0,1,030
01219,告,0042,0,1,030
01647,圖,0043,0,1,031
01639,國,0044,0,1,031
01641,圍,0045,0,1,031
01853,增,0046,0,1,032
01755,執,0047,0,1,032
01654,土,0048,0,1,032
01851,墜,0049,0,1,032
01690,坦,0050,0,1,032
01725,垠,0051,0,1,032
01765,堂,0052,0,1,032
01845,墊,0053,0,1,032
01789,堪,0054,0,1,032
01863,墮,0055,0,1,032
01895,壞,0056,0,1,032
01913,壽,0057,0,1,033
01927,夏,0058,0,1,035
01934,外,0059,0,1,036
01936,夙,0060,0,1,036
02010,奧,0061,0,1,037
01981,奏,0062,0,1,037
02027,奼,0063,0,1,038
02110,娑,0064,0,1,038
02105,威,0065,0,1,038
02268,存,0066,0,1,039
02293,學,0067,0,1,039
02306,宅,0068,0,1,040
02371,寒,0069,0,1,040
02324,宙,0070,0,1,040
02333,宣,0071,0,1,040
02308,守,0072,0,1,040
02267,字,0073,0,1,039
02426,專,0075,0,1,041
02436,導,0076,0,1,041
02439,小,0077,0,1,042
02456,尤,0078,0,1,043
02471,尺,0079,0,1,044
02607,崇,0080,0,1,046
02734,嶺,0081,0,1,046
02881,幡,0082,1,2,050
02819,帛,0083,0,1,050
02877,幟,0084,0,1,050
02909,幼,0085,0,1,052
02907,幻,0086,0,1,052
02961,庶,0088,0,1,053
02949,庫,0089,0,1,053
02944,度,0090,0,1,053
02946,座,0091,0,1,053
03097,彙,0092,0,1,058
03115,彰,0093,0,1,059
03106,彦,0094,0,1,059
03137,律,0095,0,1,060
03133,徇,0096,0,1,060
03153,御,0097,0,1,060
03132,待,0098,0,1,060
03128,往,0099,0,1,060
03366,惠,0100,0,1,061
03297,恭,0101,0,1,061
03284,恢,0102,0,1,061
03372,惱,0103,0,1,061
03453,慙,0104,0,1,061
03240,怠,0105,0,1,061
03553,懌,0106,0,1,061
03548,懇,0107,0,1,061
03549,懈,0108,0,1,061
03233,怖,0109,0,1,061
03220,忿,0110,0,1,061
03229,怒,0111,0,1,061
03317,悍,0113,0,1,061
03379,惹,0114,0,1,061
03612,戒,0115,0,1,062
03770,拳,0116,0,1,064
03874,探,0117,0,1,064
04122,擬,0118,0,1,064
03799,振,0119,0,1,064
03783,指,0120,0,1,064
03661,才,0121,0,1,064
04130,擲,0122,0,1,064
04087,擊,0123,0,1,064
03845,捺,0124,0,1,064
04192,攝,0125,0,1,064
04296,敷,0126,0,1,066
04319,變,0127,0,1,066
04235,政,0128,0,1,066
04376,新,0129,0,1,069
04408,旌,0130,0,1,070
04442,旣,0131,0,1,071
04656,曷,0132,0,1,073
04577,暇,0133,0,1,072
04483,昊,0134,0,1,072
04608,暴,0135,0,1,072
04510,昭,0136,0,1,072
04600,暢,0137,0,1,072
04640,曠,0138,0,1,072
04452,早,0139,0,1,072
04587,暑,0140,0,1,072
04484,昌,0141,0,1,072
04667,會,0142,0,1,073
05293,樓,0143,0,1,075
04806,果,0144,0,1,075
04765,東,0145,0,1,075
05228,槃,0146,0,1,075
04904,校,0147,0,1,075
04870,柰,0148,0,1,075
05526,,0149,0,1,075
05235,構,0150,0,1,075
05310,模,0151,0,1,075
05367,橝,0152,0,1,075
05302,標,0153,0,1,075
05558,次,0154,0,1,076
05580,欲,0155,0,1,076
05612,歎,0156,0,1,076
05641,止,0157,0,1,077
05666,歳,0158,0,1,077
05670,歷,0159,0,1,077
05649,武,0160,0,1,077
05686,死,0161,0,1,078
05724,殑,0162,0,1,078
05809,殿,0163,0,1,079
05836,每,0164,0,1,080
05834,母,0165,0,1,080
05867,毫,0166,0,1,082
06422,溺,0167,0,1,085
06189,涅,0168,0,1,085
06289,混,0169,0,1,085
06553,潤,0170,0,1,085
06439,滌,0171,0,1,085
06432,滅,0172,0,1,085
06564,澄,0173,0,1,085
06480,漂,0174,0,1,085
06310,淵,0175,0,1,085
06571,澍,0176,0,1,085
05957,永,0177,0,1,085
06098,泰,0178,0,1,085
06125,洞,0179,0,1,085
06230,涼,0180,0,1,085
05952,水,0181,0,1,085
06045,河,0182,0,1,085
06355,湊,0183,0,1,085
06175,浮,0184,0,1,085
06015,沈,0185,0,1,085
06201,涔,0186,0,1,085
06275,淪,0187,0,1,085
06179,浴,0188,0,1,085
06218,涯,0189,0,1,085
06128,津,0190,0,1,085
06548,潛,0191,0,1,085
06365,湛,0192,0,1,085
06918,照,0193,0,1,086
06921,煩,0194,0,1,086
06846,烝,0195,0,1,086
06901,煙,0196,0,1,086
07018,爝,0197,0,1,086
06792,災,0198,0,1,086
06835,烏,0199,0,1,086
07065,牙,0200,0,1,092
07074,牟,0201,0,1,093
07204,猷,0202,0,1,094
07347,瑟,0203,0,1,096
07397,瓔,0204,0,1,096
07290,珞,0205,0,1,096
07306,琅,0206,0,1,096
07261,玉,0207,0,1,096
07522,略,0208,0,1,102
07478,田,0209,0,1,102
07503,畏,0210,0,1,102
07530,異,0211,0,1,102
07580,疲,0212,0,1,104
07610,痘,0213,0,1,104
07706,登,0214,0,1,105
07722,皎,0215,0,1,106
07758,盈,0216,0,1,108
07790,目,0217,0,1,109
07870,睹,0218,0,1,109
07948,短,0219,0,1,111
07944,矩,0220,0,1,111
07938,矣,0221,0,1,111
07995,硏,0222,0,1,112
08117,祖,0223,0,1,113
08148,福,0224,0,1,113
08269,積,0225,0,1,115
08180,私,0226,0,1,115
08248,稱,0227,0,1,115
08337,窺,0228,0,1,116
08347,竅,0229,0,1,116
08412,第,0230,0,1,118
08479,箭,0231,0,1,118
08497,範,0232,0,1,118
08383,竺,0233,0,1,118
08477,管,0234,0,1,118
08476,箠,0235,0,1,118
08963,縛,0236,0,1,120
08795,終,0237,0,1,120
08809,絶,0238,0,1,120
08747,納,0239,0,1,120
09047,繼,0240,0,1,120
08927,編,0241,0,1,120
09076,纘,0242,0,1,120
08997,繁,0243,0,1,120
08868,綜,0244,0,1,120
08991,縻,0245,0,1,120
09061,續,0246,0,1,120
08779,細,0247,0,1,120
09085,缺,0248,0,1,121
09106,罕,0249,0,1,122
09104,罔,0250,0,1,122
09128,置,0251,0,1,122
09175,羣,0252,0,1,123
09192,羸,0253,0,1,123
09182,羯,0254,0,1,123
09251,考,0255,0,1,125
09286,耨,0256,0,1,127
09304,聊,0257,0,1,128
09347,肇,0258,0,1,129
09462,脩,0259,0,1,130
09407,胝,0260,0,1,130
09601,臨,0261,0,1,131
09617,臺,0262,0,1,133
09611,致,0263,0,1,133
09632,擧,0264,0,1,134
09643,舒,0265,0,1,135
10050,蓮,0266,0,1,140
09804,苾,0267,0,1,140
09795,英,0268,0,1,140
09747,芥,0269,0,1,140
07258,玆,0270,0,1,095
10123,蕩,0271,0,1,140
09759,芳,0272,0,1,140
09869,莊,0273,0,1,140
10204,藥,0274,0,1,140
10258,蘿,0275,0,1,140
10217,藻,0276,0,1,140
10031,蒼,0277,0,1,140
10232,蘊,0278,0,1,140
09765,芻,0279,0,1,140
10192,藐,0280,0,1,140
10270,處,0281,0,1,141
10282,虧,0282,0,1,141
10580,蠡,0283,0,1,142
10510,螢,0284,0,1,142
10603,蠻,0285,0,1,142
10637,衣,0286,0,1,145
10643,表,0287,0,1,145
10683,被,0288,0,1,145
10732,製,0289,0,1,145
10833,規,0290,0,1,147
11056,諒,0291,0,1,149
10984,詳,0292,0,1,149
10909,訓,0293,0,1,149
11024,誨,0294,0,1,149
11189,譬,0295,0,1,149
11171,識,0296,0,1,149
11005,誐,0297,0,1,149
11185,警,0298,0,1,149
11261,豐,0299,0,1,151
11309,貊,0300,0,1,153
11373,資,0301,0,1,154
11485,趣,0302,0,1,156
11686,躋,0303,0,1,157
11611,蹄,0304,0,1,157
11548,路,0305,0,1,157
11745,軍,0306,0,1,159
11815,輝,0307,0,1,159
11858,轍,0308,0,1,159
11844,輻,0309,0,1,159
11795,載,0310,0,1,159
11846,輿,0311,0,1,159
11908,辨,0312,0,1,160
11916,辯,0313,0,1,160
11917,辰,0314,0,1,161
12108,還,0315,0,1,162
12110,邃,0316,0,1,162
12043,運,0317,0,1,162
12070,遠,0318,0,1,162
11979,追,0319,0,1,162
12223,鄧,0320,0,1,163
12205,鄕,0321,0,1,163
12137,邦,0322,0,1,163
12914,障,0323,0,1,170
12139,邪,0324,0,1,163
12284,酤,0325,0,1,164
12374,野,0326,0,1,166
12440,鉢,0327,0,1,167
12451,銀,0328,0,1,167
12694,鑿,0329,0,1,167
12657,鐸,0330,0,1,167
12582,鎧,0331,0,1,167
12528,錯,0332,0,1,167
12418,鈴,0333,0,1,167
12698,長,0334,0,1,168
12757,閻,0335,0,1,169
12748,閫,0336,0,1,169
12783,闕,0337,0,1,169
12722,閑,0338,0,1,169
12739,閣,0339,0,1,169
12742,閦,0340,0,1,169
12838,降,0341,0,1,170
12876,陽,0342,0,1,170
12862,陰,0343,0,1,170
12855,除,0344,0,1,170
12962,雅,0345,0,1,172
13012,雨,0346,0,1,173
13015,雪,0347,0,1,173
13092,靈,0348,0,1,173
13108,面,0349,0,1,176
13325,頗,0350,0,1,181
13398,類,0351,0,1,181
13302,順,0352,0,1,181
13358,頽,0353,0,1,181
13661,首,0354,0,1,185
13667,香,0355,0,1,186
13820,騰,0356,0,1,187
14576,鷲,0357,0,1,196
14681,麻,0358,1,2,200
14709,黑,0359,0,1,203
14720,默,0360,0,1,203
14828,齊,0361,0,1,210
14876,龍,0362,0,1,212
00001,一,0363,1,140,001
00007,三,0366,1,37,001
00013,不,0367,1,16,001
00009,下,0368,1,2,001
00025,世,0369,1,30,001
00008,上,0370,1,17,001
00051,中,0371,1,27,002
00070,主,0372,1,6,003
00092,乎,0373,1,10,004
00102,乘,0374,1,7,004
00088,之,0375,1,42,004
00085,久,0376,1,2,004
00078,乃,0377,1,7,004
00107,九,0378,1,3,005
00128,事,0379,1,12,006
00135,五,0380,1,4,007
00133,云,0381,1,3,007
00154,亦,0382,1,2,008
00194,以,0383,1,40,009
00255,佛,0384,1,16,009
00489,像,0385,1,6,009
00245,住,0386,1,12,009
00193,令,0387,1,5,009
00321,便,0388,1,3,009
00170,仁,0389,1,2,009
00183,他,0390,1,3,009
00250,何,0391,1,4,009
00175,今,0392,1,3,009
00217,伏,0393,1,4,009
00350,倶,0394,1,3,009
00516,儀,0395,1,2,009
00468,傳,0396,1,2,009
00503,僧,0397,1,2,009
00256,作,0398,1,21,009
00567,光,0399,1,10,010
00566,先,0400,1,2,010
00581,兢,0401,1,2,010
00582,入,0402,1,12,011
00606,具,0403,1,9,012
00608,典,0404,1,4,012
00605,其,0405,1,12,012
00635,冑,0406,1,2,013
00646,冠,0407,1,2,014
00723,出,0408,1,23,017
00789,則,0409,1,6,018
00794,前,0410,1,2,018
00781,刹,0411,1,5,018
00767,利,0412,1,9,018
00735,切,0413,1,128,018
00856,力,0416,1,3,019
00881,勇,0417,1,2,019
00865,劫,0418,1,2,019
00858,加,0419,1,11,019
00893,勝,0420,1,14,019
00857,功,0421,1,5,019
00734,分,0422,1,2,018
00898,勢,0423a,2,1,019
00898b,勢,0423b,2,1,019
00938,化,0424,1,5,021
00987,千,0425,1,2,024
00985,十,0426,1,3,024
01016,博,0427,1,2,024
01049,卽,0428,1,27,026
01034,印,0429,1,4,026
01111,及,0430,1,2,029
01109,叉,0431,1,2,029
01170,合,0432,1,6,030
01175,名,0433,1,6,030
01373,啓,0434,1,2,030
01421,喩,0435,1,2,030
01235,周,0436,1,3,030
01412,喜,0437,1,3,030
01172,吉,0438,1,2,030
01150,召,0439,1,9,030
01158,右,0440,1,2,030
01569,嚩,0441,1,6,030
01353,唵,0442,1,5,030
01415,喞,0443,1,2,030
01594,囉,0444,1,7,030
01174,同,0445,1,5,030
01395,善,0446,1,13,030
01179,向,0447,1,3,030
01288,咸,0448,1,2,030
01154,可,0449,1,6,030
01305,哉,0450,1,6,030
