カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号
0001,且,0,,,,00020,001
0002,乾,0,,,,00118,005
0003,二,0,,,,00129,007
0004,住,0,,,,00245,009
0005,便,0,,,,00321,009
0006,伴,0,,,,00230,009
0007,儒,0,,,,00530,009
0008,來,0,,,,00282,009
0009,先,0,,,,00566,010
0010,八,0,,,,00594,012
0011,具,0,,,,00606,012
0012,冷,0,,,,00672,015
0013,凡,0,,,,00701,016
0014,力,0,,,,00856,019
0015,勃,0,,,,00877,019
0016,勝,0,,,,00893,019
0017,匝,0,,,,00951,022
0018,十,0,,,,00985,024
0019,去,0,,,,01101,028
0020,商,0,,,,01363,030
0021,唐,0,,,,01342,030
0022,01353,0,,,,01353,030
0023,呼,0,,,,01251,030
0024,01599,0,,,,01599,030
0025,噌,0,,,,01504,030
0026,喜,0,,,,01412,030
0027,告,0,,,,01219,030
0028,善,0,,,,01395,030
0029,向,0,,,,01179,030
0030,坐,0,,,,01682,032
0031,壞,0,,,,01895,032
0032,塔,0,,,,01816,032
0033,大,0,,,,01946,037
0034,好,0,,,,02029,038
0035,奴,0,,,,02024,038
0036,02040,0,,,,02040,038
0037,妙,0,,,,02045,038
0038,字,0,,,,02267,039
0039,孔,0,,,,02264,039
0040,宣,0,,,,02333,040
0041,寺,0,,,,02415,041
0042,將,0,,,,02425,041
0043,尸,0,,,,02469,044
0044,巖,0,,,,02757,046
0045,平,0,,,,02899,051
0046,廟,0,,,,02989,053
0047,廻,0,,,,03008,054
0048,弓,0,,,,03042,057
0049,彈,0,,,,03079,057
0050,彌,0,,,,03084,057
0051,形,0,,,,03101,059
0052,忤,0,,,,03205,061
0053,忽,0,,,,03219,061
0054,忙,0,,,,03197,061
0055,惡,0,,,,03367,061
0056,我,0,,,,03611,062
0057,戊,0,,,,03604,062
0058,搖,0,,,,03947,064
0059,打,0,,,,03666,064
0060,插,0,,,,03898,064
0061,拂,0,,,,03730,064
0062,摧,0,,,,04008,064
0063,03969,0,,,,03969,064
0064,03777,0,,,,03777,064
0065,承,0,,,,03690,064
0066,敗,0,,,,04268,066
0067,敵,0,,,,04293,066
0068,故,0,,,,04243,066
0069,放,0,,,,04233,066
0070,04646,0,,,,04646,072
0071,昂,0,,,,04473,072
0072,旨,0,,,,04450,072
0073,普,0,,,,04557,072
0074,昆,0,,,,04478,072
0075,木,0,,,,04707,075
0076,樹,0,,,,05323,075
