統一ID,文字,カード番号,字体数,用例数,部首
00020,且,0001,0,1,001
00118,乾,0002,0,1,005
00129,二,0003,0,1,007
00245,住,0004,0,1,009
00321,便,0005,0,1,009
00230,伴,0006,0,1,009
00530,儒,0007,0,1,009
00282,來,0008,0,1,009
00566,先,0009,0,1,010
00594,八,0010,0,1,012
00606,具,0011,0,1,012
00672,冷,0012,0,1,015
00701,凡,0013,0,1,016
00856,力,0014,0,1,019
00877,勃,0015,0,1,019
00893,勝,0016,0,1,019
00951,匝,0017,0,1,022
00985,十,0018,0,1,024
01101,去,0019,0,1,028
01363,商,0020,0,1,030
01342,唐,0021,0,1,030
01353,01353,0022,0,1,030
01251,呼,0023,0,1,030
01599,01599,0024,0,1,030
01504,噌,0025,0,1,030
01412,喜,0026,0,1,030
01219,告,0027,0,1,030
01395,善,0028,0,1,030
01179,向,0029,0,1,030
01682,坐,0030,0,1,032
01895,壞,0031,0,1,032
01816,塔,0032,0,1,032
01946,大,0033,0,1,037
02029,好,0034,0,1,038
02024,奴,0035,0,1,038
02040,02040,0036,0,1,038
02045,妙,0037,0,1,038
02267,字,0038,0,1,039
02264,孔,0039,0,1,039
02333,宣,0040,0,1,040
02415,寺,0041,0,1,041
02425,將,0042,0,1,041
02469,尸,0043,0,1,044
02757,巖,0044,0,1,046
02899,平,0045,0,1,051
02989,廟,0046,0,1,053
03008,廻,0047,0,1,054
03042,弓,0048,0,1,057
03079,彈,0049,0,1,057
03084,彌,0050,0,1,057
03101,形,0051,0,1,059
03205,忤,0052,0,1,061
03219,忽,0053,0,1,061
03197,忙,0054,0,1,061
03367,惡,0055,0,1,061
03611,我,0056,0,1,062
03604,戊,0057,0,1,062
03947,搖,0058,0,1,064
03666,打,0059,0,1,064
03898,插,0060,0,1,064
03730,拂,0061,0,1,064
04008,摧,0062,0,1,064
03969,03969,0063,0,1,064
03777,03777,0064,0,1,064
03690,承,0065,0,1,064
04268,敗,0066,0,1,066
04293,敵,0067,0,1,066
04243,故,0068,0,1,066
04233,放,0069,0,1,066
04646,04646,0070,0,1,072
04473,昂,0071,0,1,072
04450,旨,0072,0,1,072
04557,普,0073,0,1,072
04478,昆,0074,0,1,072
04707,木,0075,0,1,075
05323,樹,0076,0,1,075
04884,柴,0077,0,1,075
04803,林,0078,0,1,075
04711,未,0079,0,1,075
04890,栗,0080,0,1,075
05215,榴,0081,0,1,075
05809,殿,0082,0,1,079
05796,殺,0083,0,1,079
05841,比,0084,0,1,081
05935,民,0085,0,1,083
06545,潭,0086,0,1,085
06020,沐,0087,0,1,085
06179,浴,0088,0,1,085
05983,汝,0089,0,1,085
06965,熾,0090,0,1,086
06957,熱,0091,0,1,086
06949,熟,0092,0,1,086
07080,物,0093,0,1,093
07415,瓦,0094,0,1,098
07559,疑,0095,0,1,103
07591,疾,0096,0,1,104
07759,益,0097,0,1,108
M23523,M23523,0098,0,1,109
07986,破,0099,0,1,112
08261,穀,0100,0,1,115
08289,穰,0101,0,1,115
08248,稱,0102,0,1,115
08354,立,0103,0,1,117
08376,端,0104,0,1,117
08685,精,0105,0,1,119
08753,純,0106,0,1,120
08779,細,0107,0,1,120
08906,緊,0108,0,1,120
08742,08742,0109,0,1,120
09182,羯,0110,0,1,123
09264,而,0111,0,1,126
09328,聲,0112,0,1,128
09314,聚,0113,0,1,128
09308,聖,0114,0,1,128
09365,肢,0115,0,1,130
09462,脩,0116,0,1,130
09961,落,0117,0,1,140
