カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号,留意点
0001,亦,0,,,00154,008,
0002,他,0,,,00183,009,
0003,信,0,,,00345,009,
0004,人,0,,,00168,009,
0005,仰,0,,,00199,009,
0006,倶,0,,,00350,009,
0007,伎,0,,,00216,009,
0008,依,0,,,00301,009,
0009,出,0,,,00723,017,
0010,別,0,,,00763,018,
0011,剛,0,,,00803,018,
0012,劫,0,,,00865,019,
0013,勢,0,,,00898,019,
0014,加,0,,,00858,019,
0015,即,0,,,01049,026,
0016,命,0,,,01252,030,
0017,國,0,,,01639,031,
0018,墮,0,,,01863,032,
0019,境,0,,,01839,032,
0020,増,0,,,01853,032,
0021,坐,0,,,01682,032,
0022,士,0,,,01903,033,
0023,夫,0,,,01949,037,
0024,學,0,,,02293,039,
0025,字,0,,,02267,039,
0026,宣,0,,,02333,040,
0027,寛,0,,,02397,040,
0028,宿,0,,,02355,040,
0029,居,0,,,02482,044,
0030,差,0,,,02780,048,
0031,希,0,,,02806,050,
0032,幢,0,,,02882,050,
0033,幡,0,,,02881,050,
0034,02964,0,,,02964,053,
0035,度,0,,,02944,053,
0036,彼,0,,,03124,060,
0037,恭,0,,,03297,061,
0038,愈,0,,,03391,061,
0039,惟,0,,,03365,061,
0040,惓,0,,,03356,061,
0041,戲,0,,,03636,062,
0042,承,0,,,03690,064,
0043,既,0,,,04442,071,
0044,曰,0,,,04650,073,
0045,服,0,,,04679,074,
0046,業,0,,,05152,075,
0047,歡,0,,,05639,076,
0048,止,0,,,05641,077,
0049,氣,0,,,05947,084,
0050,漏,0,,,06487,085,
0051,永,0,,,05957,085,
0052,熟,0,,,06949,086,
0053,燈,0,,,06971,086,
0054,厭,0,,,01088,027,
0055,獲,0,,,07241,094,
0056,珍,0,,,07287,096,
0057,珞,0,,,07290,096,
0058,瓔,0,,,07397,096,
0059,理,0,,,07307,096,
0060,由,0,,,07479,102,
0061,癡,0,,,07685,104,
0062,疾,0,,,07591,104,
0063,病,0,,,07598,104,
0064,瞻,0,,,07907,109,
0065,衆,0,,,07844,109,
0066,瞋,0,,,07878,109,
0067,知,0,,,07941,030,
0068,禮,0,,,08165,113,
0069,示,0,,,08097,113,
0070,立,0,,,08354,117,
0071,續,0,,,09061,120,
0072,總,0,,,08993,120,
0073,習,0,,,09214,124,
0074,聽,0,,,09335,128,
0075,肉,0,,,09348,130,
0076,胝,0,,,09407,130,
0077,臥,0,,,09599,131,
0078,蘊,0,,,10232,140,
0079,花,0,,,09758,140,
0080,蓋,0,,,10040,140,
0081,衣,0,,,10637,145,
0082,觀,0,,,10859,147,
0083,説,0,,,11025,149,
0084,證,0,,,11155,149,
0085,詣,0,,,10974,149,
0086,讚,0,,,11229,149,
0087,謂,0,,,11095,149,
0088,財,0,,,11334,154,
0089,貪,0,,,11342,154,
0090,超,0,,,11467,156,
0091,輪,0,,,11827,159,
0092,返,0,,,11951,162,
0093,那,0,,,12134,163,
0094,重,0,,,12373,166,
0095,金,0,,,12380,167,
0096,開,0,,,12716,169,
0097,除,0,,,12855,170,
0098,難,1,2,,13002,172,
0099,面,0,,,13108,176,
0100,音,0,,,13281,180,
0101,類,0,,,13398,181,
0102,食,0,,,13503,184,
0103,飮,0,,,13526,184,
0104,首,0,,,13661,185,
0105,高,0,,,13940,189,
0106,齊,0,,,14828,210,
0107,上,1,15,,00008,001,
0108,三,1,20,,00007,001,
0109-0110,一,1,95,,00001,001,
0111,七,1,3,,00004,001,
0112-0120,不,1,429,,00013,001,
0121,世,1,4,,00025,001,
0122,中,1,31,,00051,002,
0123,乃,1,28,,00078,004,
0124,乘,1,30,,00102,004,
0125,之,1,18,,00088,004,
0126,九,1,2,,00107,005,
0127,事,1,6,,00128,006,
0128,二,1,3,,00129,007,
0129,云,1,2,,00133,007,
0130,五,1,7,,00135,007,
0131,伽,1,4,,00236,009,
0132,令,1,6,,00193,009,
0133,作,1,6,,00256,009,
0134,佛,1,41,,00255,009,
0135-0136,便,1,71,,00321,009,
0137-0138,何,1,88,,00250,009,
0139-0145,住,1,328,,00245,009,
0146,供,1,3,,00299,009,
0147-0150,以,1,168,,00194,009,
0151,光,1,2,,00567,010,
0152,内,1,5,,00585,013,
0153,入,1,4,,00582,011,
0154,六,1,3,,00597,012,
0155,八,1,13,,00594,012,
0156,共,1,4,,00599,012,
0157,具,1,5,,00606,012,
0158,其,1,3,,00605,012,
0159,利,1,3,,00767,018,
0160,初,1,3,,00759,018,
0161-0162,切,1,54,,00735,018,
0163,前,1,2,,00794,018,
0164,動,1,2,,00887,019,
0165,力,1,5,,00856,019,
0166,勝,1,12,,00893,019,
0167,十,1,13,,00985,024,
0168,千,1,3,,00987,024,
0169,受,1,16,,01128,029,
0170,取,1,2,,01127,029,
0171-0172,及,1,74,,01111,029,
0173,可,1,17,,01154,030,
0174,善,1,18,,01395,030,
0175,味,1,4,,01242,030,
0176,嚴,1,7,,01581,030,
0177-0178,名,1,61,,01175,030,
0179,向,1,43,,01179,030,
0180,喜,1,22,,01412,030,
0181,圓,1,17,,01645,031,
0182,四,1,17,,01607,031,
0183,在,1,4,,01659,032,
0184,垢,1,19,,01726,032,
0185,土,1,34,,01654,032,
