カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号
0001,且,0,1,,00020,001
0002,久,0,1,,00085,004
0003,乾,0,1,,00118,005
0004,了,0,1,,00125,006
0005,付,0,1,,00185,009
0006,休,0,1,,00219,009
0007,伽,0,1,,00236,009
0008,使,0,1,,00279,009
0009,促,0,1,,00324,009
0010,俗,0,1,,00338,009
0011,俵,0,1,,00353,009
0012,假,0,1,,00405,009
0013,像,0,1,,00489,009
0014,億,0,1,,00520,009
0015,優,0,1,,00542,009
0016,兩,0,1,,00591,011
0017,刊,0,1,,00738,018
0018,削,0,1,,00791,018
0019,剋,0,1,,00792,018
0020,創,0,1,,00824,018
0021,勇,0,1,,00881,019
0022,勞,0,1,,00894,019
0023,博,0,1,,01016,024
0024,危,0,1,,01035,026
0025,厭,0,1,,01088,027
0026,反,0,1,,01116,029
0027,古,0,1,,01142,030
0028,各,0,1,,01168,030
0029,呑,0,1,,01187,030
0030,吼,0,1,,01215,030
0031,味,0,1,,01242,030
0032,哉,0,1,,01305,030
0033,嗅,0,1,,01439,030
0034,器,0,1,,01523,030
0035,土,0,1,,01654,032
0036,垂,0,1,,01710,032
0037,堪,0,1,,01789,032
0038,塔,0,1,,01816,032
0039,墮,0,1,,01863,032
0040,攘,0,1,,04183,064
0041,士,0,1,,01903,033
0042,夜,0,1,,01939,036
0043,太,0,1,,01948,037
0044,契,0,1,,01984,037
0045,姓,0,1,,02077,038
0046,娑,0,1,,02110,038
0047,婆,0,1,,02142,038
0048,孔,0,1,,02264,039
0049,字,0,1,,02267,039
0050,宅,0,1,,02306,040
0051,安,0,1,,02309,040
0052,宿,0,1,,02355,040
0053,寂,0,1,,02357,040
0054,密,0,1,,02361,040
0055,富,0,1,,02366,040
0056,礙,1,2,,08077,112
0057,將,0,1,,02425,041
0058,尊,0,1,,02429,041
0059,尋,0,1,,02430,041
0060,展,0,1,,02496,044
0061,岸,0,1,,02564,046
0062,帝,0,1,,02820,050
0063,廟,0,1,,02989,053
0064,延,0,1,,03005,054
0065,引,0,1,,03044,057
0066,彌,0,1,,03084,057
0067,形,0,1,,03101,059
0068,影,0,1,,03116,059
0069,待,0,1,,03132,060
0070,志,0,1,,03194,061
0071,怠,0,1,,03240,061
0072,恆,0,1,,03267,061
0073,患,0,1,,03329,061
0074,想,0,1,,03373,061
0075,愛,0,1,,03405,061
0076,慣,0,1,,03459,061
0078,憚,0,1,,03511,061
0079,憶,0,1,,03534,061
0080,懈,0,1,,03549,061
0081,戒,0,1,,03612,062
0082,投,0,1,,03708,064
0083,拙,0,1,,03755,064
0084,拜,0,1,,03761,064
0085,持,0,1,,03780,064
0086,指,0,1,,03783,064
0087,推,0,1,,03880,064
0088,摩,0,1,,04009,064
0089,擇,0,1,,04085,064
0090,收,0,1,,04224,066
0091,改,0,1,,04228,066
0093,敗,0,1,,04268,066
0094,散,0,1,,04280,066
0095,數,0,1,,04298,066
0096,既,0,1,,04442,071
0097,日,0,1,,04446,072
0098,昇,0,1,,04480,072
0099,暫,2,1,1,04603,072
0100,曜,0,1,,04636,072
0101,曲,0,1,,04651,073
0102,更,0,1,,04654,073
0103,書,0,1,,04657,073
0104,服,0,1,,04679,074
0105,朗,0,1,,04690,074
0106,矇,0,1,,07912,109
0107,末,0,1,,04712,075
0108,染,0,1,,04848,075
0109,梯,0,1,,05000,075
0110,楞,0,1,,05138,075
0111,樣,0,1,,05312,075
0112,樓,0,1,,05293,075
0113,橙,0,1,,05362,075
0114,横,0,1,,05381,075
0115,欲,0,1,,05580,076
0116,欺,0,1,,05587,076
0117,歴,0,1,,05670,077
0118,段,0,1,,05792,079
0119,毘,0,1,,05845,081
0120,毛,0,1,,05850,082
0121,民,0,1,,05935,083
0122,氣,0,1,,05947,084
0123,永,0,1,,05957,085
0124,汝,0,1,,05983,085
0125,淳,0,1,,06286,085
0126,清,0,1,,06290,085
0127,漢,0,1,,06499,085
0128,濟,0,1,,06641,085
0129,焔,0,1,,06882,086
0130,燒,0,1,,06978,086
0131,父,0,1,,07035,088
0132,猛,0,1,,07180,094
0133,獲,0,1,,07241,094
0134,玄,0,1,,07256,095
0135,甘,0,1,,07456,099
0136,田,0,1,,07478,102
0137,由,0,1,,07479,102
0138,留,0,1,,07508,102
