統合ID,文字,華嚴信種,字体数,用例数,部首
00020,且,0001,0,1,001
00085,久,0002,0,1,004
00118,乾,0003,0,1,005
00125,了,0004,0,1,006
00185,付,0005,0,1,009
00219,休,0006,0,1,009
00236,伽,0007,0,1,009
00279,使,0008,0,1,009
00324,促,0009,0,1,009
00338,俗,0010,0,1,009
00353,俵,0011,0,1,009
00405,假,0012,0,1,009
00489,像,0013,0,1,009
00520,億,0014,0,1,009
00542,優,0015,0,1,009
00591,兩,0016,0,1,011
00738,刊,0017,0,1,018
00791,削,0018,0,1,018
00792,剋,0019,0,1,018
00824,創,0020,0,1,018
00881,勇,0021,0,1,019
00894,勞,0022,0,1,019
01016,博,0023,0,1,024
01035,危,0024,0,1,026
01088,厭,0025,0,1,027
01116,反,0026,0,1,029
01142,古,0027,0,1,030
01168,各,0028,0,1,030
01187,呑,0029,0,1,030
01215,吼,0030,0,1,030
01242,味,0031,0,1,030
01305,哉,0032,0,1,030
01439,嗅,0033,0,1,030
01523,器,0034,0,1,030
01654,土,0035,0,1,032
01710,垂,0036,0,1,032
01789,堪,0037,0,1,032
01816,塔,0038,0,1,032
01863,墮,0039,0,1,032
04183,攘,0040,0,1,064
01903,士,0041,0,1,033
01939,夜,0042,0,1,036
01948,太,0043,0,1,037
01984,契,0044,0,1,037
02077,姓,0045,0,1,038
02110,娑,0046,0,1,038
02142,婆,0047,0,1,038
02264,孔,0048,0,1,039
02267,字,0049,0,1,039
02306,宅,0050,0,1,040
02309,安,0051,0,1,040
02355,宿,0052,0,1,040
02357,寂,0053,0,1,040
02361,密,0054,0,1,040
02366,富,0055,0,1,040
08077,礙,0056,1,2,112
02425,將,0057,0,1,041
02429,尊,0058,0,1,041
02430,尋,0059,0,1,041
02496,展,0060,0,1,044
02564,岸,0061,0,1,046
02820,帝,0062,0,1,050
02989,廟,0063,0,1,053
03005,延,0064,0,1,054
03044,引,0065,0,1,057
03084,彌,0066,0,1,057
03101,形,0067,0,1,059
03116,影,0068,0,1,059
03132,待,0069,0,1,060
