カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号
0001,乎,0,,,,00092,004
0002,九,0,,,,00107,005
0003,了,0,,,,00125,006
0004,休,0,,,,00219,009
0005,位,0,,,,00243,009
0006,倶,0,,,,00350,009
0007,倫,0,,,,00391,009
0008,停,0,,,,00417,009
0009,假,0,,,,00405,009
0010,傍,0,,,,00449,009
0011,像,0,,,,00489,009
0012,僞,0,,,,00498,009
0013,優,0,,,,00542,009
0014,兄,0,,,,00561,010
0015,公,0,,,,00596,012
0016,六,0,,,,00597,012
0017,冥,0,,,,00651,014
0018,列,0,,,,00754,018
0019,制,0,,,,00776,018
0020,剋,0,,,,00792,018
0021,加,0,,,,00858,019
0022,劣,0,,,,00859,019
0023,勳,0,,,,00910,019
0024,勸,0,,,,00913,019
0025,卑,0,,,,01003,024
0026,卵,0,,,,01039,026
0027,原,0,,,,01074,027
0028,各,0,,,,01168,030
0029,合,0,,,,01170,030
0030,和,0,,,,01263,030
0031,喚,0,,,,01410,030
0032,圓,0,,,,01645,031
0033,01762,0,,,,01762,032
0034,塗,0,,,,01818,032
0035,境,0,,,,01839,032
0036,墮,0,,,,01863,032
0037,娯,0,,,,02118,038
0038,字,0,,,,02267,039
0039,守,0,,,,02308,040
0040,M07242,0,,,,,040
0041,寸,0,,,,02413,041
0042,寺,0,,,,02415,041
0043,將,0,,,,02425,041
0044,對,0,,,,02435,041
0045,居,0,,,,02482,044
0046,展,0,,,,02496,044
0047,希,0,,,,02806,050
0048,干,0,,,,02897,051
0049,廢,0,,,,02992,053
0050,建,0,,,,03006,054
0051,弗,0,,,,03046,057
0052,弟,0,,,,03052,057
0053,影,0,,,,03116,059
0054,待,0,,,,03132,060
0055,忍,0,,,,03184,061
0056,快,0,,,,03208,061
0057,恆,0,,,,03267,061
0058,恐,0,,,,03272,061
0059,息,0,,,,03298,061
0060,悟,0,,,,03326,061
0061,情,0,,,,03348,061
0062,惟,0,,,,03365,061
0063,惻,0,,,,03381,061
0064,愁,0,,,,03387,061
0065,愛,0,,,,03405,061
0066,慇,0,,,,03438,061
0067,戴,0,,,,03638,062
0068,披,0,,,,03715,064
0069,按,0,,,,03785,064
0070,接,0,,,,03878,064
0071,推,0,,,,03880,064
0072,搖,0,,,,03947,064
0073,搏,0,,,,03941,064
0074,放,0,,,,04233,066
0075,散,0,,,,04280,066
0076,變,0,,,,04319,066
0077,斯,0,,,,04373,069
0078,斷,0,,,,04381,069
0079,旨,0,,,,04450,072
0080,曇,0,,,,04621,072
0081,曉,0,,,,04623,072
0082,曠,0,,,,04640,072
0083,曲,0,,,,04651,073
0084,最,0,,,,04664,073
0085,朝,0,,,,04696,074
0086,期,0,,,,04699,074
0087,根,0,,,,04922,075
0088,梵,0,,,,05010,075
0089,機,0,,,,05368,075
0090,歎,0,,,,05612,076
