カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,,
0001,丈,0,,,,00006,001,,
0002,乖,0,,,,00100,004,,
0003,00260,0,,,,00260,009,,
0004,企,0,,,,00209,009,,
0005,傾,0,,,,00475,009,,
0006,偏,0,,,,00411,009,,
0007,儲,0,,,,00546,009,,
0008,僂,0,,,,00477,009,,
0009,倉,0,,,,00365,009,,
0010,但,0,,,,00240,009,,
0011,倒,0,,,,00373,009,,
0012,冀,0,,,,00616,012,,
0013,別,0,,,,00763,018,,
0014,刑,0,,,,00746,018,,
0015,割,0,,,,00820,018,,
0016,刀,0,,,,00729,018,,
0017,初,0,,,,00759,018,,
0018,勒,0,,,,00885,019,,
0019,勢,0,,,,00898,019,,
0020,劣,0,,,,00859,019,,
0021,勇,0,,,,00881,019,,
0022,勃,0,,,,00877,019,,
0023,勤,0,,,,00900,019,,
0024,化,0,,,,00938,021,,
0025,南,0,,,,01010,024,,
0026,卜,0,,,,01019,025,,
0027,危,0,,,,01035,026,,
0028,取,0,,,,01127,029,,
0029,叛,0,,,,01133,029,,
0030,反,0,,,,01116,029,,
0031,01353,0,,,,01353,030,,
0032,嚢,0,,,,01595,030,,
0033,01556,0,,,,01556,030,,
0034,喇,0,,,,01397,030,,
0035,嚼,0,,,,01584,030,,
0036,吉,0,,,,01172,030,,
0037,召,0,,,,01150,030,,
0038,味,0,,,,01242,030,,
0039,向,0,,,,01179,030,,
0040,唖,0,,,,01382,030,,
0041,喝,0,,,,01414,030,,
0042,喉,0,,,,01399,030,,
0043,啼,0,,,,01387,030,,
0044,后,0,,,,01176,030,,
0045,合,0,,,,01170,030,,
0046,01503,0,,,,01503,030,,
0047,嗜,0,,,,01450,030,,
0048,圍,0,,,,01641,031,,
0049,圓,0,,,,01645,031,,
0050,坑,0,,,,01683,032,,
0051,塚,0,,,,01821,032,,
0052,垢,0,,,,01726,032,,
0053,坐,0,,,,01682,032,,
0054,太,0,,,,01948,037,,
0055,夷,0,,,,01961,037,,
0056,夫,0,,,,01949,037,,
0057,奏,0,,,,01981,037,,
0058,妻,0,,,,02061,038,,
0059,嫉,0,,,,02201,038,,
0060,娑,0,,,,02110,038,,
0061,妬,0,,,,02056,038,,
0062,姪,0,,,,02094,038,,
0063,妖,0,,,,02043,038,,
0064,妃,0,,,,02032,038,,
0065,02188,0,,,,02188,038,,
0066,嬉,0,,,,02232,038,,
0067,妄,0,,,,02033,038,,
0068,M32160,0,,,,,140,,
0069,孝,0,,,,02273,039,,
0070,完,0,,,,02313,040,,
0071,寒,0,,,,02371,040,,
0072,字,0,,,,02267,039,,
0073,層,0,,,,02506,044,,
0074,嶮,0,,,,02728,046,,
0075,崖,0,,,,02619,046,,
0076,差,0,,,,02780,048,,
0077,幢,0,,,,02882,050,,
0078,平,0,,,,02899,051,,
0079,庫,0,,,,02949,053,,
0080,廢,0,,,,02992,053,,
0081,庶,0,,,,02961,053,,
0082,建,0,,,,03006,054,,
0083,彌,0,,,,03084,057,,
0084,微,0,,,,03165,060,,
0085,役,0,,,,03123,060,,
0086,恨,0,,,,03291,061,,
0087,悟,0,,,,03326,061,,
0088,忘,0,,,,03196,061,,
0089,懷,0,,,,03585,061,,
0090,怒,0,,,,03229,061,,
0091,忽,0,,,,03219,061,,
0092,怨,0,,,,03245,061,,
0093,悦,0,,,,03309,061,,
0094,愁,0,,,,03387,061,,
0095,惠,0,,,,03366,061,,
0096,悋,0,,,,03315,061,,
0097,愈,0,,,,03391,061,,
0098,恐,0,,,,03272,061,,
0099,恩,0,,,,03292,061,,
0100,必,0,,,,03180,061,,
0101,戲,0,,,,03636,062,,
0102,折,0,,,,03711,064,,
0103,招,0,,,,03758,064,,
0104,拔,0,,,,03750,064,,
0105,M12579,0,,,,,,,
0106,拜,0,,,,03761,064,,
0107,推,0,,,,03880,064,,
0108,掌,0,,,,03858,064,,
0109,攣,0,,,,04204,064,,
0110,掃,0,,,,03851,064,,
0111,揚,0,,,,03904,064,,
0112,擾,0,,,,04142,064,,
0113,M12504,0,,,,,,,
0114,損,0,,,,03939,064,,
0115,變,0,,,,04319,066,,
0116,數,0,,,,04298,066,,
0117,文,0,,,,04321,067,,
0118,斯,0,,,,04373,069,,
0119,新,0,,,,04376,069,,
0120,族,0,,,,04412,070,,
0121,晨,0,,,,04554,072,,
0122,星,0,,,,04499,072,,
0123,暗,0,,,,04591,072,,
0124,暴,0,,,,04608,072,,
0125,會,0,,,,04667,073,,
0126,曷,0,,,,04656,073,,
0127,曲,0,,,,04651,073,,
0128,典,0,,,,00608,012,,
0129,朋,0,,,,04676,074,,
0130,期,0,,,,04699,074,,
0131,檀,0,,,,05391,075,,
0132,棄,0,,,,05014,075,,
0134,樹,0,,,,05323,075,,
0135,村,0,,,,04739,075,,
0136,木,0,,,,04707,075,,
0137,穀,0,,,,08261,115,,
0138,杜,0,,,,04747,075,,
0139,歎,0,,,,05612,076,,
0140,歌,0,,,,05609,076,,
0141,歳,0,,,,05666,077,,
0142,05826,0,,,,05826,079,,
0143,慇,0,,,,03438,061,,
0144,永,0,,,,05957,085,,
0145,洲,0,,,,06138,085,,
0146,溢,0,,,,06408,085,,
0147,河,0,,,,06045,085,,
0148,浴,0,,,,06179,085,,
0149,濁,0,,,,06617,085,,
0150,潔,0,,,,06532,085,,
0151,灑,0,,,,06750,085,,
0152,泣,0,,,,06087,085,,
0153,溺,0,,,,06422,085,,
0154,煩,0,,,,06921,086,,
0155,煎,0,,,,06894,086,,
0156,熊,0,,,,06939,086,,
0157,熟,0,,,,06949,086,,
0158,燥,0,,,,06986,086,,
0159,焚,0,,,,06867,086,,
0160,牢,0,,,,07076,093,,
0161,牛,0,,,,07072,093,,
0162,獅,0,,,,07213,094,,
0163,獵,0,,,,07244,094,,
0164,狼,0,,,,07165,094,,
0165,狂,0,,,,07125,094,,
0166,猛,0,,,,07180,094,,
0168,獸,0,,,,07248,094,,
0169,率,0,,,,07259,095,,
0170,珞,0,,,,07290,096,,
0171,瓔,0,,,,07397,096,,
0172,珊,0,,,,07284,096,,
0173,産,0,,,,07464,100,,
0174,異,0,,,,07530,102,,
0175,畢,0,,,,07520,102,,
0176,略,0,,,,07522,102,,
0177,畋,0,,,,07499,102,,
0178,07643,0,,,,07643,104,,
0179,癩,0,,,,07690,104,,
0180,痛,0,,,,07613,104,,
0181,瘧,0,,,,07655,104,,
0182,疫,0,,,,07578,104,,
0183,登,0,,,,07706,105,,
0184,盈,0,,,,07758,108,,
0185,盛,0,,,,07770,108,,
0186,盜,0,,,,07771,108,,
0187,盲,0,,,,07796,109,,
0188,眞,0,,,,07827,109,,
0189,睡,0,,,,07860,109,,
0190,目,0,,,,07790,109,,
0191,看,0,,,,07817,109,,
0192,短,0,,,,07948,111,,
0193,祥,0,,,,08130,113,,
0194,禁,0,,,,08143,113,,
0195,祭,0,,,,08135,113,,
0196,祀,0,,,,08103,113,,
0197,祐,0,,,,08112,113,,
0198,08167,0,,,,08167,113,,
0199,積,0,,,,08269,115,,
0200,稠,0,,,,08239,115,,
0201,穩,0,,,,08283,115,,
0202,稼,0,,,,08257,115,,
0203,窶,0,,,,08336,116,,
0204,窓,0,,,,08316,116,,
0205,竭,0,,,,08375,117,,
0206,竟,0,,,,08365,117,,
0207,算,0,,,,08469,118,,
0208,籍,0,,,,08603,118,,
0209,M26897,0,,,,,119,,
0210,絶,0,,,,08809,120,,
0211,索,0,,,,08767,120,,
0212,統,0,,,,08833,120,,
0213,繩,0,,,,09028,120,,
0214,纏,0,,,,09064,120,,
0215,素,0,,,,08765,120,,
0216,緊,0,,,,08906,120,,
0217,縷,0,,,,08987,120,,
0218,缺,0,,,,09085,121,,
0219,羆,0,,,,09145,122,,
0220,罰,0,,,,09130,122,,
0221,羸,0,,,,09192,123,,
