統合ID,文字,藥師功徳,字体数,用例数,部首
00006,丈,0001,0,1,001
00100,乖,0002,0,1,004
00260,伱,0003,0,1,009
00209,企,0004,0,1,009
00475,傾,0005,0,1,009
00411,偏,0006,0,1,009
00546,儲,0007,0,1,009
00477,僂,0008,0,1,009
00365,倉,0009,0,1,009
00240,但,0010,0,1,009
00373,倒,0011,0,1,009
00616,冀,0012,0,1,012
00763,別,0013,0,1,018
00746,刑,0014,0,1,018
00820,割,0015,0,1,018
00729,刀,0016,0,1,018
00759,初,0017,0,1,018
00885,勒,0018,0,1,019
00898,勢,0019,0,1,019
00859,劣,0020,0,1,019
00881,勇,0021,0,1,019
00877,勃,0022,0,1,019
00900,勤,0023,0,1,019
00938,化,0024,0,1,021
01010,南,0025,0,1,024
01019,卜,0026,0,1,025
01035,危,0027,0,1,026
01127,取,0028,0,1,029
01133,叛,0029,0,1,029
01116,反,0030,0,1,029
01353,唵,0031,0,1,030
01595,囊,0032,0,1,030
01556,嚕,0033,0,1,030
01397,喇,0034,0,1,030
01584,嚼,0035,0,1,030
01172,吉,0036,0,1,030
01150,召,0037,0,1,030
01242,味,0038,0,1,030
01179,向,0039,0,1,030
01382,啞,0040,0,1,030
01414,喝,0041,0,1,030
01399,喉,0042,0,1,030
01387,啼,0043,0,1,030
01176,后,0044,0,1,030
01170,合,0045,0,1,030
01503,噉,0046,0,1,030
01450,嗜,0047,0,1,030
01641,圍,0048,0,1,031
01645,圓,0049,0,1,031
01683,坑,0050,0,1,032
01821,塚,0051,0,1,032
01726,垢,0052,0,1,032
01682,坐,0053,0,1,032
01948,太,0054,0,1,037
01961,夷,0055,0,1,037
01949,夫,0056,0,1,037
01981,奏,0057,0,1,037
02061,妻,0058,0,1,038
02201,嫉,0059,0,1,038
02110,娑,0060,0,1,038
02040,妒,0061,0,1,038
02094,姪,0062,0,1,038
02043,妖,0063,0,1,038
02032,妃,0064,0,1,038
02188,媱,0065,0,1,038
02232,嬉,0066,0,1,038
02033,妄,0067,0,1,038
M32160,,0068,0,1,140
02273,孝,0069,0,1,039
02313,完,0070,0,1,040
02371,寒,0071,0,1,040
02267,字,0072,0,1,039
02506,層,0073,0,1,044
02728,嶮,0074,0,1,046
02619,崖,0075,0,1,046
02780,差,0076,0,1,048
02882,幢,0077,0,1,050
02899,平,0078,0,1,051
02949,庫,0079,0,1,053
02992,廢,0080,0,1,053
02961,庶,0081,0,1,053
03006,建,0082,0,1,054
03084,彌,0083,0,1,057
03165,微,0084,0,1,060
03123,役,0085,0,1,060
03291,恨,0086,0,1,061
03326,悟,0087,0,1,061
03196,忘,0088,0,1,061
03585,懷,0089,0,1,061
03229,怒,0090,0,1,061
03219,忽,0091,0,1,061
03245,怨,0092,0,1,061
03309,悦,0093,0,1,061
03387,愁,0094,0,1,061
03366,惠,0095,0,1,061
03315,悋,0096,0,1,061
03391,愈,0097,0,1,061
03272,恐,0098,0,1,061
03292,恩,0099,0,1,061
03180,必,0100,0,1,061
03636,戲,0101,0,1,062
03711,折,0102,0,1,064
03758,招,0103,0,1,064
03750,拔,0104,0,1,064
M12579,摖,0105,0,1,064
03761,拜,0106,0,1,064
03880,推,0107,0,1,064
03858,掌,0108,0,1,064
04204,攣,0109,0,1,064
03851,掃,0110,0,1,064
03904,揚,0111,0,1,064
04142,擾,0112,0,1,064
M12504,搩,0113,0,1,064
03939,損,0114,0,1,064
04319,變,0115,0,1,066
04298,數,0116,0,1,066
04321,文,0117,0,1,067
04373,斯,0118,0,1,069
04376,新,0119,0,1,069
04442,旣,0120,0,1,071
04554,晨,0121,0,1,072
04499,星,0122,0,1,072
04591,暗,0123,0,1,072
04608,暴,0124,0,1,072
04667,會,0125,0,1,073
04656,曷,0126,0,1,073
04651,曲,0127,0,1,073
00608,典,0128,0,1,012
04676,朋,0129,0,1,074
04699,期,0130,0,1,074
05391,檀,0131,0,1,075
05014,棄,0132,0,1,075
05323,樹,0134,0,1,075
04739,村,0135,0,1,075
04707,木,0136,0,1,075
08261,穀,0137,0,1,115
04747,杜,0138,0,1,075
05612,歎,0139,0,1,076
05609,歌,0140,0,1,076
05666,歳,0141,0,1,077
05826,㲉,0142,0,1,079
03438,慇,0143,0,1,061
05957,永,0144,0,1,085
06138,洲,0145,0,1,085
06408,溢,0146,0,1,085
06045,河,0147,0,1,085
06179,浴,0148,0,1,085
06617,濁,0149,0,1,085
06532,潔,0150,0,1,085
06750,灑,0151,0,1,085
06087,泣,0152,0,1,085
06422,溺,0153,0,1,085
06921,煩,0154,0,1,086
06894,煎,0155,0,1,086
06939,熊,0156,0,1,086
06949,熟,0157,0,1,086
06986,燥,0158,0,1,086
06867,焚,0159,0,1,086
07076,牢,0160,0,1,093
07072,牛,0161,0,1,093
07213,獅,0162,0,1,094
07244,獵,0163,0,1,094
07165,狼,0164,0,1,094
07125,狂,0165,0,1,094
07180,猛,0166,0,1,094
07248,獸,0168,0,1,094
07259,率,0169,0,1,095
07290,珞,0170,0,1,096
07397,瓔,0171,0,1,096
07284,珊,0172,0,1,096
07464,産,0173,0,1,100
07530,異,0174,0,1,102
07520,畢,0175,0,1,102
07522,略,0176,0,1,102
07499,畋,0177,0,1,102
07643,瘖,0178,0,1,104
07690,癩,0179,0,1,104
07613,痛,0180,0,1,104
07655,瘧,0181,0,1,104
07578,疫,0182,0,1,104
07706,登,0183,0,1,105
07758,盈,0184,0,1,108
07770,盛,0185,0,1,108
07771,盜,0186,0,1,108
07796,盲,0187,0,1,109
07827,眞,0188,0,1,109
07860,睡,0189,0,1,109
07790,目,0190,0,1,109
07817,看,0191,0,1,109
07948,短,0192,0,1,111
08130,祥,0193,0,1,113
08143,禁,0194,0,1,113
08135,祭,0195,0,1,113
08103,祀,0196,0,1,113
08112,祐,0197,0,1,113
08167,禱,0198,0,1,113
08269,積,0199,0,1,115
08239,稠,0200,0,1,115
08283,穩,0201,0,1,115
08257,稼,0202,0,1,115
08336,窶,0203,0,1,116
08316,窓,0204,0,1,116
08375,竭,0205,0,1,117
08365,竟,0206,0,1,117
08469,算,0207,0,1,118
08603,籍,0208,0,1,118
M26897,粖,0209,0,1,119
08809,絶,0210,0,1,120
08767,索,0211,0,1,120
08833,統,0212,0,1,120
09028,繩,0213,0,1,120
09064,纏,0214,0,1,120
08765,素,0215,0,1,120
08906,緊,0216,0,1,120
08987,縷,0217,0,1,120
09085,缺,0218,0,1,121
09145,羆,0219,0,1,122
09130,罰,0220,0,1,122
09192,羸,0221,0,1,123
09182,羯,0222,0,1,123
09214,習,0223,0,1,124
09232,翫,0224,0,1,124
09250,老,0225,0,1,125
09336,聾,0226,0,1,128
09296,耽,0227,0,1,128
09541,膝,0228,0,1,130
09407,胝,0229,0,1,130
09394,背,0230,0,1,130
09459,脣,0231,0,1,130
09370,肩,0232,0,1,130
09599,臥,0233,0,1,131
09632,擧,0234,0,1,134
10155,薜,0235,0,1,140
10192,藐,0236,0,1,140
10040,蓋,0237,0,1,140
09961,落,0238,0,1,140
10191,藏,0239,0,1,140
09870,莎,0240,0,1,140
09860,荷,0241,0,1,140
09833,茶,0242,0,1,140
10088,蔽,0243,0,1,140
10316,蚣,0244,0,1,142
10549,蟲,0245,0,1,142
10404,蜒,0246,0,1,142
10349,蛇,0247,0,1,142
10328,蚰,0248,0,1,142
10453,蝎,0249,0,1,142
10395,蜈,0250,0,1,142
10618,術,0251,0,1,144
10630,衞,0252,0,1,144
10714,補,0253,0,1,145
10669,袒,0254,0,1,145
10826,覆,0255,0,1,146
10834,覓,0256,0,1,147
10896,計,0257,0,1,149
10974,詣,0258,0,1,149
11132,謨,0259,0,1,149
10919,訟,0260,0,1,149
11038,調,0261,0,1,149
11035,誹,0262,0,1,149
10914,記,0263,0,1,149
10999,誅,0264,0,1,149
11092,謀,0265,0,1,149
11261,豐,0266,0,1,151
11253,豈,0267,0,1,151
11275,象,0268,0,1,152
11377,賊,0269,0,1,154
11402,賤,0270,0,1,154
11447,赦,0271,0,1,155
11677,躄,0272,0,1,157
13934,體,0273,0,1,188
11716,躬,0274,0,1,158
11801,輔,0275,0,1,159
11740,車,0276,0,1,159
11750,軒,0277,0,1,159
11907,辦,0278,0,1,160
11982,退,0279,0,1,162
12027,逸,0280,0,1,162
12082,遭,0281,0,1,162
11951,返,0282,0,1,162
12123,邑,0283,0,1,163
12327,醜,0284,0,1,164
12266,酒,0285,0,1,164
12499,錄,0286,0,1,167
12380,金,0287,0,1,167
12440,鉢,0288,0,1,167
12739,閣,0289,0,1,169
12774,闍,0290,0,1,169
12722,閑,0291,0,1,169
11965,迫,0292,0,1,162
12022,進,0293,0,1,162
12914,障,0294,0,1,170
12929,險,0295,0,1,170
12836,陋,0296,0,1,170
12963,集,0297,1,2,172
13036,震,0298,0,1,173
13327,領,0299,0,1,181
13302,順,0300,0,1,181
13314,頑,0301,0,1,181
13346,頭,0302,0,1,181
13398,類,0303,0,1,181
13395,顚,0304,0,1,181
13332,頞,0305,0,1,181
13541,飽,0306,0,1,184
10457,蝕,0307,0,1,142
13559,餓,0308,0,1,184
13661,首,0309,0,1,185
13680,馬,0310,0,1,187
13732,駝,0311,0,1,187
13839,驅,0312,0,1,187
13864,驢,0313,0,1,187
13970,髻,0314,0,1,190
14082,魍,0315,0,1,194
14083,魎,0316,0,1,194
14361,鳥,0317,0,1,196
14693,黃,0318,0,1,201
14700,黎,0319,0,1,202
14726,黠,0320,0,1,203
14730,黨,0321,0,1,203
14833,齒,0322,0,1,211
14876,龍,0323,0,1,212
00009,下,0324,1,2,001
00007,三,0325,1,12,001
00004,七,0326,1,12,001
00013,不,0327,1,52,001
00001,一,0329,1,49,001
00008,上,0330,1,13,001
00025,世,0331,1,47,001
00051,中,0332,1,23,002
00070,主,0333,1,2,003
00102,乘,0334,1,3,004
00088,之,0335,1,28,004
00093,乏,0336,1,2,004
00078,乃,0337,1,8,004
00118,乾,0338,1,2,005
00107,九,0339,1,11,005
00109,也,0340,1,3,005
00108,乞,0341,1,3,005
00128,事,0342,1,3,006
00125,了,0343,1,3,006
00135,五,0344,1,12,007
00134,互,0345,1,2,007
00129,二,0346,1,10,007
00133,云,0347,1,6,007
00154,亦,0348,1,13,008
00449,傍,0349,1,2,009
00301,依,0350,1,3,009
00317,侵,0351,1,3,009
00183,他,0352,1,7,009
00282,來,0353,1,60,009
00218,伐,0355,1,2,009
00243,位,0356,1,2,009
00245,住,0357,1,2,009
00230,伴,0358,1,2,009
00236,伽,0359,1,3,009
00350,倶,0360,1,3,009
00194,以,0361,1,25,009
00175,今,0362,1,5,009
00193,令,0363,1,18,009
00345,信,0364,1,18,009
00256,作,0365,1,12,009
00250,何,0366,1,10,009
00321,便,0367,1,10,009
00168,人,0368,1,39,009
00279,使,0369,1,4,009
00255,佛,0370,1,30,009
00299,供,0371,1,17,009
00252,佗,0372,1,2,009
00567,光,0373,1,38,010
00566,先,0374,1,2,010
00582,入,0375,1,3,011
00597,六,0376,1,3,012
00605,其,0377,1,31,012
00594,八,0378,1,8,012
00606,具,0379,1,14,012
06058,況,0380,1,2,085
00723,出,0382,1,4,017
00789,則,0383,1,2,018
00767,利,0384,1,29,018
00735,切,0385,1,26,018
00794,前,0386,1,5,018
00734,分,0387,1,4,018
00781,刹,0388,1,5,018
00856,力,0389,1,11,019
00857,功,0390,1,8,019
00865,劫,0391,1,5,019
00858,加,0392,1,2,019
00893,勝,0393,1,2,019
00887,動,0394,1,3,019
00913,勸,0395,1,2,019
00919,勿,0396,1,2,020
00987,千,0397,1,4,024
00985,十,0398,1,18,024
01049,卽,0399,1,6,026
01058,厄,0400,1,5,027
01111,及,0401,1,17,029
01112,友,0402,1,2,029
01128,受,0403,1,30,029
01109,叉,0404,1,8,029
01108,又,0405,1,2,029
01594,囉,0406,1,2,030
01254,呾,0407,1,2,030
01158,右,0408,1,3,030
01154,可,0409,1,9,030
01168,各,0410,1,4,030
01175,名,0411,1,41,030
01581,嚴,0412,1,5,030
01252,命,0413,1,16,030
01395,善,0414,1,30,030
01412,喜,0415,1,6,030
01219,告,0416,1,6,030
01349,唯,0417,1,3,030
01236,呪,0418,1,8,030
01174,同,0419,1,2,030
01369,問,0420,1,5,030
01185,君,0421,1,2,030
01305,哉,0422,1,2,030
01251,呼,0423,1,2,030
01623,困,0424,1,2,031
01611,因,0425,1,3,031
01607,四,0426,1,12,031
01639,國,0427,1,7,031
01666,地,0428,1,7,032
01818,塗,0429,1,3,032
01740,城,0430,1,2,032
01895,壞,0431,1,3,032
01853,增,0432,1,6,032
01659,在,0433,1,7,032
01654,土,0434,1,2,032
01903,士,0435,1,3,033
01913,壽,0436,1,6,033
01943,夢,0437,1,4,036
01938,多,0438,1,8,036
01939,夜,0439,1,4,036
01934,外,0440,1,2,036
01947,天,0441,1,7,037
01984,契,0442,1,2,037
02013,奪,0443,1,4,037
01946,大,0444,1,47,037
01974,奉,0445,1,2,037
02022,女,0446,1,20,038
02024,奴,0447,1,2,038
02203,嫌,0448,1,2,038
02105,威,0449,1,6,038
02151,婢,0450,1,2,038
02142,婆,0451,1,3,038
02045,妙,0452a,2,4,038
02045b,妙,0452b,2,1,038
02029,好,0453,1,3,038
02031,如,0454,1,64,038
02293,學,0456,1,3,039
02262,子,0457,1,17,039
02346,害,0458,1,4,040
02325,定,0459,1,3,040
02309,安,0460,1,17,040
02332,室,0461,1,17,040
02407,寶,0462,1,10,040
02308,守,0463,1,2,040
02342,宮,0464,1,3,040
02355,宿,0465,1,2,040
02349,家,0466a,2,4,040
02349b,家,0466b,2,1,040
02366,富,0467,1,2,040
02323,官,0468,1,3,040
