統合ID,文字,正毘170,字体数,用例数,部首
00025,世,0001,0,1,001
00236,伽,0002,0,1,009
00240,但,0003,0,1,009
00582,入,0004,0,1,011
00606,具,0005,0,1,012
01154,可,0006,0,1,030
01168,各,0007,0,1,030
01421,喩,0008,0,1,030
01659,在,0009,0,1,032
01946,大,0010,0,1,037
02325,定,0011,0,1,040
02783,已,0012,0,1,049
02993,廣,0013,0,1,053
03244,性,0014,0,1,061
03617,或,0015,0,1,062
04713,本,0016,0,1,075
05010,梵,0017,0,1,075
05558,次,0018,0,1,076
05643,正,0019,0,1,077
05692,歿,0020,0,1,078
06517,漸,0021,0,1,085
07086,特,0022,0,1,093
07230,獨,0023,0,1,094
07304,現,0024,0,1,096
09292,耶,0025,0,1,128
09315,聞,0026,0,1,128
09328,聲,0027,0,1,128
10614,行,0028,0,1,144
10714,補,0029,0,1,145
10856,覺,0030,0,1,147
10860,角,0031,0,1,148
11028,誰,0032,0,1,149
11155,證,0033,0,1,149
11715,身,0034,0,1,158
12176,部,0035,0,1,163
12855,除,0036,0,1,170
14655,麟,0037,0,1,198
00001,一,0038,1,43,001
00004,七,0039,1,37,001
00007,三,0040,1,131,001
00008,上,0043,1,20,001
00009,下,0044,1,4,001
00013,不,0045,1,63,001
00051,中,0047,1,5,002
00107,九,0048,1,17,005
00129,二,0049,1,132,007
00135,五,0052,1,34,007
00183,他,0053,1,2,009
00193,令,0054,1,2,009
00194,以,0055,1,169,009
00243,位,0059,1,2,009
00245,住,0060,1,4,009
00250,何,0061,1,20,009
00255,佛,0062,1,2,009
00256,作,0063,1,60,009
00282,來,0065a,2,1,009
00282b,來,0065b,2,1,009
00301,依,0066,1,139,009
00594,八,0069,1,41,012
00597,六,0070,1,21,012
00734,分,0071,1,16,018
00735,切,0072,1,2,018
00794,前,0073,1,20,018
00985,十,0074,1,100,024
01049,卽,0076,1,46,026
01111,及,0077,1,22,029
01128,受,0078,1,2,029
01179,向,0079,1,7,030
01242,味,0080,1,85,030
01349,唯,0082,1,2,030
01369,問,0083,1,17,030
01412,喜,0084,1,8,030
01607,四,0085,1,192,031
01611,因,0089,1,40,031
01853,增,0090,1,2,032
01938,多,0091,1,4,036
02031,如,0092,1,7,038
02293,學,0093,1,6,039
02355,宿,0094,1,4,040
02440,少,0095,1,19,042
02464,就,0096,1,13,043
02915,幾,0097,1,2,052
03124,彼,0098,1,60,060
03138,後,0100,1,17,060
03145,得,0101,1,32,060
03157,徧,0102,1,36,060
03179,心,0103,1,2,061
03214,念,0104,1,4,061
03373,想,0105,1,49,061
03462,慧,0106,1,2,061
03550,應,0107,1,92,061
03610,成,0109,1,13,062
03835,捨,0110,1,27,064
04243,故,0111,1,3,066
04523,時,0112,1,7,072
04569,智,0113,1,41,072
04674,有,0114,1,237,074
04711,未,0119,1,2,075
04806,果,0120,1,6,075
04848,染,0121,1,2,075
05161,極,0122,1,8,075
05580,欲,0123,1,4,076
05644,此,0124,1,99,077
06074,法,0126,1,9,085
06272,淨,0127,1,178,085
06487,漏,0131,1,157,085
06499,漢,0135,1,5,085
06872,無,0136,1,500,086
07032,爲,0146,1,168,087
07043,爾,0150,1,6,089
07461,生,0151,1,6,100
07501,界,0152,1,2,102
07717,皆,0153,1,8,106
07779,盡,0154,1,22,108
07801,相,0155,1,83,109
08296,空,0157,1,27,116
08412,第,0158,1,83,118
08437,答,0160,1,17,118
08924,緣,0161,1,132,120
09144,羅,0164,1,6,122
09255,者,0165,1,46,125
09264,而,0166,1,71,126
09462,脩,0168,1,3,130
09602,自,0169,1,21,132
09610,至,0170,1,145,133
09788,若,0173,1,22,140
10270,處,0174,1,157,141
10928,設,0178,1,10,149
10967,詞,0179,1,9,149
11025,説,0180,1,2,149
11051,諍,0181,1,27,149
11085,諸,0182,1,2,149
11095,謂,0183,1,126,149
11171,識,0186,1,16,149
11461,起,0187,1,2,156
11982,退,0188,1,2,162
12000,通,0189,1,67,162
12108,還,0191,1,2,162
12139,邪,0192,1,23,163
12376,量,0193,1,36,166
12830,阿,0194,1,5,170
13001,離,0195,1,3,172
13104,非,0196,1,148,175
13302,順,0199,1,2,181
13313,預,0200,1,3,181
13316,頓,0201,1,2,181
13325,頗,0202,1,4,181
13391,願,0203,1,37,181
13565,餘,0204,1,4,184
00154,亦,0205a,2,60,008
00154b,亦,0205b,2,2,008
00893,勝,0207a,2,38,019
00893b,勝,0207b,2,3,019
01143,句,0208a,2,33,030
01143b,句,0208b,2,1,030
01666,地,0209a,2,22,032
01666b,地,0209b,2,1,032
03647,所,0210a,2,246,063
03647b,所,0210b,2,11,063
04389,於,0216a,2,4,070
04389b,於,0216b,2,1,070
06151,流,0217a,2,2,085
06151b,流,0217b,2,1,085
06313,減,0218a,2,1,085
06313b,減,0218b,2,1,085
06432,滅,0219a,2,3,085
06432b,滅,0219b,2,2,085
08077,礙,0220a,2,63,112
08077b,礙,0220b,2,1,112
08426,等,0222a,2,201,118
08426b,等,0222b,2,38,118
09177,義,0227a,2,6,123
09177b,義,0227b,2,2,123
09463,脱,0228a,2,77,130
09463b,脱,0228b,2,2,130
09716,色,0230a,2,71,139
09716b,色,0230b,2,9,139
12115,邊,0232a,2,40,162
12115b,邊,0232b,2,3,162
12724,間,0233a,2,87,169
12724b,間,0233b,2,5,169
12927,隨,0235a,2,25,170
12927b,隨,0235b,2,2,170
13103,靜,0236a,2,159,174
13103b,靜,0236b,2,13,174
00759,初,0240a,3,41,018
00759b,初,0240b,3,22,018
00759c,初,0240c,3,1,018
10875,解,0242a,3,140,148
10875b,解,0242b,3,1,148
10875c,解,0242c,3,1,148
03466,慮,0245a,4,141,061
03466b,慮,0245b,4,25,061
03466c,慮,0245c,4,4,061
03466d,慮,0245d,4,2,061
