カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0001,丈,0 ,,,,,00006,001,1 
0002,丘,0 ,,,,,00026,001,1 
0003,乘,0 ,,,,,00102,004,1 
0004,交,0 ,,,,,00152,008,1 
0005,仙,0 ,,,,,00186,009,1 
0006,仰,0 ,,,,,00199,009,1 
0007,任,0 ,,,,,00206,009,1 
0008,侵,0 ,,,,,00317,009,1 
0009,倦,0 ,,,,,00387,009,1 
0010,健,0 ,,,,,00421,009,1 
0011,儉,0 ,,,,,00524,009,1 
0012,再,0 ,,,,,00629,013,1 
0013,刹,0 ,,,,,00781,018,1 
0014,刺,0 ,,,,,00782,018,1 
0015,剃,0 ,,,,,00787,018,1 
0016,00848,0 ,,,,,00848,018,1 
0017,助,0 ,,,,,00863,019,1 
0018,勉,0 ,,,,,00882,019,1 
0019,勤,0 ,,,,,00900,019,1 
0020,勸,0 ,,,,,00913,019,1 
0021,北,0 ,,,,,00941,021,1 
0022,博,0 ,,,,,01016,024,1 
0023,又,0 ,,,,,01108,029,1 
0024,反,0 ,,,,,01116,029,1 
0025,叱,0 ,,,,,01156,030,1 
0026,右,0 ,,,,,01158,030,1 
0027,各,0 ,,,,,01168,030,1 
0028,向,0 ,,,,,01179,030,1 
0029,吾,0 ,,,,,01217,030,1 
0030,味,0 ,,,,,01242,030,1 
0031,呵,0 ,,,,,01245,030,1 
0032,和,0 ,,,,,01263,030,1 
0033,品,0 ,,,,,01296,030,1 
0034,商,0 ,,,,,01363,030,1 
0035,喜,0 ,,,,,01412,030,1 
0036,喩,0 ,,,,,01421,030,1 
0037,喬,0 ,,,,,01425,030,1 
0038,嚴,0 ,,,,,01581,030,1 
0039,圍,0 ,,,,,01641,031,1 
0040,坐,0 ,,,,,01682,032,1 
0041,坑,0 ,,,,,01683,032,1 
0042,堵,0 ,,,,,01799,032,1 
0043,外,0 ,,,,,01934,036,1 
0044,夫,0 ,,,,,01949,037,1 
0045,婬,0 ,,,,,02159,038,1 
0046,嫁,0 ,,,,,02196,038,1 
0047,02231,0 ,,,,,02231,038,1 
0048,字,0 ,,,,,02267,039,1 
0049,存,0 ,,,,,02268,039,1 
0050,守,0 ,,,,,02308,040,1 
0051,完,0 ,,,,,02313,040,1 
0052,宮,0 ,,,,,02342,040,1 
0053,宿,0 ,,,,,02355,040,1 
0054,寒,0 ,,,,,02371,040,1 
0055,少,0 ,,,,,02440,042,1 
0056,屈,0 ,,,,,02485,044,1 
0057,屬,0 ,,,,,02515,044,1 
0058,巡,0 ,,,,,02767,047,1 
0059,左,0 ,,,,,02774,048,1 
0060,巧,0 ,,,,,02775,048,1 
0061,己,0 ,,,,,02782,049,1 
0062,希,0 ,,,,,02806,050,1 
0063,帝,0 ,,,,,02820,050,1 
0064,常,0 ,,,,,02847,050,1 
0065,平,0 ,,,,,02899,051,1 
0066,年,0 ,,,,,02900,051,1 
0067,幻,0 ,,,,,02907,052,1 
0068,延,0 ,,,,,03005,054,1 
0069,強,0 ,,,,,03066,057,1 
0070,御,0 ,,,,,03153,060,1 
0071,微,0 ,,,,,03165,060,1 
0072,快,0 ,,,,,03208,061,1 
0073,忿,0 ,,,,,03220,061,1 
0074,怠,0 ,,,,,03240,061,1 
0075,怨,0 ,,,,,03245,061,1 
0076,恣,0 ,,,,,03286,061,1 
0077,恨,0 ,,,,,03291,061,1 
0078,悋,0 ,,,,,03315,061,1 
0079,悲,0 ,,,,,03335,061,1 
0080,慕,0 ,,,,,03450,061,1 
0081,慳,0 ,,,,,03471,061,1 
0082,懼,0 ,,,,,03589,061,1 
0083,戀,0 ,,,,,03595,061,1 
0084,戈,0 ,,,,,03602,062,1 
0085,戻,0 ,,,,,03645,063,1 
0086,手,0 ,,,,,03659,064,1 
0087,承,0 ,,,,,03690,064,1 
0088,投,0 ,,,,,03708,064,1 
0089,招,0 ,,,,,03758,064,1 
0090,接,0 ,,,,,03878,064,1 
0091,損,0 ,,,,,03939,064,1 
0092,摧,0 ,,,,,04008,064,1 
0093,政,0 ,,,,,04235,066,1 
0094,敗,0 ,,,,,04268,066,1 
0095,敢,0 ,,,,,04277,066,1 
0096,變,0 ,,,,,04319,066,1 
0097,文,0 ,,,,,04321,067,1 
0098,斫,0 ,,,,,04368,069,1 
0099,斬,0 ,,,,,04369,069,1 
0100,既,0 ,,,,,04442,071,1 
0101,明,0 ,,,,,04485,072,1 
0102,昔,0 ,,,,,04490,072,1 
0103,更,0 ,,,,,04654,073,1 
