統合ID,文字,カード番号,字体数,用例数,部首,枚数,
00006,丈,0001,0 ,1 ,001,1 ,
00026,丘,0002,0 ,1 ,001,1 ,
00102,乘,0003,0 ,1 ,004,1 ,
00152,交,0004,0 ,1 ,008,1 ,
00186,仙,0005,0 ,1 ,009,1 ,
00199,仰,0006,0 ,1 ,009,1 ,
00206,任,0007,0 ,1 ,009,1 ,
00317,侵,0008,0 ,1 ,009,1 ,
00387,倦,0009,0 ,1 ,009,1 ,
00421,健,0010,0 ,1 ,009,1 ,
00524,儉,0011,0 ,1 ,009,1 ,
00629,再,0012,0 ,1 ,013,1 ,
00781,刹,0013,0 ,1 ,018,1 ,
00782,刺,0014,0 ,1 ,018,1 ,
00787,剃,0015,0 ,1 ,018,1 ,
00848,00848,0016,0 ,1 ,018,1 ,
00863,助,0017,0 ,1 ,019,1 ,
00882,勉,0018,0 ,1 ,019,1 ,
00900,勤,0019,0 ,1 ,019,1 ,
00913,勸,0020,0 ,1 ,019,1 ,
00941,北,0021,0 ,1 ,021,1 ,
01016,博,0022,0 ,1 ,024,1 ,
01108,又,0023,0 ,1 ,029,1 ,
01116,反,0024,0 ,1 ,029,1 ,
01156,叱,0025,0 ,1 ,030,1 ,
01158,右,0026,0 ,1 ,030,1 ,
01168,各,0027,0 ,1 ,030,1 ,
01179,向,0028,0 ,1 ,030,1 ,
01217,吾,0029,0 ,1 ,030,1 ,
01242,味,0030,0 ,1 ,030,1 ,
01245,呵,0031,0 ,1 ,030,1 ,
01263,和,0032,0 ,1 ,030,1 ,
01296,品,0033,0 ,1 ,030,1 ,
01363,商,0034,0 ,1 ,030,1 ,
01412,喜,0035,0 ,1 ,030,1 ,
01421,喩,0036,0 ,1 ,030,1 ,
01425,喬,0037,0 ,1 ,030,1 ,
01581,嚴,0038,0 ,1 ,030,1 ,
01641,圍,0039,0 ,1 ,031,1 ,
01682,坐,0040,0 ,1 ,032,1 ,
01683,坑,0041,0 ,1 ,032,1 ,
01799,堵,0042,0 ,1 ,032,1 ,
01934,外,0043,0 ,1 ,036,1 ,
01949,夫,0044,0 ,1 ,037,1 ,
02159,婬,0045,0 ,1 ,038,1 ,
02196,嫁,0046,0 ,1 ,038,1 ,
02231,02231,0047,0 ,1 ,038,1 ,
02267,字,0048,0 ,1 ,039,1 ,
02268,存,0049,0 ,1 ,039,1 ,
02308,守,0050,0 ,1 ,040,1 ,
02313,完,0051,0 ,1 ,040,1 ,
02342,宮,0052,0 ,1 ,040,1 ,
02355,宿,0053,0 ,1 ,040,1 ,
02371,寒,0054,0 ,1 ,040,1 ,
02440,少,0055,0 ,1 ,042,1 ,
02485,屈,0056,0 ,1 ,044,1 ,
02515,屬,0057,0 ,1 ,044,1 ,
02767,巡,0058,0 ,1 ,047,1 ,
02774,左,0059,0 ,1 ,048,1 ,
02775,巧,0060,0 ,1 ,048,1 ,
02782,己,0061,0 ,1 ,049,1 ,
02806,希,0062,0 ,1 ,050,1 ,
02820,帝,0063,0 ,1 ,050,1 ,
02847,常,0064,0 ,1 ,050,1 ,
02899,平,0065,0 ,1 ,051,1 ,
02900,年,0066,0 ,1 ,051,1 ,
02907,幻,0067,0 ,1 ,052,1 ,
03005,延,0068,0 ,1 ,054,1 ,
03066,強,0069,0 ,1 ,057,1 ,
03153,御,0070,0 ,1 ,060,1 ,
03165,微,0071,0 ,1 ,060,1 ,
03208,快,0072,0 ,1 ,061,1 ,
03220,忿,0073,0 ,1 ,061,1 ,
03240,怠,0074,0 ,1 ,061,1 ,
03245,怨,0075,0 ,1 ,061,1 ,
03286,恣,0076,0 ,1 ,061,1 ,
03291,恨,0077,0 ,1 ,061,1 ,
03315,悋,0078,0 ,1 ,061,1 ,
03335,悲,0079,0 ,1 ,061,1 ,
03450,慕,0080,0 ,1 ,061,1 ,
03471,慳,0081,0 ,1 ,061,1 ,
03589,懼,0082,0 ,1 ,061,1 ,
03595,戀,0083,0 ,1 ,061,1 ,
03602,戈,0084,0 ,1 ,062,1 ,
03645,戻,0085,0 ,1 ,063,1 ,
03659,手,0086,0 ,1 ,064,1 ,
03690,承,0087,0 ,1 ,064,1 ,
03708,投,0088,0 ,1 ,064,1 ,
03758,招,0089,0 ,1 ,064,1 ,
03878,接,0090,0 ,1 ,064,1 ,
03939,損,0091,0 ,1 ,064,1 ,
04008,摧,0092,0 ,1 ,064,1 ,
04235,政,0093,0 ,1 ,066,1 ,
04268,敗,0094,0 ,1 ,066,1 ,
04277,敢,0095,0 ,1 ,066,1 ,
04319,變,0096,0 ,1 ,066,1 ,
04321,文,0097,0 ,1 ,067,1 ,
04368,斫,0098,0 ,1 ,069,1 ,
04369,斬,0099,0 ,1 ,069,1 ,
04442,既,0100,0 ,1 ,071,1 ,
04485,明,0101,0 ,1 ,072,1 ,
04490,昔,0102,0 ,1 ,072,1 ,
04654,更,0103,0 ,1 ,073,1 ,
04673,月,0104,0 ,1 ,074,1 ,
04679,服,0105,0 ,1 ,074,1 ,
04693,望,0106,0 ,1 ,074,1 ,
04739,村,0107,0 ,1 ,075,1 ,
04848,染,0108,0 ,1 ,075,1 ,
05381,橫,0109,0 ,1 ,075,1 ,
05561,欣,0110,0 ,1 ,076,1 ,
05612,歎,0111,0 ,1 ,076,1 ,
05639,歡,0112,0 ,1 ,076,1 ,
05641,止,0113,0 ,1 ,077,1 ,
05676,歸,0114,0 ,1 ,077,1 ,
05699,殃,0115,0 ,1 ,078,1 ,
05724,05724,0116,0 ,1 ,078,1 ,
05796,殺,0117,0 ,1 ,079,1 ,
05834,母,0118,0 ,1 ,080,1 ,
05839,毒,0119,0 ,1 ,080,1 ,
06058,況,0120,0 ,1 ,085,1 ,
06151,流,0121,0 ,1 ,085,1 ,
