統合ID,文字,正毘178,字体数,用例数,部首
00006,丈,0001,0,1,001
00026,丘,0002,0,1,001
00102,乘,0003,0,1,004
00152,交,0004,0,1,008
00186,仙,0005,0,1,009
00199,仰,0006,0,1,009
00206,任,0007,0,1,009
00317,侵,0008,0,1,009
00387,倦,0009,0,1,009
00421,健,0010,0,1,009
00524,儉,0011,0,1,009
00629,再,0012,0,1,013
00781,刹,0013,0,1,018
00782,刺,0014,0,1,018
00787,剃,0015,0,1,018
00848,劓,0016,0,1,018
00863,助,0017,0,1,019
00882,勉,0018,0,1,019
00900,勤,0019,0,1,019
00913,勸,0020,0,1,019
00941,北,0021,0,1,021
01016,博,0022,0,1,024
01108,又,0023,0,1,029
01116,反,0024,0,1,029
01156,叱,0025,0,1,030
01158,右,0026,0,1,030
01168,各,0027,0,1,030
01179,向,0028,0,1,030
01217,吾,0029,0,1,030
01242,味,0030,0,1,030
01245,呵,0031,0,1,030
01263,和,0032,0,1,030
01296,品,0033,0,1,030
01363,商,0034,0,1,030
01412,喜,0035,0,1,030
01421,喩,0036,0,1,030
01425,喬,0037,0,1,030
01581,嚴,0038,0,1,030
01641,圍,0039,0,1,031
01682,坐,0040,0,1,032
01683,坑,0041,0,1,032
01799,堵,0042,0,1,032
01934,外,0043,0,1,036
01949,夫,0044,0,1,037
02159,婬,0045,0,1,038
02196,嫁,0046,0,1,038
02231,嬈,0047,0,1,038
02267,字,0048,0,1,039
02268,存,0049,0,1,039
02308,守,0050,0,1,040
02313,完,0051,0,1,040
02342,宮,0052,0,1,040
02355,宿,0053,0,1,040
02371,寒,0054,0,1,040
02440,少,0055,0,1,042
02485,屈,0056,0,1,044
02515,屬,0057,0,1,044
02767,巡,0058,0,1,047
02774,左,0059,0,1,048
02775,巧,0060,0,1,048
02782,己,0061,0,1,049
02806,希,0062,0,1,050
02820,帝,0063,0,1,050
02847,常,0064,0,1,050
02899,平,0065,0,1,051
02900,年,0066,0,1,051
02907,幻,0067,0,1,052
03005,延,0068,0,1,054
03066,強,0069,0,1,057
03153,御,0070,0,1,060
03165,微,0071,0,1,060
03208,快,0072,0,1,061
03220,忿,0073,0,1,061
03240,怠,0074,0,1,061
03245,怨,0075,0,1,061
03286,恣,0076,0,1,061
03291,恨,0077,0,1,061
03315,悋,0078,0,1,061
03335,悲,0079,0,1,061
03450,慕,0080,0,1,061
03471,慳,0081,0,1,061
03589,懼,0082,0,1,061
03595,戀,0083,0,1,061
03602,戈,0084,0,1,062
03645,戾,0085,0,1,063
03659,手,0086,0,1,064
03690,承,0087,0,1,064
03708,投,0088,0,1,064
03758,招,0089,0,1,064
03878,接,0090,0,1,064
03939,損,0091,0,1,064
04008,摧,0092,0,1,064
04235,政,0093,0,1,066
04268,敗,0094,0,1,066
04277,敢,0095,0,1,066
04319,變,0096,0,1,066
04321,文,0097,0,1,067
04368,斫,0098,0,1,069
04369,斬,0099,0,1,069
04442,旣,0100,0,1,071
04485,明,0101,0,1,072
04490,昔,0102,0,1,072
04654,更,0103,0,1,073
04673,月,0104,0,1,074
04679,服,0105,0,1,074
04693,望,0106,0,1,074
04739,村,0107,0,1,075
04848,染,0108,0,1,075
05381,橫,0109,0,1,075
05561,欣,0110,0,1,076
05612,歎,0111,0,1,076
05639,歡,0112,0,1,076
05641,止,0113,0,1,077
05676,歸,0114,0,1,077
05699,殃,0115,0,1,078
05724,殑,0116,0,1,078
05796,殺,0117,0,1,079
05834,母,0118,0,1,080
05839,毒,0119,0,1,080
06058,況,0120,0,1,085
06151,流,0121,0,1,085
06182,海,0122,0,1,085
06273,淩,0123,0,1,085
06285,深,0124,0,1,085
06338,渴,0125,0,1,085
06432,滅,0126,0,1,085
06617,濁,0127,0,1,085
06941,熏,0128,0,1,086
06957,熱,0129,0,1,086
06965,熾,0130,0,1,086
06984,營,0131,0,1,086
07035,父,0132,0,1,088
07072,牛,0133,0,1,093
07074,牟,0134,0,1,093
07086,特,0135,0,1,093
07162,狹,0136,0,1,094
07212,獄,0137,0,1,094
07230,獨,0138,0,1,094
07291,珠,0139,0,1,096
07457,甚,0140,0,1,099
07478,田,0141,0,1,102
07578,疫,0142,0,1,104
07598,病,0143,0,1,104
07685,癡,0144,0,1,104
07770,盛,0145,0,1,108
07790,目,0146,0,1,109
07839,眷,0147,0,1,109
07865,睦,0148,0,1,109
07878,瞋,0149,0,1,109
07898,瞬,0150,0,1,109
08057,磨,0151,0,1,112
08086,礫,0152,0,1,112
08097,示,0153,0,1,113
08165,禮,0154,0,1,113
08353,竊,0155,0,1,116
08753,純,0156,0,1,120
08779,細,0157,0,1,120
08822,給,0158,0,1,120
08830,絮,0159,0,1,120
09013,繕,0160,0,1,120
09125,罪,0161,0,1,122
09182,羯,0162,0,1,123
09250,老,0163,0,1,125
09290,耳,0164,0,1,128
09296,耽,0165,0,1,128
09326,聰,0166,0,1,128
09407,胝,0167,0,1,130
09438,脅,0168,0,1,130
09501,腦,0169,0,1,130
09617,臺,0170,0,1,133
09630,興,0171,0,1,134
09633,舊,0172,0,1,134
09747,芥,0173,0,1,140
09869,莊,0174,0,1,140
10070,蔑,0175,0,1,140
10276,號,0176,0,1,141
10649,衰,0177,0,1,145
10834,覓,0178,0,1,147
10837,視,0179,0,1,147
10914,記,0180,0,1,149
11008,誓,0181,0,1,149
11038,調,0182,0,1,149
11049,請,0183,0,1,149
11275,象,0184,0,1,152
11342,貪,0185,0,1,154
11402,賤,0186,0,1,154
11542,跪,0187,0,1,157
11740,車,0188,0,1,159
11918,辱,0189,0,1,161
11937,迅,0190,0,1,162
11982,退,0191,0,1,162
12001,逝,0192,0,1,162
12003,速,0193,0,1,162
12004,造,0194,0,1,162
12037,遂,0195,0,1,162
12054,違,0196,0,1,162
12092,遶,0197,0,1,162
12108,還,0198,0,1,162
12123,邑,0199,0,1,163
12317,醍,0200,0,1,164
12319,醐,0201,0,1,164
12783,闕,0202,0,1,169
12838,降,0203,0,1,170
12853,院,0204,0,1,170
12997,雜,0205,0,1,172
13313,預,0206,0,1,181
13346,頭,0207,0,1,181
13398,類,0208,0,1,181
13508,飢,0209,0,1,184
13680,馬,0210,0,1,187
13933,髓,0211,0,1,188
13934,體,0212,0,1,188
13940,高,0213,0,1,189
13959,髮,0214,0,1,190
14002,鬚,0215,0,1,190
14379,鳴,0216,0,1,196
14542,鷄,0217,0,1,196
14809,鼻,0218,0,1,209
00001,一,0219,1,29,001
00004,七,0220,1,10,001
00007,三,0221,1,43,001
00008,上,0222,1,24,001
00009,下,0223,1,9,001
00013,不,0224,1,80,001
00025,世,0226,1,54,001
00051,中,0228,1,62,002
00070,主,0230,1,5,003
00078,乃,0231,1,20,004
00085,久,0232,1,5,004
00088,之,0233,1,19,004
00107,九,0234,1,2,005
00125,了,0235,1,4,006
00128,事,0236,1,23,006
00129,二,0237,1,31,007
00133,云,0238,1,3,007
00135,五,0239,1,6,007
00154,亦,0240,1,22,008
00168,人,0241,1,40,009
00170,仁,0242,1,2,009
00175,今,0243,1,12,009
00183,他,0244,1,11,009
00193,令,0245,1,8,009
00194,以,0246,1,23,009
00209,企,0247,1,5,009
00217,伏,0248,1,4,009
00236,伽,0249,1,7,009
00240,但,0250,1,5,009
00243,位,0251,1,6,009
00245,住,0252,1,7,009
00250,何,0253,1,45,009
00255,佛,0254,1,58,009
00256,作,0256,1,38,009
00261,佉,0257,1,5,009
00282,來,0258,1,41,009
00288,侍,0259,1,5,009
00299,供,0260,1,3,009
00301,依,0261,1,20,009
00321,便,0262,1,9,009
00338,俗,0263,1,4,009
00345,信,0264,1,2,009
00350,倶,0265,1,11,009
00503,僧,0266,1,13,009
00566,先,0267,1,5,010
00582,入,0268,1,13,011
00594,八,0269,1,8,012
00597,六,0270,1,10,012
00599,共,0271,1,2,012
00602,兵,0272,1,3,012
00605,其,0273,1,7,012
00606,具,0274,1,5,012
00723,出,0275,1,11,017
00734,分,0276a,2,13,018
00734b,分,0276b,2,9,018
00735,切,0277,1,4,018
00763,別,0278,1,7,018
00767,利,0279,1,12,018
00789,則,0280,1,3,018
00794,前,0281,1,16,018
00820,割,0282,1,2,018
00856,力,0283,1,9,019
00857,功,0284,1,6,019
00858,加,0285,1,7,019
00859,劣,0286,1,2,019
00865,劫,0287,1,13,019
00881,勇,0288,1,2,019
00893,勝,0289,1,17,019
00938,化,0290,1,13,021
00985,十,0291,1,15,024
00987,千,0292,1,8,024
01034,印,0293,1,5,026
01038,却,0294,1,3,026
01049,卽,0295,1,40,026
01101,去,0296,1,6,028
01111,及,0297,1,19,029
01127,取,0298,1,5,029
01154,可,0299,1,11,030
01157,史,0300,1,17,030
01170,合,0301,1,3,030
01175,名,0302,1,63,030
01219,告,0304,1,7,030
01252,命,0305,1,6,030
01305,哉,0306,1,2,030
01369,問,0307,1,22,030
01414,喝,0308,1,2,030
01523,器,0309,1,4,030
01607,四,0310,1,40,031
01611,因,0311,1,23,031
01639,國,0312,1,8,031
01654,土,0313,1,2,032
01659,在,0314,1,24,032
01666,地,0315,1,8,032
01740,城,0316,1,6,032
01789,堪,0317,1,2,032
01796,報,0318,1,2,032
01839,境,0319,1,3,032
01853,增,0320,1,7,032
01863,墮,0321,1,2,032
01903,士,0322,1,2,033
01913,壽,0323,1,17,033
01938,多,0324,1,61,036
01939,夜,0326,1,4,036
01946,大,0327,1,19,037
01947,天,0328,1,58,037
01957,失,0330,1,4,037
01974,奉,0331,1,2,037
02013,奪,0332,1,2,037
02022,女,0333,1,8,038
02031,如,0334,1,76,038
02045,妙,0336,1,9,038
02077,姓,0337,1,7,038
02105,威,0338,1,2,038
02142,婆,0339,1,2,038
02262,子,0340,1,16,039
02293,學,0341,1,11,039
02309,安,0342,1,6,040
02325,定,0343,1,32,040
02333,宣,0344,1,2,040
02349,家,0345,1,2,040
02383,察,0346,1,8,040
02390,實,0347,1,3,040
02395,審,0348,1,4,040
02397,寬,0349,1,2,040
02407,寶,0350,1,11,040
02430,尋,0351,1,6,041
02439,小,0352,1,2,042
02464,就,0353,1,2,043
02473,尼,0354,1,2,044
02783,已,0355,1,34,049
02800,布,0356,1,2,050
02835,師,0357,1,4,050
02915,幾,0358,1,2,052
02944,度,0359,1,5,053
02946,座,0360,1,3,053
02974,廊,0361,1,2,053
02993,廣,0362,1,18,053
03044,引,0363,1,2,057
03052,弟,0364,1,9,057
03084,彌,0365,1,3,057
03124,彼,0366,1,52,060
03128,往,0368,1,6,060
03138,後,0369,1,29,060
03143,徒,0370,1,2,060
03145,得,0371,1,50,060
03151,從,0372,1,16,060
03157,徧,0373,1,2,060
03159,復,0374,1,26,060
03172,德,0375,1,6,060
03179,心,0376,1,12,061
03180,必,0377,1,9,061
03184,忍,0378,1,6,061
03214,念,0379,1,9,061
03233,怖,0380,1,2,061
03239,思,0381,1,2,061
03244,性,0382,1,14,061
03267,恆,0383,1,3,061
03297,恭,0384,1,2,061
03329,患,0385,1,2,061
03348,情,0386,1,5,061
03367,惡,0387,1,3,061
03372,惱,0388,1,7,061
03395,意,0389,1,5,061
03462,慧,0390,1,6,061
03466,慮,0391,1,20,061
03549,懈,0392,1,2,061
03550,應,0393,1,32,061
03610,成,0394,1,13,062
03611,我,0395,1,22,062
03617,或,0396,1,13,062
03628,截,0397,1,2,062
03647,所,0398,1,60,063
03780,持,0400,1,12,064
03835,捨,0401,1,5,064
03858,掌,0402,1,3,064
03896,提,0403,1,20,064
04009,摩,0404,1,3,064
04192,攝,0405,1,8,064
04216,支,0406,1,11,065
04233,放,0407,1,2,066
04243,故,0408,1,99,066
04261,教,0410,1,3,066
04286,敬,0411,1,6,066
04293,敵,0412,1,2,066
04373,斯,0413,1,3,069
04376,新,0414,1,2,069
04381,斷,0415,1,4,069
04385,方,0416,1,9,070
04389,於,0417,1,73,070
04391,施,0419,1,11,070
04446,日,0420,1,5,072
04450,旨,0421,1,3,072
04512,是,0422,1,57,072
04523,時,0424,1,62,072
04542,晝,0426,1,2,072
04569,智,0427,1,97,072
04650,曰,0429,1,5,073
04661,曾,0430,1,3,073
04664,最,0431,1,16,073
04674,有,0432,1,106,074
04699,期,0435,1,2,074
04711,未,0436,1,22,075
04713,本,0437,1,4,075
04803,林,0438,1,3,075
04806,果,0439,1,3,075
04845,某,0440,1,3,075
04922,根,0441,1,20,075
05010,梵,0442,1,10,075
05152,業,0443,1,22,075
05161,極,0444,1,5,075
05228,槃,0445,1,7,075
05279,樂,0446,1,11,075
05323,樹,0447,1,3,075
05558,次,0448,1,18,076
05580,欲,0449,1,24,076
05643,正,0450,1,20,077
05644,此,0451,1,104,077
05666,歳,0454,1,10,077
05686,死,0455,1,3,078
05692,歿,0456,1,5,078
05717,殊,0457,1,2,078
05841,比,0458,1,4,081
05845,毗,0459,1,2,081
05935,民,0460,1,2,083
05957,永,0461,1,3,085
05964,求,0462,1,14,085
05983,汝,0463,1,14,085
06074,法,0464,1,34,085
06086,波,0465,1,33,085
06138,洲,0466,1,15,085
06189,涅,0467,1,7,085
06272,淨,0468,1,3,085
06290,清,0469,1,2,085
06476,滿,0470,1,33,085
06487,漏,0471,1,11,085
06499,漢,0472,1,10,085
06633,濕,0473,1,2,085
06872,無,0474,1,51,086
06921,煩,0476,1,7,086
06949,熟,0477,1,19,086
06969,燃,0478,1,2,086
06971,燈,0479,1,2,086
07032,爲,0480,1,60,087
07043,爾,0482,1,14,089
07080,物,0483,1,2,093
07180,猛,0484,1,6,094
07203,猶,0485,1,3,094
07259,率,0486,1,2,095
07262,王,0487,1,25,096
07304,現,0488,1,12,096
07461,生,0489,1,43,100
07469,用,0490,1,2,101
07479,由,0491,1,14,102
07480,甲,0492,1,3,102
07483,男,0493,1,3,102
07501,界,0494,1,12,102
07503,畏,0495,1,2,102
07530,異,0496,1,17,102
07559,疑,0497,1,3,103
07591,疾,0498,1,2,104
07707,發,0499,1,8,105
07709,白,0500,1,3,106
07710,百,0501,1,8,106
07717,皆,0502,1,19,106
07759,益,0503,1,14,108
07779,盡,0504,1,14,108
07801,相,0505,1,39,109
07844,眾,0506,1,11,109
07870,睹,0507,1,21,109
07910,瞿,0508,1,2,109
07941,知,0509,1,68,111
08124,神,0511,1,3,113
08148,福,0512,1,3,113
08239,稠,0513,1,3,115
08244,種,0514,1,28,115
08248,稱,0515,1,5,115
08354,立,0516,1,4,117
08361,竝,0517,1,2,117
08376,端,0518,1,2,117
08412,第,0519,1,27,118
08426,等,0520,1,35,118
08437,答,0521,1,25,118
08685,精,0522,1,5,119
08795,終,0523,1,3,120
08856,經,0524,1,13,120
08924,緣,0525,1,19,120
08963,縛,0526,1,2,120
09030,繋,0527,1,5,120
09061,續,0528,1,10,120
09144,羅,0529,1,55,122
09177,義,0531,1,13,123
09192,羸,0532,1,2,123
09255,者,0533,1,69,125
09264,而,0535,1,31,126
09286,耨,0536,1,4,127
09308,聖,0537,1,12,128
09315,聞,0538,1,9,128
09328,聲,0539,1,6,128
09395,胎,0540,1,2,130
09462,脩,0541,1,15,130
09463,脱,0542,1,9,130
09596,臣,0543,1,3,131
09602,自,0544,1,27,132
09610,至,0545,1,28,133
09629,與,0546,1,6,134
09716,色,0547,1,14,139
