カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0001,乏,0,,,,,00093,004,1
0002,乖,0,,,,,00100,004,1
0003,亂,0,,,,,00121,005,1
0004,井,0,,,,,00136,007,1
0005,伊,0,,,,,00213,009,1
0006,伐,0,,,,,00218,009,1
0007,休,0,,,,,00219,009,1
0008,但,0,,,,,00240,009,1
0009,佇,0,,,,,00241,009,1
0010,侵,0,,,,,00317,009,1
0011,促,0,,,,,00324,009,1
0012,倒,0,,,,,00373,009,1
0013,値,0,,,,,00385,009,1
0014,健,0,,,,,00421,009,1
0015,側,0,,,,,00429,009,1
0016,傾,0,,,,,00475,009,1
0017,僧,0,,,,,00503,009,1
0018,儀,0,,,,,00516,009,1
0019,冀,0,,,,,00616,012,1
0020,凝,0,,,,,00696,015,1
0021,列,0,,,,,00754,018,1
0022,勉,0,,,,,00882,019,1
0023,務,0,,,,,00890,019,1
0024,勸,0,,,,,00913,019,1
0025,北,0,,,,,00941,021,1
0026,卑,0,,,,,01003,024,1
0027,危,0,,,,,01035,026,1
0028,口,0,,,,,01141,030,1
0029,品,0,,,,,01296,030,1
0030,01503,0,,,,,01503,030,1
0031,固,0,,,,,01627,031,1
0032,坑,0,,,,,01683,032,1
0033,堂,0,,,,,01765,032,1
0034,堪,0,,,,,01789,032,1
0035,塹,0,,,,,01833,032,1
0036,士,0,,,,,01903,033,1
0037,壽,0,,,,,01913,033,1
0038,夕,0,,,,,01932,036,1
0039,妄,0,,,,,02033,038,1
0040,妻,0,,,,,02061,038,1
0041,妾,0,,,,,02062,038,1
0042,始,0,,,,,02069,038,1
0043,娯,0,,,,,02118,038,1
0044,嫉,0,,,,,02201,038,1
0045,嬾,0,,,,,02255,038,1
0046,守,0,,,,,02308,040,1
0047,官,0,,,,,02323,040,1
0048,害,0,,,,,02346,040,1
0049,密,0,,,,,02361,040,1
0050,導,0,,,,,02436,041,1
0051,小,0,,,,,02439,042,1
0052,屋,0,,,,,02488,044,1
0053,屬,0,,,,,02515,044,1
0054,峯,0,,,,,02589,046,1
0055,巧,0,,,,,02775,048,1
0056,希,0,,,,,02806,050,1
0057,并,0,,,,,02902,051,1
0058,床,0,,,,,02924,053,1
0059,店,0,,,,,02934,053,1
0060,廛,0,,,,,02986,053,1
0061,張,0,,,,,03065,057,1
0062,忍,0,,,,,03184,061,1
0063,志,0,,,,,03194,061,1
0064,忘,0,,,,,03196,061,1
0065,快,0,,,,,03208,061,1
0066,忿,0,,,,,03220,061,1
0067,恭,0,,,,,03297,061,1
0068,悦,0,,,,,03309,061,1
0069,悟,0,,,,,03326,061,1
0070,患,0,,,,,03329,061,1
0071,03363,0,,,,,03363,061,1
0072,惜,0,,,,,03364,061,1
0073,愍,0,,,,,03402,061,1
0074,慰,0,,,,,03469,061,1
0075,慳,0,,,,,03471,061,1
0076,懼,0,,,,,03589,061,1
0077,M11102,0,,,,,,061,1
0078,截,0,,,,,03628,062,1
0079,戰,0,,,,,03633,062,1
0080,戴,0,,,,,03638,062,1
0081,戸,0,,,,,03640,063,1
0082,手,0,,,,,03659,064,1
0083,拘,0,,,,,03757,064,1
0084,捷,0,,,,,03844,064,1
0085,損,0,,,,,03939,064,1
0086,搖,0,,,,,03947,064,1
0087,敵,0,,,,,04293,066,1
0088,斯,0,,,,,04373,069,1
0089,族,0,,,,,04412,070,1
0090,既,0,,,,,04442,071,1
0091,旬,0,,,,,04453,072,1
0092,昏,0,,,,,04486,072,1
0093,映,0,,,,,04500,072,1
0094,晝,0,,,,,04542,072,1
0095,04546,0,,,,,04546,072,1
0096,04566,0,,,,,04566,072,1
0097,暴,0,,,,,04608,072,1
0098,曲,0,,,,,04651,073,1
0099,望,0,,,,,04693,074,1
0100,木,0,,,,,04707,075,1
0101,本,0,,,,,04713,075,1
0102,朱,0,,,,,04717,075,1
0103,村,0,,,,,04739,075,1
0104,桓,0,,,,,04942,075,1
0105,梁,0,,,,,04967,075,1
0106,梨,0,,,,,04993,075,1
0107,極,0,,,,,05161,075,1
0108,橋,0,,,,,05348,075,1
0109,機,0,,,,,05368,075,1
0110,歌,0,,,,,05609,076,1
0111,歎,0,,,,,05612,076,1
0112,歩,0,,,,,05645,077,1
0113,歸,0,,,,,05676,077,1
0114,歿,0,,,,,05692,078,1
0115,殺,0,,,,,05796,079,1
0116,沃,0,,,,,06009,085,1
0117,河,0,,,,,06045,085,1
0118,泣,0,,,,,06087,085,1
0119,泥,0,,,,,06088,085,1
0120,洗,0,,,,,06120,085,1
0121,洫,0,,,,,06135,085,1
0122,浪,0,,,,,06173,085,1
0123,涅,0,,,,,06189,085,1
0124,涼,0,,,,,06230,085,1
0125,涙,0,,,,,06253,085,1
0126,淺,0,,,,,06292,085,1
0127,渠,0,,,,,06317,085,1
0128,測,0,,,,,06335,085,1
0129,渇,0,,,,,06338,085,1
0130,溝,0,,,,,06404,085,1
0131,滑,0,,,,,06445,085,1
0132,漏,0,,,,,06487,085,1
0133,06504,0,,,,,06504,085,1
0134,06577,0,,,,,06577,085,1
0135,澀,0,,,,,06630,085,1
0136,濤,0,,,,,06645,085,1
0137,炳,0,,,,,06824,086,1
0138,熱,0,,,,,06957,086,1
0139,燈,0,,,,,06971,086,1
0140,焔,0,,,,,06882,086,1
0141,營,0,,,,,06984,086,1
0142,牆,0,,,,,07047,090,1
0143,牙,0,,,,,07065,092,1
0144,牛,0,,,,,07072,093,1
0145,牢,0,,,,,07076,093,1
0146,珍,0,,,,,07287,096,1
0147,珠,0,,,,,07291,096,1
0148,理,0,,,,,07307,096,1
0149,瑙,0,,,,,07342,096,1
0150,07385,0,,,,,07385,096,1
0151,甘,0,,,,,07456,099,1
0152,田,0,,,,,07478,102,1
0153,留,0,,,,,07508,102,1
0154,異,0,,,,,07530,102,1
0155,癡,0,,,,,07685,104,1
0156,登,0,,,,,07706,105,1
0157,盈,0,,,,,07758,108,1
0158,目,0,,,,,07790,109,1
0159,眷,0,,,,,07839,109,1
0160,瞋,0,,,,,07878,109,1
0161,祇,0,,,,,08107,113,1
0162,禁,0,,,,,08143,113,1
0163,窄,0,,,,,08307,116,1
0164,竝,0,,,,,08361,117,1
0165,筏,0,,,,,08432,118,1
0166,答,0,,,,,08437,118,1
0167,策,0,,,,,08438,118,1
0168,糧,0,,,,,08718,119,1
0169,索,0,,,,,08767,120,1
0170,細,0,,,,,08779,120,1
0171,終,0,,,,,08795,120,1
0172,絡,0,,,,,08817,120,1
0173,維,0,,,,,08879,120,1
0174,縛,0,,,,,08963,120,1
0175,續,0,,,,,09061,120,1
0176,纓,0,,,,,09072,120,1
0177,罪,0,,,,,09125,122,1
0178,美,0,,,,,09155,123,1
0179,耶,0,,,,,09292,128,1
0180,耽,0,,,,,09296,128,1
0181,肉,0,,,,,09348,130,1
0182,脆,0,,,,,09439,130,1
0183,舌,0,,,,,09636,135,1
0184,舍,0,,,,,09638,135,1
0185,苑,0,,,,,09772,140,1
0186,草,0,,,,,09846,140,1
0187,荼,0,,,,,09863,140,1
0188,菴,0,,,,,09925,140,1
0189,葉,0,,,,,09966,140,1
0190,藤,0,,,,,10203,140,1
0191,蘊,0,,,,,10232,140,1
0192,蘿,0,,,,,10258,140,1
0193,螺,0,,,,,10521,142,1
0194,血,0,,,,,10605,143,1
0195,衍,0,,,,,10615,144,1
0196,術,0,,,,,10618,144,1
0197,衢,0,,,,,10636,144,1
0198,西,0,,,,,10820,146,1
0199,覓,0,,,,,10834,147,1
0200,觸,0,,,,,10887,148,1
0201,設,0,,,,,10928,149,1
0202,誘,0,,,,,11012,149,1
0203,貝,0,,,,,11328,154,1
0204,貧,0,,,,,11338,154,1
0205,資,0,,,,,11373,154,1
0206,質,0,,,,,11404,154,1
0207,跋,0,,,,,11515,157,1
0208,蹈,0,,,,,11618,157,1
0209,11831,0,,,,,11831,159,1
0210,輸,0,,,,,11841,159,1
0211,迫,0,,,,,11965,162,1
0212,逆,0,,,,,11986,162,1
0213,造,0,,,,,12004,162,1
0214,遐,0,,,,,12048,162,1
0215,避,0,,,,,12103,162,1
0216,里,0,,,,,12372,166,1
0217,釧,0,,,,,12391,167,1
0218,鈴,0,,,,,12418,167,1
0219,銀,0,,,,,12451,167,1
0220,鎖,0,,,,,12573,167,1
0221,鐵,0,,,,,12654,167,1
0222,鐸,0,,,,,12657,167,1
0223,鑽,0,,,,,12692,167,1
0224,闇,0,,,,,12768,169,1
0225,關,0,,,,,12790,169,1
0226,陂,0,,,,,12833,170,1
0227,陵,0,,,,,12867,170,1
0228,隅,0,,,,,12883,170,1
0229,際,0,,,,,12913,170,1
0230,雅,0,,,,,12962,172,1
0231,電,0,,,,,13026,173,1
0232,霞,0,,,,,13054,173,1
0233,露,0,,,,,13073,173,1
0234,靈,0,,,,,13092,173,1
0235,面,0,,,,,13108,176,1
0236,頗,0,,,,,13325,181,1
0237,領,0,,,,,13327,181,1
0238,顧,0,,,,,13409,181,1
0239,飮,0,,,,,13526,184,1
0240,饒,0,,,,,13641,184,1
0241,騰,0,,,,,13820,187,1
0242,髮,0,,,,,13959,190,1
0243,鬻,0,,,,,14057,193,1
0244,鬼,0,,,,,14061,194,1
0245,魚,0,,,,,14101,195,1
0246,鳩,0,,,,,14366,196,1
0247,麻,0,,,,,14681,200,1
0248,鼓,0,,,,,14776,207,1
0249,龜,0,,,,,14887,213,1
0250-0255,一,1,273,,,,00001,001,6
0256,七,1,6,,,,00004,001,1
0257-0258,三,1,57,,,,00007,001,2
0259,上,1,32,,,,00008,001,1
0260,下,1,15,,,,00009,001,1
0261-0262,不,1,66,,,,00013,001,2
0263,世,1,43,,,,00025,001,1
0264,丘,1,45,,,,00026,001,1
0265-0266,中,1,52,,,,00051,002,2
0267,丸,1,7,,,,00068,003,1
0268,主,1,2,,,,00070,003,1
0269,乃,1,8,,,,00078,004,1
