統合ID,文字,カード番号,字体数,用例数,部首,枚数,
00093,乏,0001,0,1,004,1,
00100,乖,0002,0,1,004,1,
00121,亂,0003,0,1,005,1,
00136,井,0004,0,1,007,1,
00213,伊,0005,0,1,009,1,
00218,伐,0006,0,1,009,1,
00219,休,0007,0,1,009,1,
00240,但,0008,0,1,009,1,
00241,佇,0009,0,1,009,1,
00317,侵,0010,0,1,009,1,
00324,促,0011,0,1,009,1,
00373,倒,0012,0,1,009,1,
00385,値,0013,0,1,009,1,
00421,健,0014,0,1,009,1,
00429,側,0015,0,1,009,1,
00475,傾,0016,0,1,009,1,
00503,僧,0017,0,1,009,1,
00516,儀,0018,0,1,009,1,
00616,冀,0019,0,1,012,1,
00696,凝,0020,0,1,015,1,
00754,列,0021,0,1,018,1,
00882,勉,0022,0,1,019,1,
00890,務,0023,0,1,019,1,
00913,勸,0024,0,1,019,1,
00941,北,0025,0,1,021,1,
01003,卑,0026,0,1,024,1,
01035,危,0027,0,1,026,1,
01141,口,0028,0,1,030,1,
01296,品,0029,0,1,030,1,
01503,01503,0030,0,1,030,1,
01627,固,0031,0,1,031,1,
01683,坑,0032,0,1,032,1,
01765,堂,0033,0,1,032,1,
01789,堪,0034,0,1,032,1,
01833,塹,0035,0,1,032,1,
01903,士,0036,0,1,033,1,
01913,壽,0037,0,1,033,1,
01932,夕,0038,0,1,036,1,
02033,妄,0039,0,1,038,1,
02061,妻,0040,0,1,038,1,
02062,妾,0041,0,1,038,1,
02069,始,0042,0,1,038,1,
02118,娯,0043,0,1,038,1,
02201,嫉,0044,0,1,038,1,
02255,嬾,0045,0,1,038,1,
02308,守,0046,0,1,040,1,
02323,官,0047,0,1,040,1,
02346,害,0048,0,1,040,1,
02361,密,0049,0,1,040,1,
02436,導,0050,0,1,041,1,
02439,小,0051,0,1,042,1,
02488,屋,0052,0,1,044,1,
02515,屬,0053,0,1,044,1,
02589,峯,0054,0,1,046,1,
02775,巧,0055,0,1,048,1,
02806,希,0056,0,1,050,1,
02902,并,0057,0,1,051,1,
02924,床,0058,0,1,053,1,
02934,店,0059,0,1,053,1,
02986,廛,0060,0,1,053,1,
03065,張,0061,0,1,057,1,
03184,忍,0062,0,1,061,1,
03194,志,0063,0,1,061,1,
03196,忘,0064,0,1,061,1,
03208,快,0065,0,1,061,1,
03220,忿,0066,0,1,061,1,
03297,恭,0067,0,1,061,1,
03309,悦,0068,0,1,061,1,
03326,悟,0069,0,1,061,1,
03329,患,0070,0,1,061,1,
03363,03363,0071,0,1,061,1,
03364,惜,0072,0,1,061,1,
03402,愍,0073,0,1,061,1,
03469,慰,0074,0,1,061,1,
03471,慳,0075,0,1,061,1,
03589,懼,0076,0,1,061,1,
M11102,M11102,0077,0,1,061,1,
03628,截,0078,0,1,062,1,
03633,戰,0079,0,1,062,1,
03638,戴,0080,0,1,062,1,
03640,戸,0081,0,1,063,1,
03659,手,0082,0,1,064,1,
03757,拘,0083,0,1,064,1,
03844,捷,0084,0,1,064,1,
03939,損,0085,0,1,064,1,
03947,搖,0086,0,1,064,1,
04293,敵,0087,0,1,066,1,
04373,斯,0088,0,1,069,1,
04412,族,0089,0,1,070,1,
