統合ID,文字,和寧花67,字体数,用例数,部首
00093,乏,0001,0,1,004
00100,乖,0002,0,1,004
00121,亂,0003,0,1,005
00136,井,0004,0,1,007
00213,伊,0005,0,1,009
00218,伐,0006,0,1,009
00219,休,0007,0,1,009
00240,但,0008,0,1,009
00241,佇,0009,0,1,009
00317,侵,0010,0,1,009
00324,促,0011,0,1,009
00373,倒,0012,0,1,009
00385,値,0013,0,1,009
00421,健,0014,0,1,009
00429,側,0015,0,1,009
00475,傾,0016,0,1,009
00503,僧,0017,0,1,009
00516,儀,0018,0,1,009
00616,冀,0019,0,1,012
00696,凝,0020,0,1,015
00754,列,0021,0,1,018
00882,勉,0022,0,1,019
00890,務,0023,0,1,019
00913,勸,0024,0,1,019
00941,北,0025,0,1,021
01003,卑,0026,0,1,024
01035,危,0027,0,1,026
01141,口,0028,0,1,030
01296,品,0029,0,1,030
01503,噉,0030,0,1,030
01627,固,0031,0,1,031
01683,坑,0032,0,1,032
01765,堂,0033,0,1,032
01789,堪,0034,0,1,032
01833,塹,0035,0,1,032
01903,士,0036,0,1,033
01913,壽,0037,0,1,033
01932,夕,0038,0,1,036
02033,妄,0039,0,1,038
02061,妻,0040,0,1,038
02062,妾,0041,0,1,038
02069,始,0042,0,1,038
02118,娛,0043,0,1,038
02201,嫉,0044,0,1,038
02255,嬾,0045,0,1,038
02308,守,0046,0,1,040
02323,官,0047,0,1,040
02346,害,0048,0,1,040
02361,密,0049,0,1,040
02436,導,0050,0,1,041
02439,小,0051,0,1,042
02488,屋,0052,0,1,044
02515,屬,0053,0,1,044
02589,峯,0054,0,1,046
02775,巧,0055,0,1,048
02806,希,0056,0,1,050
02902,并,0057,0,1,051
02924,床,0058,0,1,053
02934,店,0059,0,1,053
02986,廛,0060,0,1,053
03065,張,0061,0,1,057
03184,忍,0062,0,1,061
03194,志,0063,0,1,061
03196,忘,0064,0,1,061
03208,快,0065,0,1,061
03220,忿,0066,0,1,061
03297,恭,0067,0,1,061
03309,悦,0068,0,1,061
03326,悟,0069,0,1,061
