カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0001,七,0 ,,,,,00004,001,1 
0002,丈,0 ,,,,,00006,001,1 
0003,乎,0 ,,,,,00092,004,1 
0004,也,0 ,,,,,00109,005,1 
0005,亂,0 ,,,,,00121,005,1 
0006,二,0 ,,,,,00129,007,1 
0007,井,0 ,,,,,00136,007,1 
0008,伐,0 ,,,,,00218,009,1 
0009,休,0 ,,,,,00219,009,1 
0010,伴,0 ,,,,,00230,009,1 
0011,使,0 ,,,,,00279,009,1 
0012,侍,0 ,,,,,00288,009,1 
0013,侵,0 ,,,,,00317,009,1 
0014,信,0 ,,,,,00345,009,1 
0015,傷,0 ,,,,,00473,009,1 
0016,儀,0 ,,,,,00516,009,1 
0017,優,0 ,,,,,00542,009,1 
0018,凡,0 ,,,,,00701,016,1 
0019,刑,0 ,,,,,00746,018,1 
0020,列,0 ,,,,,00754,018,1 
0021,到,0 ,,,,,00769,018,1 
0022,助,0 ,,,,,00863,019,1 
0023,勒,0 ,,,,,00885,019,1 
0024,勢,0 ,,,,,00898,019,1 
0025,勸,0 ,,,,,00913,019,1 
0026,北,0 ,,,,,00941,021,1 
0027,印,0 ,,,,,01034,026,1 
0028,危,0 ,,,,,01035,026,1 
0029,反,0 ,,,,,01116,029,1 
0030,右,0 ,,,,,01158,030,1 
0031,向,0 ,,,,,01179,030,1 
0032,吹,0 ,,,,,01212,030,1 
0033,吻,0 ,,,,,01214,030,1 
0034,呰,0 ,,,,,01239,030,1 
0035,命,0 ,,,,,01252,030,1 
0036,哀,0 ,,,,,01295,030,1 
0037,哮,0 ,,,,,01322,030,1 
0038,01358,0 ,,,,,01358,030,1 
0039,啓,0 ,,,,,01373,030,1 
0040,喩,0 ,,,,,01421,030,1 
0041,固,0 ,,,,,01627,031,1 
0042,園,0 ,,,,,01644,031,1 
0043,堅,0 ,,,,,01767,032,1 
0044,報,0 ,,,,,01796,032,1 
0045,塗,0 ,,,,,01818,032,1 
0046,墜,0 ,,,,,01851,032,1 
