統合ID,文字,カード番号,字体数,用例数,部首
00004,七,0001,0,1,001
00006,丈,0002,0,1,001
00092,乎,0003,0,1,004
00109,也,0004,0,1,005
00121,亂,0005,0,1,005
00129,二,0006,0,1,007
00136,井,0007,0,1,007
00218,伐,0008,0,1,009
00219,休,0009,0,1,009
00230,伴,0010,0,1,009
00279,使,0011,0,1,009
00288,侍,0012,0,1,009
00317,侵,0013,0,1,009
00345,信,0014,0,1,009
00473,傷,0015,0,1,009
00516,儀,0016,0,1,009
00542,優,0017,0,1,009
00701,凡,0018,0,1,016
00746,刑,0019,0,1,018
00754,列,0020,0,1,018
00769,到,0021,0,1,018
00863,助,0022,0,1,019
00885,勒,0023,0,1,019
00898,勢,0024,0,1,019
00913,勸,0025,0,1,019
00941,北,0026,0,1,021
01034,印,0027,0,1,026
01035,危,0028,0,1,026
01116,反,0029,0,1,029
01158,右,0030,0,1,030
01179,向,0031,0,1,030
01212,吹,0032,0,1,030
01214,吻,0033,0,1,030
01239,呰,0034,0,1,030
01252,命,0035,0,1,030
01295,哀,0036,0,1,030
01322,哮,0037,0,1,030
01358,01358,0038,0,1,030
01373,啓,0039,0,1,030
01421,喩,0040,0,1,030
01627,固,0041,0,1,031
01644,園,0042,0,1,031
01767,堅,0043,0,1,032
01796,報,0044,0,1,032
01818,塗,0045,0,1,032
01851,墜,0046,0,1,032
01859,墨,0047,0,1,032
01913,壽,0048,0,1,033
01934,外,0049,0,1,036
01972,奇,0050,0,1,037
02033,妄,0051,0,1,038
02059,妹,0052,0,1,038
02062,妾,0053,0,1,038
02105,威,0054,0,1,038
02273,孝,0055,0,1,039
02282,孫,0056,0,1,039
02308,守,0057,0,1,040
02323,官,0058,0,1,040
02349,家,0059,0,1,040
02369,寐,0060,0,1,040
02397,寛,0061,0,1,040
02415,寺,0062,0,1,041
02488,屋,0063,0,1,044
02757,巖,0064,0,1,046
02782,己,0065,0,1,049
02799,市,0066,0,1,050
02806,希,0067,0,1,050
02881,幡,0068,0,1,050
02902,并,0069,0,1,051
02907,幻,0070,0,1,052
02964,02964,0071,0,1,053
02986,廛,0072,0,1,053
03044,引,0073,0,1,057
03046,弗,0074,0,1,057
03116,影,0075,0,1,059
03132,待,0076,0,1,060
03138,後,0077,0,1,060
03184,忍,0078,0,1,061
03194,志,0079,0,1,061
03219,忽,0080,0,1,061
03237,怛,0081,0,1,061
03252,怯,0082,0,1,061
03309,悦,0083,0,1,061
03363,03363,0084,0,1,061
03364,惜,0085,0,1,061
03402,愍,0086,0,1,061
03404,愚,0087,0,1,061
03466,慮,0088,0,1,061
03469,慰,0089,0,1,061
03549,懈,0090,0,1,061
03585,懷,0091,0,1,061
03586,懸,0092,0,1,061
03595,戀,0093,0,1,061
03628,截,0094,0,1,062
03640,戸,0095,0,1,063
03659,手,0096,0,1,064
03720,抱,0097,0,1,064
03750,拔,0098,0,1,064
03880,推,0099,0,1,064
04087,撃,0100,0,1,064
04258,敘,0101,0,1,066
04296,敷,0102,0,1,066
04373,斯,0103,0,1,069
04406,旋,0104,0,1,070
04480,昇,0105,0,1,072
04640,曠,0106,0,1,072
04654,更,0107,0,1,073
04679,服,0108,0,1,074
04693,望,0109,0,1,074
04849,柔,0110,0,1,075
04967,梁,0111,0,1,075
05014,棄,0112,0,1,075
05080,植,0113,0,1,075
05293,樓,0114,0,1,075
05348,橋,0115,0,1,075
05612,歎,0116,0,1,076
05676,歸,0117,0,1,077
05826,05826,0118,0,1,079
