統合ID,文字,カード番号,字体数,用例数,部首,枚数,
00004,七,0001,0 ,1 ,001,1 ,
00006,丈,0002,0 ,1 ,001,1 ,
00092,乎,0003,0 ,1 ,004,1 ,
00109,也,0004,0 ,1 ,005,1 ,
00121,亂,0005,0 ,1 ,005,1 ,
00129,二,0006,0 ,1 ,007,1 ,
00136,井,0007,0 ,1 ,007,1 ,
00218,伐,0008,0 ,1 ,009,1 ,
00219,休,0009,0 ,1 ,009,1 ,
00230,伴,0010,0 ,1 ,009,1 ,
00279,使,0011,0 ,1 ,009,1 ,
00288,侍,0012,0 ,1 ,009,1 ,
00317,侵,0013,0 ,1 ,009,1 ,
00345,信,0014,0 ,1 ,009,1 ,
00473,傷,0015,0 ,1 ,009,1 ,
00516,儀,0016,0 ,1 ,009,1 ,
00542,優,0017,0 ,1 ,009,1 ,
00701,凡,0018,0 ,1 ,016,1 ,
00746,刑,0019,0 ,1 ,018,1 ,
00754,列,0020,0 ,1 ,018,1 ,
00769,到,0021,0 ,1 ,018,1 ,
00863,助,0022,0 ,1 ,019,1 ,
00885,勒,0023,0 ,1 ,019,1 ,
00898,勢,0024,0 ,1 ,019,1 ,
00913,勸,0025,0 ,1 ,019,1 ,
00941,北,0026,0 ,1 ,021,1 ,
01034,印,0027,0 ,1 ,026,1 ,
01035,危,0028,0 ,1 ,026,1 ,
01116,反,0029,0 ,1 ,029,1 ,
01158,右,0030,0 ,1 ,030,1 ,
01179,向,0031,0 ,1 ,030,1 ,
01212,吹,0032,0 ,1 ,030,1 ,
01214,吻,0033,0 ,1 ,030,1 ,
01239,呰,0034,0 ,1 ,030,1 ,
01252,命,0035,0 ,1 ,030,1 ,
01295,哀,0036,0 ,1 ,030,1 ,
01322,哮,0037,0 ,1 ,030,1 ,
01358,01358,0038,0 ,1 ,030,1 ,
01373,啓,0039,0 ,1 ,030,1 ,
01421,喩,0040,0 ,1 ,030,1 ,
01627,固,0041,0 ,1 ,031,1 ,
01644,園,0042,0 ,1 ,031,1 ,
01767,堅,0043,0 ,1 ,032,1 ,
01796,報,0044,0 ,1 ,032,1 ,
01818,塗,0045,0 ,1 ,032,1 ,
01851,墜,0046,0 ,1 ,032,1 ,
01859,墨,0047,0 ,1 ,032,1 ,
01913,壽,0048,0 ,1 ,033,1 ,
01934,外,0049,0 ,1 ,036,1 ,
01972,奇,0050,0 ,1 ,037,1 ,
02033,妄,0051,0 ,1 ,038,1 ,
02059,妹,0052,0 ,1 ,038,1 ,
02062,妾,0053,0 ,1 ,038,1 ,
02105,威,0054,0 ,1 ,038,1 ,
02273,孝,0055,0 ,1 ,039,1 ,
02282,孫,0056,0 ,1 ,039,1 ,
02308,守,0057,0 ,1 ,040,1 ,
02323,官,0058,0 ,1 ,040,1 ,
02349,家,0059,0 ,1 ,040,1 ,
02369,寐,0060,0 ,1 ,040,1 ,
02397,寛,0061,0 ,1 ,040,1 ,
02415,寺,0062,0 ,1 ,041,1 ,
02488,屋,0063,0 ,1 ,044,1 ,
02757,巖,0064,0 ,1 ,046,1 ,
02782,己,0065,0 ,1 ,049,1 ,
02799,市,0066,0 ,1 ,050,1 ,
02806,希,0067,0 ,1 ,050,1 ,
02881,幡,0068,0 ,1 ,050,1 ,
02902,并,0069,0 ,1 ,051,1 ,
02907,幻,0070,0 ,1 ,052,1 ,
02964,02964,0071,0 ,1 ,053,1 ,
02986,廛,0072,0 ,1 ,053,1 ,
03044,引,0073,0 ,1 ,057,1 ,
03046,弗,0074,0 ,1 ,057,1 ,
03116,影,0075,0 ,1 ,059,1 ,
03132,待,0076,0 ,1 ,060,1 ,
03138,後,0077,0 ,1 ,060,1 ,
03184,忍,0078,0 ,1 ,061,1 ,
03194,志,0079,0 ,1 ,061,1 ,
03219,忽,0080,0 ,1 ,061,1 ,
03237,怛,0081,0 ,1 ,061,1 ,
03252,怯,0082,0 ,1 ,061,1 ,
03309,悦,0083,0 ,1 ,061,1 ,
03363,03363,0084,0 ,1 ,061,1 ,
03364,惜,0085,0 ,1 ,061,1 ,
03402,愍,0086,0 ,1 ,061,1 ,
03404,愚,0087,0 ,1 ,061,1 ,
03466,慮,0088,0 ,1 ,061,1 ,
03469,慰,0089,0 ,1 ,061,1 ,
03549,懈,0090,0 ,1 ,061,1 ,
03585,懷,0091,0 ,1 ,061,1 ,
03586,懸,0092,0 ,1 ,061,1 ,
03595,戀,0093,0 ,1 ,061,1 ,
03628,截,0094,0 ,1 ,062,1 ,
03640,戸,0095,0 ,1 ,063,1 ,
03659,手,0096,0 ,1 ,064,1 ,
03720,抱,0097,0 ,1 ,064,1 ,
03750,拔,0098,0 ,1 ,064,1 ,
03880,推,0099,0 ,1 ,064,1 ,
04087,撃,0100,0 ,1 ,064,1 ,
04258,敘,0101,0 ,1 ,066,1 ,
04296,敷,0102,0 ,1 ,066,1 ,
04373,斯,0103,0 ,1 ,069,1 ,
04406,旋,0104,0 ,1 ,070,1 ,
04480,昇,0105,0 ,1 ,072,1 ,
04640,曠,0106,0 ,1 ,072,1 ,
04654,更,0107,0 ,1 ,073,1 ,
04679,服,0108,0 ,1 ,074,1 ,
04693,望,0109,0 ,1 ,074,1 ,
04849,柔,0110,0 ,1 ,075,1 ,
04967,梁,0111,0 ,1 ,075,1 ,
05014,棄,0112,0 ,1 ,075,1 ,
05080,植,0113,0 ,1 ,075,1 ,
05293,樓,0114,0 ,1 ,075,1 ,
05348,橋,0115,0 ,1 ,075,1 ,
05612,歎,0116,0 ,1 ,076,1 ,
05676,歸,0117,0 ,1 ,077,1 ,
05826,05826,0118,0 ,1 ,079,1 ,
05839,毒,0119,0 ,1 ,080,1 ,
05957,永,0120,0 ,1 ,085,1 ,
06015,沈,0121,0 ,1 ,085,1 ,
06023,沒,0122,0 ,1 ,085,1 ,
06041,沮,0123,0 ,1 ,085,1 ,
06088,泥,0124,0 ,1 ,085,1 ,
06091,注,0125,0 ,1 ,085,1 ,
06123,洛,0126,0 ,1 ,085,1 ,
06135,洫,0127,0 ,1 ,085,1 ,
06145,活,0128,0 ,1 ,085,1 ,
06193,渉,0129,0 ,1 ,085,1 ,
06230,涼,0130,0 ,1 ,085,1 ,
06404,溝,0131,0 ,1 ,085,1 ,
06532,潔,0132,0 ,1 ,085,1 ,
06748,灌,0133,0 ,1 ,085,1 ,
06750,灑,0134,0 ,1 ,085,1 ,
06816,炬,0135,0 ,1 ,086,1 ,
06957,熱,0136,0 ,1 ,086,1 ,
06978,燒,0137,0 ,1 ,086,1 ,
07047,牆,0138,0 ,1 ,090,1 ,
07063,07063,0139,0 ,1 ,091,1 ,
07065,牙,0140,0 ,1 ,092,1 ,
07072,牛,0141,0 ,1 ,093,1 ,
07074,牟,0142,0 ,1 ,093,1 ,
07112,犯,0143,0 ,1 ,094,1 ,
07230,獨,0144,0 ,1 ,094,1 ,
07307,理,0145,0 ,1 ,096,1 ,
07347,瑟,0146,0 ,1 ,096,1 ,
07348,瑠,0147,0 ,1 ,096,1 ,
07366,璃,0148,0 ,1 ,096,1 ,
07469,用,0149,0 ,1 ,101,1 ,
07479,由,0150,0 ,1 ,102,1 ,
07481,申,0151,0 ,1 ,102,1 ,
07559,疑,0152,0 ,1 ,103,1 ,
07580,疲,0153,0 ,1 ,104,1 ,
07685,癡,0154,0 ,1 ,104,1 ,
07739,皮,0155,0 ,1 ,107,1 ,
07771,盜,0156,0 ,1 ,108,1 ,
07860,睡,0157,0 ,1 ,109,1 ,
07948,短,0158,0 ,1 ,111,1 ,
08107,祇,0159,0 ,1 ,113,1 ,
08146,禍,0160,0 ,1 ,113,1 ,
