カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0001,丈,0 ,,,,,00006,001,1 
0002,乎,0 ,,,,,00092,004,1 
0003,九,0 ,,,,,00107,005,1 
0004,交,0 ,,,,,00152,008,1 
0005,仙,0 ,,,,,00186,009,1 
0006,休,0 ,,,,,00219,009,1 
0007,低,0 ,,,,,00244,009,1 
0008,00261,0 ,,,,,00261,009,1 
0009,佳,0 ,,,,,00267,009,1 
0010,依,0 ,,,,,00301,009,1 
0011,倍,0 ,,,,,00368,009,1 
0012,倦,0 ,,,,,00387,009,1 
0013,備,0 ,,,,,00455,009,1 
0014,先,0 ,,,,,00566,010,1 
0015,内,0 ,,,,,00585,011,1 
0016,兵,0 ,,,,,00602,012,1 
0017,制,0 ,,,,,00776,018,1 
0018,刻,0 ,,,,,00783,018,1 
0019,剃,0 ,,,,,00787,018,1 
0020,前,0 ,,,,,00794,018,1 
0021,剛,0 ,,,,,00803,018,1 
0022,功,0 ,,,,,00857,019,1 
0023,勝,0 ,,,,,00893,019,1 
0024,印,0 ,,,,,01034,026,1 
0025,取,0 ,,,,,01127,029,1 
0026,口,0 ,,,,,01141,030,1 
0027,吉,0 ,,,,,01172,030,1 
0028,向,0 ,,,,,01179,030,1 
0029,命,0 ,,,,,01252,030,1 
0030,咤,0 ,,,,,01276,030,1 
0031,哉,0 ,,,,,01305,030,1 
0032,唄,0 ,,,,,01333,030,1 
0033,嘗,0 ,,,,,01479,030,1 
0034,圍,0 ,,,,,01641,031,1 
0035,園,0 ,,,,,01644,031,1 
0036,坑,0 ,,,,,01683,032,1 
0037,垢,0 ,,,,,01726,032,1 
0038,城,0 ,,,,,01740,032,1 
0039,夫,0 ,,,,,01949,037,1 
0040,奈,0 ,,,,,01973,037,1 
0041,奴,0 ,,,,,02024,038,1 
0042,02040,0 ,,,,,02040,038,1 
0043,妓,0 ,,,,,02041,038,1 
0044,妻,0 ,,,,,02061,038,1 
