,,smk_西夏法華,smk_西夏法華,smk_西夏法華,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00006,丈,0001,0,1,001
00092,乎,0002,0,1,004
00107,九,0003,0,1,005
00152,交,0004,0,1,008
00186,仙,0005,0,1,009
00219,休,0006,0,1,009
00244,低,0007,0,1,009
00261,佉,0008,0,1,009
00267,佳,0009,0,1,009
00301,依,0010,0,1,009
00368,倍,0011,0,1,009
00387,倦,0012,0,1,009
00455,備,0013,0,1,009
00566,先,0014,0,1,010
00585,内,0015,0,1,011
00602,兵,0016,0,1,012
00776,制,0017,0,1,018
00783,刻,0018,0,1,018
00787,剃,0019,0,1,018
00794,前,0020,0,1,018
00803,剛,0021,0,1,018
00857,功,0022,0,1,019
00893,勝,0023,0,1,019
01034,印,0024,0,1,026
01127,取,0025,0,1,029
01141,口,0026,0,1,030
01172,吉,0027,0,1,030
01179,向,0028,0,1,030
01252,命,0029,0,1,030
01276,咤,0030,0,1,030
01305,哉,0031,0,1,030
01333,唄,0032,0,1,030
01479,嘗,0033,0,1,030
01641,圍,0034,0,1,031
01644,園,0035,0,1,031
01683,坑,0036,0,1,032
01726,垢,0037,0,1,032
01740,城,0038,0,1,032
01949,夫,0039,0,1,037
01973,奈,0040,0,1,037
02024,奴,0041,0,1,038
02040,妒,0042,0,1,038
02041,妓,0043,0,1,038
02061,妻,0044,0,1,038
02062,妾,0045,0,1,038
02069,始,0046,0,1,038
02151,婢,0047,0,1,038
02282,孫,0048,0,1,039
02342,宮,0049,0,1,040
02347,宴,0050,0,1,040
02366,富,0051,0,1,040
02383,察,0052,0,1,040
02392,寧,0053,0,1,040
02425,將,0054,0,1,041
02446,尚,0055,0,1,042
02453,尟,0056,0,1,042
M07511,㝹,0057,0,1,042
02469,尸,0058,0,1,044
02478,尾,0059,0,1,044
02564,岸,0060,0,1,046
02625,崛,0061,0,1,046
02780,差,0062,0,1,048
02782,己,0063,0,1,049
02820,帝,0064,0,1,050
02869,幔,0065,0,1,050
02882,幢,0066,0,1,050
02899,平,0067,0,1,051
02992,廢,0068,0,1,053
03005,延,0069,0,1,054
03006,建,0070,0,1,054
03037,式,0071,0,1,056
03109,彩,0072,0,1,059
03128,往,0073,0,1,060
03153,御,0074,0,1,060
03208,快,0075,0,1,061
03233,怖,0076,0,1,061
03237,怛,0077,0,1,061
03298,息,0078,0,1,061
03320,悔,0079,0,1,061
03364,惜,0080,0,1,061
03414,愧,0081,0,1,061
03439,慈,0082,0,1,061
03453,慙,0083,0,1,061
03466,慮,0084,0,1,061
03486,憂,0085,0,1,061
03586,懸,0086,0,1,061
03661,才,0087,0,1,064
03666,打,0088,0,1,064
03761,拜,0089,0,1,064
03783,指,0090,0,1,064
03843,捶,0091,0,1,064
03927,揵,0092,0,1,064
04192,攝,0093,0,1,064
04319,變,0094,0,1,066
04376,新,0095,0,1,069
04398,旃,0096,0,1,070
04412,族,0097,0,1,070
04623,曉,0098,0,1,072
04640,曠,0099,0,1,072
04651,曲,0100,0,1,073
04654,更,0101,0,1,073
04712,末,0102,0,1,075
04738,材,0103,0,1,075
04904,校,0104,0,1,075
04942,桓,0105,0,1,075
05080,植,0106,0,1,075
05154,楯,0107,0,1,075
05291,樒,0108,0,1,075
05519,欄,0109,0,1,075
05587,欺,0110,0,1,076
05609,歌,0111,0,1,076
05666,歳,0112,0,1,077
05734,殖,0113,0,1,078
05795,殷,0114,0,1,079
05809,殿,0115,0,1,079
05834,母,0116,0,1,080
05839,毒,0117,0,1,080
05845,毗,0118,0,1,081
05952,水,0119,0,1,085
05957,永,0120,0,1,085
05986,池,0121,0,1,085
06015,沈,0122,0,1,085
06023,沒,0123,0,1,085
06045,河,0124,0,1,085
06058,況,0125,0,1,085
06063,泉,0126,0,1,085
06151,流,0127,0,1,085
06179,浴,0128,0,1,085
06381,湯,0129,0,1,085
06481,漆,0130,0,1,085
07025,爪,0131,0,1,087
07035,父,0132,0,1,088
07072,牛,0133,0,1,093
07086,特,0134,0,1,093
07103,犛,0135,0,1,093
07274,玫,0136,0,1,096
07284,珊,0137,0,1,096
07287,珍,0138,0,1,096
07327,琴,0139,0,1,096
07328,琵,0140,0,1,096
07329,琶,0141,0,1,096
07339,瑕,0142,0,1,096
07343,瑚,0143,0,1,096
07356,瑰,0144,0,1,096
07415,瓦,0145,0,1,098
07445,甎,0146,0,1,098
07469,用,0147,0,1,101
07480,甲,0148,0,1,102
07520,畢,0149,0,1,102
07522,略,0150,0,1,102
07583,疵,0151,0,1,104
07770,盛,0152,0,1,108
07828,眠,0153,0,1,109
07860,睡,0154,0,1,109
07870,睹,0155,0,1,109
07882,瞑,0156,0,1,109
M23859,矝,0157,0,1,110
07938,矣,0158,0,1,111
07954,石,0159,0,1,112
08077,礙,0160,0,1,112
08116,祕,0161,0,1,113
08233,稚,0162,0,1,115
08239,稠,0163,0,1,115
08256,稻,0164,0,1,115
08329,窮,0165,0,1,116
08376,端,0166,0,1,117
08396,笑,0167,0,1,118
08400,笛,0168,0,1,118
08423,筆,0169,0,1,118
08474,箜,0170,0,1,118
08504,篌,0171,0,1,118
08577,簫,0172,0,1,118
08712,糟,0173,0,1,119
08713,糠,0174,0,1,119
08841,絺,0175,0,1,120
08963,縛,0176,0,1,120
08982,縱,0177,0,1,120
09020,繞,0178,0,1,120
09047,繼,0179,0,1,120
09061,續,0180,0,1,120
09125,罪,0181,0,1,122
09132,罵,0182,0,1,122
09175,羣,0183,0,1,123
09257,耆,0184,0,1,125
09290,耳,0185,0,1,128
09314,聚,0186,0,1,128
09348,肉,0187,0,1,130
