統合ID,文字,カード番号,字体数,用例数,部首
00125,了,0001,0,1,006
00128,事,0002,0,1,006
00199,仰,0003,0,1,009
00230,伴,0004,0,1,009
00233,伺,0005,0,1,009
00236,伽,0006,0,1,009
00373,倒,0007,0,1,009
00385,値,0008,0,1,009
00773,刳,0009,0,1,018
01154,可,0010,0,1,030
01179,向,0011,0,1,030
01212,吹,0012,0,1,030
01412,喜,0013,0,1,030
01506,噎,0014,0,1,030
01607,四,0015,0,1,031
01710,垂,0016,0,1,032
01954,央,0017,0,1,037
02006,奢,0018,0,1,037
02051,妨,0019,0,1,038
02149,婚,0020,0,1,038
02332,室,0021,0,1,040
02796,巾,0022,0,1,050
02902,并,0023,0,1,051
02907,幻,0024,0,1,052
02924,床,0025,0,1,053
02932,底,0026,0,1,053
03138,後,0027,0,1,060
03159,復,0028,0,1,060
03194,志,0029,0,1,061
03214,念,0030,0,1,061
03286,恣,0031,0,1,061
03320,悔,0032,0,1,061
03758,招,0033,0,1,064
04192,攝,0034,0,1,064
04261,教,0035,0,1,066
04303,整,0036,0,1,066
04376,新,0037,0,1,069
04490,昔,0038,0,1,072
04679,服,0039,0,1,074
04743,杖,0040,0,1,075
04993,梨,0041,0,1,075
05639,歡,0042,0,1,076
06045,河,0043,0,1,085
06175,浮,0044,0,1,085
06476,滿,0045,0,1,085
06885,然,0046,0,1,086
06974,06974,0047,0,1,086
07200,猴,0048,0,1,094
07252,07252,0049,0,1,094
07304,現,0050,0,1,096
07403,瓜,0051,0,1,097
07508,留,0052,0,1,102
07530,異,0053,0,1,102
07801,相,0054,0,1,109
08261,穀,0055,0,1,115
08296,空,0056,0,1,116
08353,竊,0057,0,1,116
08437,答,0058,0,1,118
08493,節,0059,0,1,118
08779,細,0060,0,1,120
09290,耳,0061,0,1,128
09314,聚,0062,0,1,128
09336,聾,0063,0,1,128
09348,肉,0064,0,1,130
09436,脇,0065,0,1,130
09447,脚,0066,0,1,130
09459,脣,0067,0,1,130
09554,膳,0068,0,1,130
09910,菜,0069,0,1,140
09925,菴,0070,0,1,140
10026,蒲,0071,0,1,140
09905,09905,0072,0,1,140
10075,蔗,0073,0,1,140
10090,蕀,0074,0,1,140
10139,薄,0075,0,1,140
10189,藍,0076,0,1,140
10191,藏,0077,0,1,140
10223,蘂,0078,0,1,140
10728,裸,0079,0,1,145
10856,覺,0080,0,1,147
10875,解,0081,0,1,148
11171,識,0082,0,1,149
11189,譬,0083,0,1,149
11355,貴,0084,0,1,154
11548,路,0085,0,1,157
12698,長,0086,0,1,168
12716,開,0087,0,1,169
12757,閻,0088,0,1,169
12955,雀,0089,0,1,172
12994,雙,0090,0,1,172
13001,離,0091,0,1,172
13103,靜,0092,0,1,174
13423,風,0093,0,1,182
13573,餅,0094,0,1,184
13636,饌,0095,0,1,184
13845,驕,0096,0,1,187
14709,黒,0097,0,1,203
14809,鼻,0098,0,1,209
14828,齊,0099,0,1,210
14853,齧,0100,0,1,211
00001,一,0101,1,24,001
00008,上,0102,1,33,001
00009,下,0103,1,3,001
00013,不,0104,1,170,001
00025,世,0108,1,77,001
00026,丘,0110,1,306,001
00051,中,0117,1,48,002
00078,乃,0118,1,32,004
00085,久,0119,1,24,004
00088,之,0120,1,7,004
00109,也,0121,1,5,005
00133,云,0122,1,46,007
00168,人,0123,1,34,009
00175,今,0124,1,32,009
00183,他,0125,1,6,009
00193,令,0126,1,4,009
00194,以,0127,1,99,009
00235,似,0129,1,20,009
00245,住,0130,1,24,009
00250,何,0131,1,68,009
00255,佛,0133,1,25,009
00256,作,0134,1,69,009
00282,來,0136,1,5,009
00299,供,0137,1,12,009
00321,便,0138,1,26,009
00503,僧,0139,1,37,009
00516,儀,0140,1,46,009
00566,先,0141,1,3,010
00582,入,0142,1,49,011
00585,内,0143,1,8,011
00597,六,0144,1,86,012
00599,共,0146,1,2,012
00605,其,0147,1,28,012
00606,具,0148,1,38,012
00672,冷,0149,1,2,015
00734,分,0150,1,2,018
