カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0001,五,0 ,,,,,00135,007,1 
0002,交,0 ,,,,,00152,008,1 
0003,他,0 ,,,,,00183,009,1 
0004,00260,0 ,,,,,00260,009,1 
0005,倨,0 ,,,,,00388,009,1 
0006,傲,0 ,,,,,00467,009,1 
0007,像,0 ,,,,,00489,009,1 
0008,其,0 ,,,,,00605,012,1 
0009,初,0 ,,,,,00759,018,1 
0010,劍,0 ,,,,,00843,018,1 
0011,劑,0 ,,,,,00845,018,1 
0012,力,0 ,,,,,00856,019,1 
0013,功,0 ,,,,,00857,019,1 
0014,勤,0 ,,,,,00900,019,1 
0015,十,0 ,,,,,00985,024,1 
0016,吉,0 ,,,,,01172,030,1 
0017,向,0 ,,,,,01179,030,1 
0018,吠,0 ,,,,,01189,030,1 
0019,吽,0 ,,,,,01216,030,1 
0020,咤,0 ,,,,,01276,030,1 
0021,哩,0 ,,,,,01319,030,1 
0022,01353,0 ,,,,,01353,030,1 
0023,01508,0 ,,,,,01508,030,1 
0024,01556,0 ,,,,,01556,030,1 
0025,因,0 ,,,,,01611,031,1 
0026,圖,0 ,,,,,01647,031,1 
0027,坐,0 ,,,,,01682,032,1 
0028,垢,0 ,,,,,01726,032,1 
0029,壽,0 ,,,,,01913,033,1 
0030,娜,0 ,,,,,02119,038,1 
0031,嬉,0 ,,,,,02232,038,1 
0032,02295,0 ,,,,,02295,039,1 
0033,定,0 ,,,,,02325,040,1 
0034,宮,0 ,,,,,02342,040,1 
0035,峻,0 ,,,,,02598,046,1 
0036,02758,0 ,,,,,02758,046,1 
0037,幡,0 ,,,,,02881,050,1 
0038,干,0 ,,,,,02897,051,1 
0039,弓,0 ,,,,,03042,057,1 
0040,弱,0 ,,,,,03064,057,1 
0041,彌,0 ,,,,,03084,057,1 
0042,影,0 ,,,,,03116,059,1 
0043,往,0 ,,,,,03128,060,1 
0044,徳,0 ,,,,,03172,060,1 
0045,念,0 ,,,,,03214,061,1 
0046,忿,0 ,,,,,03220,061,1 
0047,思,0 ,,,,,03239,061,1 
0048,恐,0 ,,,,,03272,061,1 
0049,惟,0 ,,,,,03365,061,1 
0050,惹,0 ,,,,,03379,061,1 
0051,戒,0 ,,,,,03612,062,1 
0052,戸,0 ,,,,,03640,063,1 
0053,拔,0 ,,,,,03750,064,1 
0054,按,0 ,,,,,03785,064,1 
0055,捨,0 ,,,,,03835,064,1 
0056,攝,0 ,,,,,04192,064,1 
0057,04198,0 ,,,,,04198,064,1 
0058,支,0 ,,,,,04216,065,1 
0059,救,0 ,,,,,04263,066,1 
0060,散,0 ,,,,,04280,066,1 
0061,敬,0 ,,,,,04286,066,1 
0062,數,0 ,,,,,04298,066,1 
0063,斛,0 ,,,,,04349,068,1 
0064,新,0 ,,,,,04376,069,1 
0065,施,0 ,,,,,04391,070,1 
0066,曩,0 ,,,,,04645,072,1 
0067,曳,0 ,,,,,04653,073,1 
0068,本,0 ,,,,,04713,075,1 
0069,杜,0 ,,,,,04747,075,1 
0070,欲,0 ,,,,,05580,076,1 
0071,歡,0 ,,,,,05639,076,1 
0072,正,0 ,,,,,05643,077,1 
0073,歩,0 ,,,,,05645,077,1 
0074,汝,0 ,,,,,05983,085,1 
0075,沙,0 ,,,,,06031,085,1 
0076,流,0 ,,,,,06151,085,1 
0077,深,0 ,,,,,06285,085,1 
0078,清,0 ,,,,,06290,085,1 
0079,澀,0 ,,,,,06630,085,1 
0080,濟,0 ,,,,,06641,085,1 
0081,灑,0 ,,,,,06750,085,1 
0082,焔,0 ,,,,,06882,086,1 
0083,照,0 ,,,,,06918,086,1 
0084,燈,0 ,,,,,06971,086,1 
0085,犂,0 ,,,,,07091,093,1 
0086,申,0 ,,,,,07481,102,1 
0087,畏,0 ,,,,,07503,102,1 
0088,皆,0 ,,,,,07717,106,1 
0089,眞,0 ,,,,,07827,109,1 
0090,知,0 ,,,,,07941,111,1 
0091,矩,0 ,,,,,07944,111,1 
0092,示,0 ,,,,,08097,113,1 
0093,祕,0 ,,,,,08116,113,1 
0094,第,0 ,,,,,08412,118,1 
0095,箭,0 ,,,,,08479,118,1 
0096,終,0 ,,,,,08795,120,1 
0097,絡,0 ,,,,,08817,120,1 
0098,綵,0 ,,,,,08889,120,1 
0099,09011,0 ,,,,,09011,120,1 
0100,耀,0 ,,,,,09249,124,1 
0101,聖,0 ,,,,,09308,128,1 
0102,聞,0 ,,,,,09315,128,1 
0103,色,0 ,,,,,09716,139,1 
0104,藥,0 ,,,,,10204,140,1 
0105,被,0 ,,,,,10683,145,1 
0106,補,0 ,,,,,10714,145,1 
0107,西,0 ,,,,,10820,146,1 
0108,視,0 ,,,,,10837,147,1 
0109,角,0 ,,,,,10860,148,1 
0110,計,0 ,,,,,10896,149,1 
0111,設,0 ,,,,,10928,149,1 
0112,詣,0 ,,,,,10974,149,1 
0113,諷,0 ,,,,,11084,149,1 
0114,警,0 ,,,,,11185,149,1 
0115,豐,0 ,,,,,11261,151,1 
0116,貴,0 ,,,,,11355,154,1 
0117,越,0 ,,,,,11471,156,1 
0118,足,0 ,,,,,11495,157,1 
0119,迦,0 ,,,,,11960,162,1 
0120,邏,0 ,,,,,12120,162,1 
0121,M53244,0 ,,,,,,030,1 
0122,鈿,0 ,,,,,12421,167,1 
0123,鑁,0 ,,,,,,167,1 
0124,間,0 ,,,,,12724,169,1 
0125,12742,0 ,,,,,12742,169,1 
0126,阿,0 ,,,,,12830,170,1 
0127,降,0 ,,,,,12838,170,1 
0128,霓,0 ,,,,,13047,173,1 
0129,面,0 ,,,,,13108,176,1 
0130,響,0 ,,,,,13293,180,1 
0131,頃,0 ,,,,,13297,181,1 
0132,須,0 ,,,,,13304,181,1 
0133,題,0 ,,,,,13376,181,1 
0134,顧,0 ,,,,,13409,181,1 
0135,驗,0 ,,,,,13849,187,1 
0136-0141,一,1 ,286 ,,,,00001,001,6 
0142-0143,三,1 ,86 ,,,,00007,001,2 
0144,上,1 ,2 ,,,,00008,001,1 
0145,下,1 ,4 ,,,,00009,001,1 
0146,不,1 ,14 ,,,,00013,001,1 
0147-0148,世,1 ,83 ,,,,00025,001,2 
0149,中,1 ,18 ,,,,00051,002,1 
0150,主,1 ,6 ,,,,00070,003,1 
0151,乃,1 ,5 ,,,,00078,004,1 
0152,之,1 ,2 ,,,,00088,004,1 
0153,乘,1 ,2 ,,,,00102,004,1 
0154,乞,1 ,2 ,,,,00108,005,1 
0155,事,1 ,3 ,,,,00128,006,1 
0156,亦,1 ,2 ,,,,00154,008,1 
0157,仗,1 ,4 ,,,,00184,009,1 
0158,令,1 ,15 ,,,,00193,009,1 
0159,以,1 ,20 ,,,,00194,009,1 
0160,伏,1 ,7 ,,,,00217,009,1 
0161,伽,1 ,27 ,,,,00236,009,1 
0162,住,1 ,30 ,,,,00245,009,1 
0163-0164,佛,1 ,53 ,,,,00255,009,2 
0165,作,1 ,22 ,,,,00256,009,1 
0166,使,1 ,4 ,,,,00279,009,1 
0167-0170,來,1 ,198 ,,,,00282,009,4 
0171,供,1 ,40 ,,,,00299,009,1 
0172,依,1 ,21 ,,,,00301,009,1 
0173,便,1 ,6 ,,,,00321,009,1 
0174,僕,1 ,2 ,,,,00493,009,1 
0175,僮,1 ,2 ,,,,00506,009,1 
0176,儀,1 ,11 ,,,,00516,009,1 
0177,光,1 ,19 ,,,,00567,010,1 
0178,入,1 ,48 ,,,,00582,011,1 
0179,八,1 ,5 ,,,,00594,012,1 
0180,具,1 ,4 ,,,,00606,012,1 
0181-0182,出,1 ,83 ,,,,00723,017,2 
0183,分,1 ,2 ,,,,00734,018,1 
0184-0189,切,1 ,257 ,,,,00735,018,6 
0190,利,1 ,7 ,,,,00767,018,1 
0191,刹,1 ,3 ,,,,00781,018,1 
0192,則,1 ,28 ,,,,00789,018,1 
0193,前,1 ,2 ,,,,00794,018,1 
0194,加,1 ,14 ,,,,00858,019,1 
0195,勅,1 ,2 ,,,,00879,019,1 
0196,勇,1 ,2 ,,,,00881,019,1 
0197,動,1 ,4 ,,,,00887,019,1 
0198,勝,1 ,15 ,,,,00893,019,1 
0199,南,1 ,26 ,,,,01010,024,1 
0200,印,1 ,44 ,,,,01034,026,1 
0201,即,1 ,12 ,,,,01049,026,1 
0202,友,1 ,5 ,,,,01112,029,1 
0203,受,1 ,6 ,,,,01128,029,1 
0204,口,1 ,2 ,,,,01141,030,1 
0205,右,1 ,2 ,,,,01158,030,1 
0206,各,1 ,2 ,,,,01168,030,1 
0207,合,1 ,2 ,,,,01170,030,1 
0208,名,1 ,44 ,,,,01175,030,1 
0209,周,1 ,2 ,,,,01235,030,1 
0210,哉,1 ,19 ,,,,01305,030,1 
0211,善,1 ,7 ,,,,01395,030,1 
0212,01455,1 ,26 ,,,,01455,030,1 
0213,器,1 ,5 ,,,,01523,030,1 
0214,01569,1 ,27 ,,,,01569,030,1 
0215,嚴,1 ,17 ,,,,01581,030,1 
0216,01594,1 ,17 ,,,,01594,030,1 
0217,四,1 ,8 ,,,,01607,031,1 
0218,固,1 ,9 ,,,,01627,031,1 
0219,圍,1 ,2 ,,,,01641,031,1 
0220,在,1 ,3 ,,,,01659,032,1 
0221,地,1 ,36 ,,,,01666,032,1 
