統合ID,文字,院政大教,字体数,用例数,部首
00135,五,0001,0,1,007
00152,交,0002,0,1,008
00183,他,0003,0,1,009
00260,伱,0004,0,1,009
00388,倨,0005,0,1,009
00467,傲,0006,0,1,009
00489,像,0007,0,1,009
00605,其,0008,0,1,012
00759,初,0009,0,1,018
00843,劍,0010,0,1,018
00845,劑,0011,0,1,018
00856,力,0012,0,1,019
00857,功,0013,0,1,019
00900,勤,0014,0,1,019
00985,十,0015,0,1,024
01172,吉,0016,0,1,030
01179,向,0017,0,1,030
01189,吠,0018,0,1,030
01216,吽,0019,0,1,030
01276,咤,0020,0,1,030
01319,哩,0021,0,1,030
01353,唵,0022,0,1,030
01508,噁,0023,0,1,030
01556,嚕,0024,0,1,030
01611,因,0025,0,1,031
01647,圖,0026,0,1,031
01682,坐,0027,0,1,032
01726,垢,0028,0,1,032
01913,壽,0029,0,1,033
02119,娜,0030,0,1,038
02232,嬉,0031,0,1,038
02295,孼,0032,0,1,039
02325,定,0033,0,1,040
02342,宮,0034,0,1,040
02598,峻,0035,0,1,046
02758,巘,0036,0,1,046
02881,幡,0037,0,1,050
02897,干,0038,0,1,051
03042,弓,0039,0,1,057
03064,弱,0040,0,1,057
03084,彌,0041,0,1,057
03116,影,0042,0,1,059
03128,往,0043,0,1,060
03172,德,0044,0,1,060
03214,念,0045,0,1,061
03220,忿,0046,0,1,061
03239,思,0047,0,1,061
03272,恐,0048,0,1,061
03365,惟,0049,0,1,061
03379,惹,0050,0,1,061
03612,戒,0051,0,1,062
03640,戸,0052,0,1,063
03750,拔,0053,0,1,064
03785,按,0054,0,1,064
03835,捨,0055,0,1,064
04192,攝,0056,0,1,064
04198,攞,0057,0,1,064
04216,支,0058,0,1,065
04263,救,0059,0,1,066
04280,散,0060,0,1,066
04286,敬,0061,0,1,066
04298,數,0062,0,1,066
04349,斛,0063,0,1,068
04376,新,0064,0,1,069
04391,施,0065,0,1,070
04645,曩,0066,0,1,072
04653,曳,0067,0,1,073
04713,本,0068,0,1,075
04747,杜,0069,0,1,075
05580,欲,0070,0,1,076
05639,歡,0071,0,1,076
05643,正,0072,0,1,077
05645,步,0073,0,1,077
05983,汝,0074,0,1,085
06031,沙,0075,0,1,085
06151,流,0076,0,1,085
06285,深,0077,0,1,085
06290,清,0078,0,1,085
06630,澀,0079,0,1,085
06641,濟,0080,0,1,085
06750,灑,0081,0,1,085
06882,焰,0082,0,1,086
06918,照,0083,0,1,086
06971,燈,0084,0,1,086
07091,犂,0085,0,1,093
07481,申,0086,0,1,102
07503,畏,0087,0,1,102
07717,皆,0088,0,1,106
07827,眞,0089,0,1,109
07941,知,0090,0,1,111
07944,矩,0091,0,1,111
08097,示,0092,0,1,113
08116,祕,0093,0,1,113
08412,第,0094,0,1,118
08479,箭,0095,0,1,118
08795,終,0096,0,1,120
08817,絡,0097,0,1,120
08889,綵,0098,0,1,120
09011,繒,0099,0,1,120
09249,耀,0100,0,1,124
09308,聖,0101,0,1,128
09315,聞,0102,0,1,128
09716,色,0103,0,1,139
10204,藥,0104,0,1,140
10683,被,0105,0,1,145
10714,補,0106,0,1,145
10820,西,0107,0,1,146
10837,視,0108,0,1,147
10860,角,0109,0,1,148
10896,計,0110,0,1,149
10928,設,0111,0,1,149
10974,詣,0112,0,1,149
11084,諷,0113,0,1,149
11185,警,0114,0,1,149
11261,豐,0115,0,1,151
11355,貴,0116,0,1,154
11471,越,0117,0,1,156
