カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0001,慚,0 ,,,,,,000,1 
0002,互,0 ,,,,,00134,007,1 
0003,任,0 ,,,,,00206,009,1 
0004,侵,0 ,,,,,00317,009,1 
0005,促,0 ,,,,,00324,009,1 
0006,倦,0 ,,,,,00387,009,1 
0007,假,0 ,,,,,00405,009,1 
0008,偏,0 ,,,,,00411,009,1 
0009,健,0 ,,,,,00421,009,1 
0010,傷,0 ,,,,,00473,009,1 
0011,僉,0 ,,,,,00483,009,1 
0012,價,0 ,,,,,00513,009,1 
0013,兄,0 ,,,,,00561,010,1 
0014,凍,0 ,,,,,00684,015,1 
0015,凡,0 ,,,,,00701,016,1 
0016,則,0 ,,,,,00789,018,1 
0017,割,0 ,,,,,00820,018,1 
0018,劇,0 ,,,,,00838,018,1 
0019,加,0 ,,,,,00858,019,1 
0020,勉,0 ,,,,,00882,019,1 
0021,勸,0 ,,,,,00913,019,1 
0022,勿,0 ,,,,,00919,020,1 
0023,北,0 ,,,,,00941,021,1 
0024,匱,0 ,,,,,00968,022,1 
0025,匿,0 ,,,,,00983,023,1 
0026,博,0 ,,,,,01016,024,1 
0027,危,0 ,,,,,01035,026,1 
0028,反,0 ,,,,,01116,029,1 
0029,取,0 ,,,,,01127,029,1 
0030,吝,0 ,,,,,01186,030,1 
0031,呼,0 ,,,,,01251,030,1 
0032,和,0 ,,,,,01263,030,1 
0033,品,0 ,,,,,01296,030,1 
0034,哭,0 ,,,,,01323,030,1 
0035,唐,0 ,,,,,01342,030,1 
0036,唱,0 ,,,,,01350,030,1 
0037,商,0 ,,,,,01363,030,1 
0038,啓,0 ,,,,,01373,030,1 
0039,01503,0 ,,,,,01503,030,1 
0040,囚,0 ,,,,,01606,031,1 
0041,困,0 ,,,,,01623,031,1 
0042,囹,0 ,,,,,01626,031,1 
0043,圄,0 ,,,,,01634,031,1 
0044,執,0 ,,,,,01755,032,1 
0045,堪,0 ,,,,,01789,032,1 
0046,夢,0 ,,,,,01943,036,1 
0047,奏,0 ,,,,,01981,037,1 
0048,02040,0 ,,,,,02040,038,1 
0049,妾,0 ,,,,,02062,038,1 
0050,姉,0 ,,,,,02068,038,1 
0051,婦,0 ,,,,,02155,038,1 
0052,孤,0 ,,,,,02277,039,1 
0053,孫,0 ,,,,,02282,039,1 
0054,宅,0 ,,,,,02306,040,1 
0055,官,0 ,,,,,02323,040,1 
0056,室,0 ,,,,,02332,040,1 
0057,宵,0 ,,,,,02348,040,1 
0058,寒,0 ,,,,,02371,040,1 
0059,尋,0 ,,,,,02430,041,1 
0060,對,0 ,,,,,02435,041,1 
0061,導,0 ,,,,,02436,041,1 
0062,屈,0 ,,,,,02485,044,1 
0063,屋,0 ,,,,,02488,044,1 
0064,巧,0 ,,,,,02775,048,1 
0065,幹,0 ,,,,,02905,051,1 
0066,幻,0 ,,,,,02907,052,1 
0067,幽,0 ,,,,,02912,052,1 
0068,底,0 ,,,,,02932,053,1 
0069,庶,0 ,,,,,02961,053,1 
0070,延,0 ,,,,,03005,054,1 
0071,弊,0 ,,,,,03027,055,1 
0072,引,0 ,,,,,03044,057,1 
0073,強,0 ,,,,,03066,057,1 
0074,徒,0 ,,,,,03143,060,1 
0075,徹,0 ,,,,,03173,060,1 
0076,必,0 ,,,,,03180,061,1 
0077,03182,0 ,,,,,03182,061,1 
0078,忍,0 ,,,,,03184,061,1 
0079,忘,0 ,,,,,03196,061,1 
0080,怙,0 ,,,,,03235,061,1 
0081,怠,0 ,,,,,03240,061,1 
0082,怨,0 ,,,,,03245,061,1 
0083,恕,0 ,,,,,03275,061,1 
0084,恩,0 ,,,,,03292,061,1 
0085,悦,0 ,,,,,03309,061,1 
0086,惜,0 ,,,,,03364,061,1 
0087,03378,0 ,,,,,03378,061,1 
0088,愧,0 ,,,,,03414,061,1 
0089,慰,0 ,,,,,03469,061,1 
0090,懈,0 ,,,,,03549,061,1 
0091,才,0 ,,,,,03661,064,1 
0092,扣,0 ,,,,,03675,064,1 
0093,扶,0 ,,,,,03686,064,1 
0094,拔,0 ,,,,,03750,064,1 
0095,拘,0 ,,,,,03757,064,1 
0096,振,0 ,,,,,03799,064,1 
0097,捐,0 ,,,,,03825,064,1 
0098,控,0 ,,,,,03879,064,1 
0099,措,0 ,,,,,03882,064,1 
0100,03958,0 ,,,,,03958,064,1 
0101,撃,0 ,,,,,04087,064,1 
0102,04091,0 ,,,,,04091,064,1 
0103,支,0 ,,,,,04216,065,1 
0104,政,0 ,,,,,04235,066,1 
0105,敵,0 ,,,,,04293,066,1 
0106,旱,0 ,,,,,04461,072,1 
0107,昇,0 ,,,,,04480,072,1 
0108,映,0 ,,,,,04500,072,1 
0109,暴,0 ,,,,,04608,072,1 
0110,曉,0 ,,,,,04623,072,1 
0111,曜,0 ,,,,,04636,072,1 
0112,更,0 ,,,,,04654,073,1 
0113,曾,0 ,,,,,04661,073,1 
