統合ID,文字,カード番号,字体数,用例数,部首
00217,伏,0001,0,1,009
00219,休,0002,0,1,009
00235,似,0003,0,1,009
00240,但,0004,0,1,009
00246,佐,0005,0,1,009
00316,侶,0006,0,1,009
00406,偈,0007,0,1,009
00471,債,0008,0,1,009
00473,傷,0009,0,1,009
00574,兒,0010,0,1,010
00605,其,0011,0,1,012
00662,冬,0012,0,1,015
00729,刀,0013,0,1,018
00735,切,0014,0,1,018
00776,制,0015,0,1,018
00781,刹,0016,0,1,018
00794,前,0017,0,1,018
00857,功,0018,0,1,019
00858,加,0019,0,1,019
00865,劫,0020,0,1,019
00872,効,0021,0,1,019
00893,勝,0022,0,1,019
00938,化,0023,0,1,021
01038,却,0024,0,1,026
01116,反,0025,0,1,029
01174,同,0026,0,1,030
01256,咄,0027,0,1,030
01654,土,0028,0,1,032
01666,地,0029,0,1,032
01676,坊,0030,0,1,032
01682,坐,0031,0,1,032
01710,垂,0032,0,1,032
01767,堅,0033,0,1,032
01878,壇,0034,0,1,032
01927,夏,0035,0,1,035
01961,夷,0036,0,1,037
02045,妙,0037,0,1,038
02059,妹,0038,0,1,038
02068,姉,0039,0,1,038
02142,婆,0040,0,1,038
02159,婬,0041,0,1,038
02167,婿,0042,0,1,038
02413,寸,0043,0,1,041
02499,屏,0044,0,1,044
02915,幾,0045,0,1,052
03027,弊,0046,0,1,055
03132,待,0047,0,1,060
03165,微,0048,0,1,060
03180,必,0049,0,1,061
03196,忘,0050,0,1,061
03278,恚,0051,0,1,061
03297,恭,0052,0,1,061
03335,悲,0053,0,1,061
03439,慈,0054,0,1,061
03486,憂,0055,0,1,061
03534,憶,0056,0,1,061
03636,戲,0057,0,1,062
03785,按,0058,0,1,064
03845,捺,0059,0,1,064
04062,撥,0060,0,1,064
04286,敬,0061,0,1,066
04321,文,0062,0,1,067
04503,春,0063,0,1,072
04557,普,0064,0,1,072
04699,期,0065,0,1,074
05087,椒,0066,0,1,075
05228,槃,0067,0,1,075
05293,樓,0068,0,1,075
05333,05333,0069,0,1,075
05391,檀,0070,0,1,075
05589,欽,0071,0,1,076
05639,歡,0072,0,1,076
05947,氣,0073,0,1,084
05979,汚,0074,0,1,085
06145,活,0075,0,1,085
06285,深,0076,0,1,085
06317,渠,0077,0,1,085
06324,06324,0078,0,1,085
06776,火,0079,0,1,086
06939,熊,0080,0,1,086
07087,牽,0081,0,1,093
07192,猪,0082,0,1,094
07287,珍,0083,0,1,096
07456,甘,0084,0,1,099
