カード番号,JIS,字体数,用例数,用例数2,大字典番号,部首番号
0001,乘,0,1,,00102,4
0002,似,0,1,,00235,9
0003,倦,0,1,,00387,9
0004,偈,0,1,,00406,9
0005,傍,0,1,,00449,9
0006,僉,0,1,,00483,9
0007,克,0,1,,00568,10
0008,内,0,1,,00585,11
0009,兩,0,1,,00591,11
0010,分,0,1,,00734,18
0011,制,0,1,,00776,18
0012,則,0,1,,00789,18
0013,劣,0,1,,00859,19
0014,助,0,1,,00863,19
0015,勞,0,1,,00894,19
0016,匝,0,1,,00951,22
0017,千,0,1,,00987,24
0018,厭,0,1,,01088,27
0019,合,0,1,,01170,30
0020,哀,0,1,,01295,30
0021,坦,0,1,,01690,32
0022,堅,0,1,,01767,32
0023,墮,0,1,,01863,32
0024,壽,0,1,,01913,33
0025,多,0,1,,01938,36
0026,夢,0,1,,01943,36
0027,契,0,1,,01984,37
0028,奮,0,1,,02019,37
0029,宜,0,1,,02327,40
0030,宮,0,1,,02342,40
0031,家,0,1,,02349,40
0032,將,0,1,,02425,41
0033,専,0,1,,02426,41
0034,少,0,1,,02440,42
0035,就,0,1,,02464,43
0036,屬,0,1,,02515,44
0037,峰,0,1,,02589,46
0038,布,0,1,,02800,50
0039,幻,0,1,,02907,52
0040,弘,0,1,,03047,57
0041,待,0,1,,03132,60
0042,後,0,1,,03138,60
0043,忽,0,1,,03219,61
0044,怖,0,1,,03233,61
0045,恭,0,1,,03297,61
0046,悲,0,1,,03335,61
0047,惑,0,1,,03355,61
0048,惟,0,1,,03365,61
0049,惡,0,1,,03367,61
0050,想,0,1,,03373,61
0051,感,0,1,,03409,61
0052,摧,0,1,,04008,64
0053,支,0,1,,04216,65
0054,敬,0,1,,04286,66
0055,斷,0,1,,04381,69
0056,暢,0,1,,04600,72
0057,曉,0,1,,04623,72
0058,最,0,1,,04664,73
0059,月,0,1,,04673,74
0060,末,0,1,,04712,75
0061,枝,0,1,,04807,75
0062,栴,0,1,,04918,75
0063,業,0,1,,05152,75
0064,樓,0,1,,05293,75
0065,機,0,1,,05368,75
0066,歎,0,1,,05612,76
0067,死,0,1,,05686,78
0068,殿,0,1,,05809,79
0069,毫,0,1,,05867,82
0070,水,0,1,,05952,85
0071,流,0,1,,06151,85
0072,淺,0,1,,06292,85
0073,滞,0,1,,06462,85
0074,潔,0,1,,06532,85
0075,熟,0,1,,06949,86
0076,熾,0,1,,06965,86
0077,物,0,1,,07080,93
0078,特,0,1,,07086,93
0079,状,0,1,,07122,94
0080,猶,0,1,,07203,94
0081,珞,0,1,,07290,96
0082,瑠,0,1,,07348,96
0083,璃,0,1,,07366,96
0084,瓔,0,1,,07397,96
0085,用,0,1,,07469,101
0086,疲,0,1,,07580,104
0087,白,0,1,,07709,106
0088,眉,0,1,,07813,109
0089,眷,0,1,,07839,109
0090,端,0,1,,08376,117
0091,第,0,1,,08412,118
0092,終,0,1,,08795,120
0093,絡,0,1,,08817,120
0094,縁,0,1,,08924,120
0095,纓,0,1,,09072,120
0096,習,0,1,,09214,124
0097,聚,0,1,,09314,128
0098,舒,0,1,,09643,135
0099,茎,0,1,,09874,140
0100,葉,0,1,,09966,140
0101,蒙,0,1,,10008,140
0102,蘂,0,1,,10099,140
0103,覲,0,1,,10852,147
0104,誓,0,1,,11008,149
0105,識,0,1,,11171,149
0106,赴,0,1,,11457,156
0107,軍,0,1,,11745,159
0108,辟,0,1,,11898,160
0109,迅,0,1,,11937,162
0110,迥,0,1,,11958,162
0111,退,0,1,,11982,162
0112,遊,0,1,,12042,162
0113,過,0,1,,12046,162
0114,邪,0,1,,12139,163
0115,錯,0,1,,12528,167
0116,〓,0,1,,12592y,167
0117,鐸,0,1,,12657,167
0118,閣,0,1,,12739,169
0119,闡,0,1,,12795,169
0120,雖,0,1,,12991,172
0121,非,0,1,,13104,175
0122,頃,0,1,,13297,181
0123,類,0,1,,13398,181
0124,飾,0,1,,13542,184
0125,髻,0,1,,13970,190
