大字典番号,JIS,カード番号,字体数,用例数,部首番号
00102,乘,0001,0,1,4
00235,似,0002,0,1,9
00387,倦,0003,0,1,9
00406,偈,0004,0,1,9
00449,傍,0005,0,1,9
00483,僉,0006,0,1,9
00568,克,0007,0,1,10
00585,内,0008,0,1,11
00591,兩,0009,0,1,11
00734,分,0010,0,1,18
00776,制,0011,0,1,18
00789,則,0012,0,1,18
00859,劣,0013,0,1,19
00863,助,0014,0,1,19
00894,勞,0015,0,1,19
00951,匝,0016,0,1,22
00987,千,0017,0,1,24
01088,厭,0018,0,1,27
01170,合,0019,0,1,30
01295,哀,0020,0,1,30
01690,坦,0021,0,1,32
01767,堅,0022,0,1,32
01863,墮,0023,0,1,32
01913,壽,0024,0,1,33
01938,多,0025,0,1,36
01943,夢,0026,0,1,36
01984,契,0027,0,1,37
02019,奮,0028,0,1,37
02327,宜,0029,0,1,40
02342,宮,0030,0,1,40
02349,家,0031,0,1,40
02425,將,0032,0,1,41
02426,専,0033,0,1,41
02440,少,0034,0,1,42
02464,就,0035,0,1,43
02515,屬,0036,0,1,44
02589,峰,0037,0,1,46
02800,布,0038,0,1,50
02907,幻,0039,0,1,52
03047,弘,0040,0,1,57
03132,待,0041,0,1,60
03138,後,0042,0,1,60
03219,忽,0043,0,1,61
03233,怖,0044,0,1,61
03297,恭,0045,0,1,61
03335,悲,0046,0,1,61
03355,惑,0047,0,1,61
03365,惟,0048,0,1,61
03367,惡,0049,0,1,61
03373,想,0050,0,1,61
03409,感,0051,0,1,61
04008,摧,0052,0,1,64
04216,支,0053,0,1,65
04286,敬,0054,0,1,66
04381,斷,0055,0,1,69
04600,暢,0056,0,1,72
04623,曉,0057,0,1,72
04664,最,0058,0,1,73
04673,月,0059,0,1,74
04712,末,0060,0,1,75
04807,枝,0061,0,1,75
04918,栴,0062,0,1,75
05152,業,0063,0,1,75
05293,樓,0064,0,1,75
05368,機,0065,0,1,75
05612,歎,0066,0,1,76
05686,死,0067,0,1,78
05809,殿,0068,0,1,79
05867,毫,0069,0,1,82
05952,水,0070,0,1,85
06151,流,0071,0,1,85
