No.,略称,年度,,分類,資料名,作成年代,フォルダ名
01,P2179,17年,jou,敦煌南北朝寫本,誠實論卷八(P2179),514年,01_誠實論卷八（P.2179）
02,S2067,17年,keg,敦煌南北朝寫本,華嚴經卷十六(S2067),514年,02_華嚴經卷十六（S.2067）
03,S81,17年,dng,敦煌南北朝寫本,大般涅槃經卷十一(S81),506年,03_大般涅槃經卷十一（S.81）
04,S767,,dai,敦煌南北朝寫本,大般涅槃經卷二十三(S767),6C,04_大般涅槃經卷二十三（S.767）
05,P2160,17年,mam,敦煌南北朝寫本,摩訶摩耶經卷上(P2160),586年,05_摩訶摩耶經卷上（P.2160）
06,P2413,17年,drt,隋寫本,大樓炭經卷三(P2413),589年,06_大樓炭經卷三（P.2413）
07,賢劫經二,17年,kgk,隋寫本,賢劫經卷二(正倉院本),610年,07_賢劫經卷二（正倉院本）
08,P2334,17年,myz,隋寫本,妙法蓮華經卷五(P2334),617年,08_妙法蓮華經卷五（P.2334）
09,京博大品,17年,kda,高昌本,大品經卷二十八(京都国立博物館本),高昌期,09_大品經卷二十八（京都国立博物館本）
10,宮廷今西,16年,khi,初唐寫本,妙法蓮華經卷五(今西本),671年,10_妙法蓮華經卷五（今西本）
11,宮廷守屋,16年,khm,初唐寫本,妙法蓮華經卷三(守屋本),675年,11_妙法蓮華經卷三（守屋本）
12,P2195,,,初唐寫本,妙法蓮華經卷六(P2195),675年,12_妙法蓮華經卷六（P.2195）
13,S2577,16年,hok,初唐寫本,妙法蓮華經卷八(S2577),7C末,13_妙法蓮華經卷八（S.2577）
14,漢書楊雄,16年,kyd,初唐寫本,漢書楊雄傳(上野本),初唐,14_漢書楊雄傳（上野本）
15,花嚴守屋,17年,sok,則天寫本,花嚴經卷八(守屋本),則天期,15_花嚴經卷八（守屋本）
16,S2423,17年,yhk,盛唐寫本,瑜伽法鏡經(S2423),712年寫,16_瑜伽法鏡經（S.2423）
17,開成孝經,18年,kak,開成石經,開成石經孝經,837年,17_開成石經孝經
18,開成論語,16年,kar,開成石經,開成石經論語,837年,18_開成石經論語
19,開成周易,16年,kae,開成石經,開成石經周易,837年,19_開成石經周易
20,開成九經,,kji,開成石經,開成石經九經字樣,837年,20_開成石經九經字樣
21,開成五經,,gom,開成石經,開成石經五經文字,837年,21_開成石經五經文字
22,S5309,18年,sys,吐蕃寫本,瑜伽師地論卷三十(S5309),857年,22_瑜伽師地論卷三十（S.5309）
23,宝篋天理,,khh,北宋版,宝篋印陀羅尼經(天理図書館本),970年代,23_宝篋印陀羅尼經（天理図書館本）
24,通典卷一,18年,tsu,北宋版,通典卷一,11C,24_通典卷一
25,東禪毘婆,16年,tzj,北宋版,阿毘達磨大毘婆沙論卷百七(東禪寺版),1100年,25_阿毘達磨毘婆沙論卷百七（東禪寺版）
26,斉民要術,16年,hos,北宋版,齊民要術卷五(高山寺本),12C前期,26_齊民要術卷五（高山寺本）
27,京博金般,,,北宋版,金剛般若經(京都国立博物館本),,27_金剛般若經（京都国立博物館本）
28,華厳孔目,16年,nak,南宋版,華嚴孔目(高山寺本),1146年,28_華嚴孔目（高山寺本）
29,開元神足,16年,jhk,北宋版,神足變化經(開元寺版),1127年,29_神足變化經（開元寺版）
30,法藏和尚,18年,hod,南宋版,法藏和尚傳(高山寺本),1149年,30_法藏和尚傳（高山寺本）
31,光武帝紀,18年,gok,南宋版,後漢書光武帝紀,12C末,31_後漢書光武帝紀
32,瑜師北大,,,僞寫本,瑜伽師地論卷第二(北海道大学本),20C寫本,32_瑜伽師地論卷第二（北海道大学本）
33,岩崎紀24,16年,ink,日本書紀,卷二十四(岩崎本),10C,33_卷二十四（岩崎本）
34,圖書紀24,17年,nto,日本書紀,卷二十四(圖書寮本),1142年頃,34_卷二十四（圖書寮本）
35,北野紀24,,nki,日本書紀,卷二十四(北野本),12C,35_卷二十四（北野本）
36,兼右紀24,17年,nkm,日本書紀,卷二十四(兼右本),1540年,36_卷二十四（兼右本）
37,寛九紀24,18年,k24,日本書紀,卷二十四(寛文九年版),1669年,37_卷二十四（寛文九年版）
38,鴨脚紀2,,ini,日本書紀,卷二(鴨脚本),1236年,38_卷二（鴨脚本）
39,兼方紀2,16年,nkk,日本書紀,卷二(兼方本),1286年,39_卷二（兼方本）
40,紀纂疏6,,kni,日本書紀,日本書紀纂疏卷六(清原宣賢寫),1511年,40_日本書記纂疏卷六（清原宣賢寫）
41,勅版紀2,16年,kcc,日本書紀,卷二(慶長勅版),1599年,41_卷二（慶長勅版）
42,慶長紀2,18年,kcj,日本書紀,卷二(慶長十五年版),1610年,42_卷二（慶長十五年版）
43,寛九紀2,18年,kbk,日本書紀,卷二(寛文九年版),1669年,43_卷二（寛文九年版）
44,花嚴新羅,18年,sik,韓国資料,花嚴經卷八(新羅本寫本),754年,44_花嚴經卷八（新羅本寫本）
45,趙氏金般,,ckh,韓国資料,金剛般若經(趙氏藏寫本),8-9C,45_金剛般若經（趙氏藏寫本）
46,古麗華20,18年,skk,韓国資料,華嚴經卷二十(晉本高麗古版),10C,46_華嚴經卷二十（晉本高麗古版）
47,初麗瑜5,18年,kyu,韓国資料,瑜伽師地論卷五(高麗初彫本),11C,47_瑜伽論卷五（高麗初彫本）
48,再麗華6,18年,ksk,韓国資料,華嚴經卷六(高麗再彫本),13C,48_華嚴經卷六（高麗再彫本）
49,和寧華38,18年,wan,大和寧（渤海？）寫本,華嚴經卷三十八(趙氏藏本),9-10C,49_華嚴經卷三十八（趙氏藏本）
50,金剛小川,17年,okd,日本寫刊典籍文書,金剛場陀羅尼經(小川本),686年,50_金剛場陀羅尼經（小川本）
51,藤原木簡,,fmo,日本寫刊典籍文書,藤原宮木簡,7C末-8C初,51_藤原宮木簡
52,大籍本簀,,tkh,日本寫刊典籍文書,大宝二年御野國戸籍本簀郡,702年,52_大宝二年御野國戸籍本簀郡
53,大籍味蜂,,tkm,日本寫刊典籍文書,大宝二年御野國戸籍味蜂郡,702年,53_大宝二年御野國戸籍味蜂郡
54,和銅250,16年,wad,日本寫刊典籍文書,大般若經卷二百五十(和銅經),712年,54_大般若經卷二百五十（和銅經）
55,弥勒上生,17年,kmi,日本寫刊典籍文書,弥勒上生經(高山寺本),738年,55_弥勒上生經（高山寺本）
55',弥勒奧書,17年,kmo,日本寫刊典籍文書,弥勒上生經奧書(高山寺本),738年,
56,五一續高,17年,zkd,日本寫刊典籍文書,續高僧傳(五月一日經),740年,56_續高僧傳（五月一日經）（天平寫經）
57,金剛大教,16年,doh,日本寫刊典籍文書,金剛大教王經卷一(高山寺本),815年,57_金剛大教王經卷一（高山寺本）
58,成唯識10,17年,jyu,日本寫刊典籍文書,成唯識論卷十(寛治二年刊本),1088年,58_成唯識論卷十（寛治二年刊本）
59,徳富文鏡,,tbu,日本寫刊典籍文書,文鏡秘府論地卷(徳富本),12C前半,59_文鏡秘府論地卷（徳富本）
60,佛説大教,16年,tzs,日本寫刊典籍文書,佛説大教王經卷一(東禪寺版日本寫本),12C,60_佛説大教王經卷一（東禪寺版日本寫本）
61,最上秘密,,sai,日本寫刊典籍文書,最上秘密那拏天經(東禪寺版日本寫本),12C,61_最上秘密那拏天經（東禪寺版日本寫本）
62,春日般若,,kad,日本寫刊典籍文書,大般若經卷八十(春日版),13C,62_大般若經卷八十（春日版）
63,淨土十疑,,jjr,日本寫刊典籍文書,淨土十疑論,13C,63_淨土十疑論
64,華嚴信種,18年,kss,日本寫刊典籍文書,華嚴信種義(明惠自筆),1221年,64_華嚴信種義（明惠自筆）
65,阿弥陀註,,sam,日本寫刊典籍文書,阿弥陀經註(親鸞自筆),鎌倉書紀,65_阿弥陀經註（親鸞自筆）
66,教行信証,18年,kyo,日本寫刊典籍文書,教行信証卷四(親鸞自筆),1224年,66_教行信証卷四（親鸞自筆）
67,普勸坐禪,,dfu,日本寫刊典籍文書,普勸坐禪儀(道元自筆),1227年,67_普勸坐禪儀（道元自筆）
68,藥師功徳,,ykk,日本寫刊典籍文書,藥師功徳經,1412年,68_藥師功徳經
69,唐招涅槃,,tne,僞寫本？,涅槃經卷二十四(唐招提寺本),,69_唐招提寺本涅槃經卷二十四
70,正毘170,,,盛唐寫本,阿毘達磨大毘婆沙論卷百七十(正倉院本),8C初,
71,正毘178,,,盛唐寫本,阿毘達磨大毘婆沙論卷百七十八(正倉院本),8C初,
72,和寧華67,,,大和寧（渤海？）寫本,華嚴經卷六十七(守屋本),9-10C,
73,和寧華68,,,大和寧（渤海？）寫本,華嚴經卷六十八(守屋本),9-10C,
74,西夏法華,18年,smk,西夏版,妙法蓮華經卷一(ロシア東方研究所),1149年,74_西夏版妙法蓮華經卷一
