No.,略称,分類,フォルダ名,資料名,作成年代,略称,略称,公開年
10,khi,初唐寫本,10_妙法蓮華經卷五（今西本）,妙法蓮華經卷五(今西本),671年,,,1
11,khm,初唐寫本,11_妙法蓮華經卷三（守屋本）,妙法蓮華經卷三(守屋本),675年,,,1
13,hok,初唐寫本,13_妙法蓮華經卷八（S.2577）,妙法蓮華經卷八(S2577),7C末,,,1
14,kyd,初唐寫本,14_漢書楊雄傳（上野本）,漢書楊雄傳(上野本),初唐,,,1
18,kar,開成石經,18_開成石經論語,開成石經論語,837年,,,1
19,kae,開成石經,19_開成石經周易,開成石經周易,837年,,,1
25,tzj,北宋版,25_阿毘達磨毘婆沙論卷百七（東禪寺版）,阿毘達磨大毘婆沙論卷百七(東禪寺版),1100年,,,1
26,hos,北宋版,26_齊民要術卷五（高山寺本）,齊民要術卷五(高山寺本),12C初,,,1
28,nak,南宋版,28_華嚴孔目（高山寺本）,華嚴孔目(高山寺本),1146年,,,1
29,jhk,北宋版,29_神足變化經（開元寺版）,神足變化經(開元寺版),1127年,,,1
33,ink,日本書紀,33_卷二十四（岩崎本）,卷二十四(岩崎本),10C,,,1
39,nkk,日本書紀,39_卷二（兼方本）,卷二(兼方本),1286年,,,1
41,kcc,日本書紀,41_卷二（慶長勅版）,卷二(慶長勅版),1599年,,,1
54,wad,日本寫刊典籍文書,54_大般若經卷二百五十（和銅經）,大般若經卷二百五十(和銅經),712年,,,1
57,doh,日本寫刊典籍文書,57_金剛大教王經卷一（高山寺本）,金剛大教王經卷一(高山寺本),815年,,,1
60,tzs,日本寫刊典籍文書,60_佛説大教王經卷一（東禪寺版日本寫本）,佛説大教王經卷一(東禪寺版日本寫本),12C,,,1
01,jou,敦煌南北朝寫本,01_誠實論卷八（P.2179）,誠實論卷八(P2179),514年,,P2179,2
02,keg,敦煌南北朝寫本,02_華嚴經卷十六（S.2067）,華嚴經卷十六(S2067),514年,,S2067,2
03,dng,敦煌南北朝寫本,03_大般涅槃經卷十一（S.81）,大般涅槃經卷十一(S81),506年,,S81,2
05,mam,敦煌南北朝寫本,05_摩訶摩耶經卷上（P.2160）,摩訶摩耶經卷上(P2160),586年,,P2160,2
06,drt,隋寫本,06_大樓炭經卷三（P.2413）,大樓炭經卷三(P2413),589年,,P2413,2
07,kgk,隋寫本,07_賢劫經卷二（正倉院本）,賢劫經卷二(正倉院本),610年,,賢劫經二,2
08,myz,隋寫本,08_妙法蓮華經卷五（P.2334）,妙法蓮華經卷五(P2334),617年,,P2334,2
09,kda,高昌本,09_大品經卷二十八（京都国立博物館本）,大品經卷二十八(京都国立博物館本),高昌期,,京博大品,2
15,sok,則天寫本,15_花嚴經卷八（守屋本）,花嚴經卷八(守屋本),則天期,,花嚴守屋,2
16,yhk,盛唐寫本,16_瑜伽法鏡經（S.2423）,瑜伽法鏡經(S2423),712年寫,,S2423,2
